event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,M'gladbach,away, 13 ,Goal, Jonas Hofmann , Marcus Thuram 
2,1,Eintracht Frankfurt,home, 17 ,Substitution, Ansgar Knauff , Kristijan Jakić 
3,1,Eintracht Frankfurt,home, 55 ,Substitution, Paxten Aaronson , Rafael Borré 
4,1,Eintracht Frankfurt,home, 55 ,Substitution, Éric Ebimbe , Sebastian Rode 
5,1,M'gladbach,away, 64 ,Substitution, Nathan Ngoumou , Alassane Plea 
6,1,Eintracht Frankfurt,home, 68 ,Yellow card, Daichi Kamada ,
7,1,M'gladbach,away, 74 ,Substitution, Lars Stindl , Florian Neuhaus 
8,1,Eintracht Frankfurt,home, 76 ,Substitution, Lucas Alario , Daichi Kamada 
9,1,M'gladbach,away, 77 ,Yellow card, Lars Stindl ,
10,1,Eintracht Frankfurt,home, 77 ,Substitution, Faride Alidou , Ansgar Knauff 
11,1,Eintracht Frankfurt,home, 83 ,Goal, Randal Kolo Muani , Faride Alidou 
12,1,M'gladbach,away, 86 ,Yellow card, K Koné ,
13,1,M'gladbach,away, 92 ,Substitution, Luca Netz , Ramy Bensebaïni 
14,1,M'gladbach,away, 92 ,Substitution, Marvin Friedrich , Jonas Hofmann 
15,2,Borussia Dortmund,away, 26 ,Goal, Sébastien Haller , Donyell Malen 
16,2,Borussia Dortmund,away, 33 ,Goal, Donyell Malen ,
17,2,VfB Stuttgart,home, 35 ,Yellow card, Konstantinos Mavropanos ,
18,2,VfB Stuttgart,home, 35 ,Yellow card, Wataru Endo ,
19,2,VfB Stuttgart,home, 39 ,Second yellow card, Konstantinos Mavropanos ,
20,2,Borussia Dortmund,away, 45 ,Substitution, Soumaïla Coulibaly , Mats Hummels 
21,2,VfB Stuttgart,home, 53 ,Disallowed goal,Disallowed goal,
22,2,Borussia Dortmund,away, 57 ,Yellow card, Jude Bellingham ,
23,2,VfB Stuttgart,home, 62 ,Substitution, Silas Katompa Mvumpa , Chris Führich 
24,2,Borussia Dortmund,away, 63 ,Substitution, Marco Reus , Julian Brandt 
25,2,Borussia Dortmund,away, 63 ,Substitution, Youssoufa Moukoko , Sébastien Haller 
26,2,Borussia Dortmund,away, 69 ,Substitution, Jamie Bynoe-Gittens , Donyell Malen 
27,2,Borussia Dortmund,away, 71 ,Yellow card, Marco Reus ,
28,2,VfB Stuttgart,home, 74 ,Substitution, Tiago Tomás , Sehrou Guirassy 
29,2,VfB Stuttgart,home, 74 ,Substitution, Tanguy Coulibaly , Enzo Millot 
30,2,VfB Stuttgart,home, 78 ,Goal, Tanguy Coulibaly , Waldemar Anton 
31,2,Borussia Dortmund,away, 82 ,Substitution, Gio Reyna , Karim Adeyemi 
32,2,VfB Stuttgart,home, 84 ,Goal, Josha Vagnoman ,
33,2,Borussia Dortmund,away, 86 ,Yellow card, Gio Reyna ,
