event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Napoli,away, 38 ,Yellow card, Piotr Zieliński ,
2,1,Milan,home, 40 ,Goal, Ismaël Bennacer , Brahim Diaz 
3,1,Milan,home, 60 ,Yellow card, Ismaël Bennacer ,
4,1,Milan,home, 67 ,Substitution, Alexis Saelemaekers , Ismaël Bennacer 
5,1,Napoli,away, 69 ,Substitution, Giacomo Raspadori , Hirving Lozano 
6,1,Napoli,away, 70 ,Yellow card, Giovanni Di Lorenzo ,
7,1,Napoli,away, 70 ,Yellow card, André-Frank Zambo Anguissa ,
8,1,Napoli,away, 74 ,Second yellow card, André-Frank Zambo Anguissa ,
9,1,Napoli,away, 78 ,Yellow card, Kim Min-jae ,
10,1,Milan,home, 80 ,Substitution, Ante Rebic , Brahim Diaz 
11,1,Napoli,away, 80 ,Substitution, Tanguy Ndombele , Piotr Zieliński 
12,1,Napoli,away, 81 ,Substitution, Matteo Politano , Khvicha Kvaratskhelia 
13,1,Napoli,away, 81 ,Substitution, Mathías Olivera , Mario Rui 
14,1,Milan,home, 93 ,Yellow card, Alexis Saelemaekers ,
15,1,Napoli,away, 93 ,Yellow card, Amir Rrahmani ,
16,1,Milan,home, 96 ,Yellow card, Davide Calabria ,
17,2,Chelsea,away, 5 ,Yellow card, Wesley Fofana ,
18,2,Real Madrid,home, 7 ,Yellow card, Eduardo Camavinga ,
19,2,Real Madrid,home, 21 ,Goal, Karim Benzema ,
20,2,Chelsea,away, 55 ,Substitution, Marc Cucurella , Kalidou Koulibaly 
21,2,Chelsea,away, 59 ,Red card, Benjamin Chilwell ,
22,2,Chelsea,away, 65 ,Substitution, Kai Havertz , Raheem Sterling 
23,2,Chelsea,away, 65 ,Substitution, Trevoh Chalobah , João Félix 
24,2,Real Madrid,home, 71 ,Substitution, Marco Asensio , Rodrygo 
25,2,Real Madrid,home, 71 ,Substitution, Antonio Rüdiger , Eduardo Camavinga 
26,2,Real Madrid,home, 74 ,Goal, Marco Asensio , Vinícius Júnior 
27,2,Chelsea,away, 75 ,Substitution, Conor Gallagher , N'Golo Kante 
28,2,Chelsea,away, 76 ,Substitution, Mason Mount , Thiago Silva 
29,2,Real Madrid,home, 81 ,Substitution, Dani Ceballos , Luka Modrić 
30,2,Real Madrid,home, 83 ,Yellow card, Éder Militão ,
31,2,Real Madrid,home, 84 ,Substitution, Aurélien Tchouaméni , Toni Kroos 
32,2,Real Madrid,home, 87 ,Yellow card, Dani Carvajal ,
33,2,Chelsea,away, 87 ,Yellow card, Mateo Kovačić ,
34,3,Benfica,home, 22 ,Yellow card, António Silva ,
35,3,Inter,away, 50 ,Yellow card, Marcelo Brozović ,
36,3,Inter,away, 51 ,Goal, Nicolo Barella , Alessandro Bastoni 
37,3,Inter,away, 63 ,Substitution, Romelu Lukaku , Edin Dzeko 
38,3,Inter,away, 63 ,Substitution, Joaquín Correa , Lautaro Martínez 
