event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Sparta,home, 39 ,Goal, Mica Pinto , Koki Saito 
2,1,Sparta,home, 51 ,Goal, Younes Namli , Shurandy Sambo 
3,1,Heerenveen,away, 55 ,Yellow card, Syb van Ottele ,
4,1,Sparta,home, 68 ,Goal, Shurandy Sambo , Vito van Crooy 
5,1,Sparta,home, 73 ,Yellow card, Mike Eerdhuijzen ,
6,1,Heerenveen,away, 74 ,Substitution, Rami Kaib , Mats Köhlert 
7,1,Heerenveen,away, 74 ,Substitution, Ché Nunnely , Anas Tahiri 
8,1,Sparta,home, 76 ,Goal, Vito van Crooy , Joshua Kitolano 
9,1,Heerenveen,away, 78 ,Substitution, Antoine Colassin , Osame Sahraoui 
10,1,Heerenveen,away, 78 ,Substitution, Daniel Karlsbakk , Pelle van Amersfoort 
11,1,Sparta,home, 81 ,Substitution, Jeremy van Mullem , Younes Namli 
12,1,Sparta,home, 87 ,Substitution, Aaron Meijers , Mica Pinto 
13,1,Sparta,home, 88 ,Substitution, Adil Auassar , Koki Saito 
14,1,Sparta,home, 88 ,Substitution, Pedro Alemañ , Arno Verschueren 
15,1,Heerenveen,away, 90 ,Yellow card, Ché Nunnely ,
16,1,Sparta,home, 92 ,Substitution, Dylan van Wageningen , Vito van Crooy 
17,2,Groningen,away, 43 ,Yellow card, Matej Chaluš ,
18,2,Waalwijk,home, 45 ,Substitution, Julen Lobete , Yassin Oukili 
19,2,Waalwijk,home, 45 ,Substitution, Saïd Bakari , Thierry Lutonda 
20,2,Waalwijk,home, 64 ,Goal, Michiel Kramer , Pelle Clement 
21,2,Groningen,away, 67 ,Goal, Ricardo Pepi , Nordin Musampa 
22,2,Groningen,away, 79 ,Substitution, Laros Duarte , Nordin Musampa 
23,2,Groningen,away, 79 ,Substitution, Thom van Bergen , Daleho Irandust 
24,2,Waalwijk,home, 79 ,Substitution, Mika Biereth , Florian Jozefzoon 
25,2,Waalwijk,home, 86 ,Penalty, Michiel Kramer , Penalty 
26,2,Waalwijk,home, 89 ,Substitution, Lars Nieuwpoort , Michiel Kramer 
27,2,Waalwijk,home, 89 ,Substitution, Patrick Vroegh , Mats Seuntjens 
28,2,Groningen,away, 91 ,Substitution, Jorg Schreuders , Tomás Suslov 
29,3,Go Ahead Eagles,away, 49 ,Yellow card, Bobby Adekanye ,
30,3,Excelsior,home, 54 ,Goal, Couhaib Driouech , Kik Pierie 
31,3,Go Ahead Eagles,away, 58 ,Yellow card, Finn Stokkers ,
32,3,Go Ahead Eagles,away, 61 ,Goal, Willum Willumsson ,
