event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Cádiz,home, 29 ,Yellow card, Ruben Alcaraz ,
2,1,Cádiz,home, 55 ,Substitution, Jorge Mere Perez , Raúl Parra 
3,1,Real Madrid,away, 67 ,Substitution, Eduardo Camavinga , Lucas Vazquez 
4,1,Cádiz,home, 70 ,Substitution, Ivan Alejo , Ruben Sobrino 
5,1,Cádiz,home, 70 ,Substitution, Alex , Fede San Emeterio 
6,1,Cádiz,home, 70 ,Substitution, Roger Marti , Sergi Guardiola 
7,1,Real Madrid,away, 72 ,Goal, Nacho , Aurélien Tchouaméni 
8,1,Real Madrid,away, 76 ,Goal, Marco Asensio , Federico Valverde 
9,1,Cádiz,home, 78 ,Substitution, Alvaro Negredo , Chris Ramos 
10,1,Real Madrid,away, 80 ,Substitution, Eden Hazard , Rodrygo 
11,1,Real Madrid,away, 80 ,Substitution, Luka Modrić , Federico Valverde 
12,2,Real Betis,home, 15 ,Yellow card, Luiz Felipe ,
13,2,Real Betis,home, 17 ,Yellow card, Martin Montoya ,
14,2,Real Betis,home, 27 ,Goal, Ayoze Pérez , Luiz Henrique 
15,2,Real Betis,home, 34 ,Goal, Juan Miranda , Ayoze Pérez 
16,2,Espanyol,away, 38 ,Yellow card, Vinicius Souza ,
17,2,Espanyol,away, 48 ,Goal, César Montes , Vinicius Souza 
18,2,Espanyol,away, 59 ,Substitution, Denis Suarez , Nico Melamed 
19,2,Real Betis,home, 63 ,Substitution, Rodri , Borja Iglesias 
20,2,Espanyol,away, 64 ,Yellow card, Leandro Cabrera ,
21,2,Espanyol,away, 68 ,Substitution, Adria Pedrosa , Javi Puado 
22,2,Real Betis,home, 69 ,Goal, William Carvalho , Rodri 
23,2,Espanyol,away, 78 ,Substitution, Dani Gómez , Sergi Darder 
24,2,Espanyol,away, 78 ,Substitution, Keidi Bare , Vinicius Souza 
25,2,Espanyol,away, 79 ,Substitution, Ronaël Pierre-Gabriel , Rubén Sánchez 
26,2,Real Betis,home, 81 ,Substitution, Joaquin , William Carvalho 
27,2,Real Betis,home, 89 ,Substitution, Paul Akouokou , Andrés Guardado 
28,2,Real Betis,home, 90 ,Substitution, Willian Jose , Ayoze Pérez 
29,2,Espanyol,away, 97 ,Disallowed goal,Disallowed goal,
30,3,Athletic Club,home, 33 ,Goal, Iñaki Williams , Mikel Vesga 
31,3,Athletic Club,home, 39 ,Yellow card, Ander Capa ,
32,3,Athletic Club,home, 48 ,Yellow card, Gorka Guruzeta ,
33,3,Real Sociedad,away, 45 ,Substitution, Barrenetxea , Brais Mendez 
34,3,Real Sociedad,away, 45 ,Substitution, Aritz Elustondo , Andoni Gorosabel 
35,3,Athletic Club,home, 47 ,Yellow card, Dani Garcia ,
36,3,Real Sociedad,away, 51 ,Yellow card, Igor Zubeldia ,
37,3,Real Sociedad,away, 61 ,Substitution, Mohamed Cho , Mikel Oyarzabal 
38,3,Real Sociedad,away, 61 ,Substitution, Alexander Sorloth , Takefusa Kubo 
39,3,Athletic Club,home, 62 ,Substitution, Raul Garcia , Gorka Guruzeta 
40,3,Athletic Club,home, 62 ,Substitution, Dani Vivian , Ander Capa 
41,3,Real Sociedad,away, 65 ,Yellow card, Robin Le Normand ,
42,3,Athletic Club,home, 70 ,Goal, Iñaki Williams , Raul Garcia 
43,3,Athletic Club,home, 78 ,Substitution, Álex Berenguer , Nico Williams 
44,3,Athletic Club,home, 78 ,Substitution, Iker Muniain , Oihan Sancet 
45,3,Athletic Club,home, 80 ,Yellow card, Yeray Alvarez ,
46,3,Real Sociedad,away, 82 ,Substitution, Robert Navarro , David Silva 
47,3,Athletic Club,home, 83 ,Yellow card, Dani Vivian ,
48,3,Athletic Club,home, 89 ,Substitution, Ander Herrera , Iñaki Williams 
49,4,Real Valladolid,away, 2 ,Goal, Selim Amallah , Cyle Larin 
50,4,Villarreal,home, 15 ,Disallowed goal,Disallowed goal,
51,4,Villarreal,home, 30 ,Yellow card, Alfonso Pedraza ,
52,4,Real Valladolid,away, 34 ,Goal, Jawad El Yamiq , Selim Amallah 
53,4,Real Valladolid,away, 41 ,Yellow card, Selim Amallah ,
54,4,Real Valladolid,away, 56 ,Substitution, Álvaro Aguado , Gonzalo Plata 
55,4,Real Valladolid,away, 56 ,Yellow card, Monchu ,
56,4,Real Valladolid,away, 57 ,Substitution, Sergio Leon , Selim Amallah 
57,4,Villarreal,home, 59 ,Substitution, Nicolas Jackson , Álex Baena 
58,4,Villarreal,home, 59 ,Substitution, Etienne Capoue , Ramón Terrats 
59,4,Villarreal,home, 59 ,Substitution, Alberto Moreno , Alfonso Pedraza 
60,4,Real Valladolid,away, 67 ,Substitution, Roque Mesa , Monchu 
61,4,Real Valladolid,away, 68 ,Substitution, Robert Kenedy , Cyle Larin 
62,4,Real Valladolid,away, 69 ,Yellow card, Jordi Masip ,
63,4,Real Valladolid,away, 70 ,Substitution, Javi Sanchez , Martin Hongla 
64,4,Villarreal,home, 74 ,Goal, Etienne Capoue , Giovani Lo Celso 
65,4,Villarreal,home, 76 ,Substitution, Raul Albiol , Kiko Femenia 
66,4,Real Valladolid,away, 87 ,Yellow card, Roque Mesa ,
67,4,Real Valladolid,away, 91 ,Yellow card, Kike Pérez ,
68,4,Real Valladolid,away, 92 ,Yellow card, Robert Kenedy ,
69,5,Rayo Vallecano,home, 40 ,Own goal, Aridane , Own goal 
70,5,Rayo Vallecano,home, 43 ,Goal, Isi Palazón ,
71,5,Osasuna,away, 46 ,Yellow card, Kike ,
72,5,Rayo Vallecano,home, 48 ,Yellow card, Alvaro Garcia ,
73,5,Osasuna,away, 57 ,Substitution, Moi Gomez , Pablo Ibáñez 
74,5,Osasuna,away, 57 ,Substitution, Ruben Pena , Nacho Vidal 
75,5,Osasuna,away, 66 ,Goal, Moi Gomez , Aimar Oroz 
76,5,Rayo Vallecano,home, 70 ,Substitution, Pathé Ciss , Oscar Trejo 
77,5,Rayo Vallecano,home, 75 ,Substitution, Pep Chavarría , Alvaro Garcia 
78,5,Osasuna,away, 75 ,Substitution, Ante Budimir , Abdessamad Ezzalzouli 
79,5,Rayo Vallecano,home, 75 ,Substitution, Salvi , Santi Comesana 
80,5,Rayo Vallecano,home, 83 ,Substitution, Radamel Falcao , Sergio Camello 
81,5,Osasuna,away, 84 ,Substitution, Juan Cruz , Kike Barja 
82,5,Osasuna,away, 88 ,Yellow card, Moi Gomez ,
83,5,Rayo Vallecano,home, 91 ,Yellow card, Catena ,
84,5,Osasuna,away, 96 ,Yellow card, David García ,
85,6,Girona,away, 32 ,Yellow card, Valentín Castellanos ,
86,6,Girona,away, 45 ,Substitution, Aleix Garcia , Borja Garcia 
87,6,Barcelona,home, 45 ,Substitution, Franck Kessié , Sergi Roberto 
88,6,Girona,away, 60 ,Substitution, Cristhian Stuani , Valentín Castellanos 
89,6,Girona,away, 60 ,Substitution, Yan Couto , Toni Villa 
90,6,Barcelona,home, 68 ,Substitution, Ferran Torres , Ansu Fati 
91,6,Girona,away, 71 ,Substitution, Rodrigo Riquelme , Viktor Tsygankov 
92,6,Barcelona,home, 75 ,Substitution, Jordi Alba , Raphinha 
93,6,Girona,away, 77 ,Yellow card, Cristhian Stuani ,
94,6,Girona,away, 85 ,Substitution, Valery , Iván Martín 
95,7,Atlético de Madrid,away, 22 ,Goal, Nahuel Molina ,
96,7,Atlético de Madrid,away, 24 ,Goal, Mario Hermoso , Yannick Carrasco 
97,7,Rayo Vallecano,home, 57 ,Substitution, Oscar Trejo , Unai Lopez 
98,7,Rayo Vallecano,home, 57 ,Substitution, Sergio Camello , Raúl de Tomás 
99,7,Rayo Vallecano,home, 57 ,Substitution, Radamel Falcao , Isi Palazón 
100,7,Rayo Vallecano,home, 62 ,Red card, Florian Lejeune ,
101,7,Atlético de Madrid,away, 68 ,Substitution, Saul Niguez , Rodrigo De Paul 
102,7,Atlético de Madrid,away, 69 ,Substitution, Thomas Lemar , Yannick Carrasco 
103,7,Rayo Vallecano,home, 72 ,Substitution, Abdul Mumin , Catena 
104,7,Atlético de Madrid,away, 73 ,Substitution, Pablo Barrios , Álvaro Morata 
105,7,Rayo Vallecano,home, 83 ,Substitution, Andrés Martín , Alvaro Garcia 
106,7,Rayo Vallecano,home, 85 ,Goal, Fran García , Santi Comesana 
107,8,Valencia,away, 7 ,Yellow card, Dimitri Foulquier ,
108,8,Almería,home, 20 ,Yellow card, Chumi ,
109,8,Almería,home, 23 ,Yellow card, Luis Suárez ,
