event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Santa Clara,away, 17 ,Yellow card, Costinha ,
2,1,Santa Clara,away, 20 ,Yellow card, Bruno Jordão ,
3,1,Santa Clara,away, 32 ,Yellow card, Ygor Nogueira ,
4,1,Santa Clara,away, 33 ,Yellow card, Allano ,
5,1,FC Porto,home, 34 ,Penalty, Mateus Uribe , Penalty 
6,1,Santa Clara,away, 41 ,Yellow card, Pierre Sagna ,
7,1,FC Porto,home, 42 ,Missed penalty, Otávio , Missed penalty 
8,1,FC Porto,home, 51 ,Yellow card, Ivan Marcano ,
9,1,FC Porto,home, 57 ,Substitution, Evanilson , Stephen Eustáquio 
10,1,Santa Clara,away, 63 ,Substitution, Andrézinho , Allano 
11,1,FC Porto,home, 67 ,Substitution, André Franco , Wilson Manafá 
12,1,FC Porto,home, 67 ,Substitution, Daniel Namaso , Toni Martínez 
13,1,Santa Clara,away, 76 ,Substitution, Filip Stevanović , Ricardinho 
14,1,Santa Clara,away, 76 ,Substitution, Diogo Calila , Pierre Sagna 
15,1,FC Porto,home, 80 ,Goal, Daniel Namaso ,
16,1,Santa Clara,away, 88 ,Substitution, Gabriel Silva , Costinha 
17,1,Santa Clara,away, 88 ,Substitution, Kyosuke Tagawa , Matheus Babi 
18,1,FC Porto,home, 89 ,Yellow card, André Franco ,
19,1,FC Porto,home, 90 ,Substitution, Gonçalo Borges , Otávio 
20,1,FC Porto,home, 90 ,Substitution, Bernardo Folha , Wenderson Galeno 
21,1,Santa Clara,away, 92 ,Goal, Kyosuke Tagawa , Gabriel Silva 
22,2,Chaves,home, 28 ,Yellow card, Guima ,
23,2,Chaves,home, 64 ,Substitution, Hector Hernandez , Juninho 
24,2,Chaves,home, 64 ,Substitution, Euller , Bernardo Sousa 
25,2,Benfica,away, 70 ,Substitution, Goncalo Guedes , David Neres 
26,2,Chaves,home, 70 ,Yellow card, Nelson Monte ,
27,2,Chaves,home, 71 ,Substitution, Issah Abass , João Correia 
28,2,Chaves,home, 79 ,Substitution, Joao Pedro , Joao Teixeira 
29,2,Benfica,away, 80 ,Substitution, João Neves , João Mário 
30,2,Benfica,away, 80 ,Substitution, Casper Tengstedt , Gonçalo Ramos 
31,2,Chaves,home, 86 ,Yellow card, Euller ,
32,2,Benfica,away, 88 ,Substitution, Petar Musa , Gilberto 
33,2,Chaves,home, 91 ,Yellow card, Joao Pedro ,
