event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Lens,away, 19 ,Red card, Salis Abdul Samed ,
2,1,PSG,home, 31 ,Goal, Kylian Mbappé , Vitinha 
3,1,PSG,home, 37 ,Goal, Vitinha , Nuno Mendes 
4,1,PSG,home, 40 ,Goal, Lionel Messi , Kylian Mbappé 
5,1,Lens,away, 45 ,Substitution, Florian Sotoca , Adrien Thomasson 
6,1,Lens,away, 45 ,Substitution, Jean Onana , Angelo Fulgini 
7,1,Lens,away, 60 ,Penalty, Przemysław Frankowski , Penalty 
8,1,Lens,away, 73 ,Substitution, Massadio Haidara , Deiver Machado 
9,1,PSG,home, 77 ,Substitution, Juan Bernat , Nuno Mendes 
10,1,Lens,away, 84 ,Substitution, David Pereira da Costa , Jonathan Gradit 
11,1,PSG,home, 88 ,Substitution, Warren Zaïre-Emery , Marquinhos 
12,2,Rennes,home, 9 ,Goal, Jérémy Doku ,
13,2,Rennes,home, 19 ,Goal, Jérémy Doku , Birger Meling 
14,2,Reims,away, 45 ,Substitution, Maxime Busi , Alexis Flips 
15,2,Reims,away, 45 ,Substitution, Dion Lopy , Thibault De Smet 
16,2,Reims,away, 45 ,Substitution, Mitchell van Bergen , Arbër Zeneli 
17,2,Rennes,home, 46 ,Yellow card, Lesley Ugochukwu ,
18,2,Rennes,home, 68 ,Substitution, Désiré Doué , Flavien Tait 
19,2,Rennes,home, 68 ,Substitution, Karl Toko Ekambi , Arnaud Kalimuendo 
20,2,Rennes,home, 68 ,Goal, Arthur Theate , Amine Gouiri 
21,2,Reims,away, 70 ,Substitution, Kamory Doumbia , Valentin Atangana Edoa 
22,2,Rennes,home, 75 ,Substitution, Ibrahim Salah , Jérémy Doku 
23,2,Rennes,home, 75 ,Substitution, Baptiste Santamaría , Lesley Ugochukwu 
24,2,Reims,away, 77 ,Substitution, Kaj Sierhuis , Junya Ito 
25,2,Reims,away, 80 ,Yellow card, Marshall Munetsi ,
26,2,Reims,away, 82 ,Yellow card, Emmanuel Agbadou ,
27,2,Rennes,home, 83 ,Substitution, Lovro Majer , Benjamin Bourigeaud 
28,3,Olympique Lyonnais,away, 15 ,Yellow card, Jeffinho ,
29,3,Olympique Lyonnais,away, 25 ,Yellow card, Sael Kumbedi ,
30,3,Olympique Lyonnais,away, 34 ,Penalty, Alexandre Lacazette , Penalty 
31,3,Toulouse,home, 37 ,Goal, Zakaria Aboukhlal ,
32,3,Toulouse,home, 54 ,Yellow card, Gabriel Suazo ,
33,3,Olympique Lyonnais,away, 63 ,Substitution, Sinaly Diomandé , Sael Kumbedi 
34,3,Toulouse,home, 68 ,Substitution, Ado Onaiwu , Zakaria Aboukhlal 
35,3,Toulouse,home, 76 ,Substitution, Vincent Sierro , Denis Genreau 
36,3,Olympique Lyonnais,away, 81 ,Substitution, Houssem Aouar , Maxence Caqueret 
37,3,Olympique Lyonnais,away, 81 ,Substitution, Thiago Mendes , Johann Lepenant 
38,3,Toulouse,home, 82 ,Substitution, Veljko Birmančević , Farès Chaïbi 
39,3,Olympique Lyonnais,away, 86 ,Yellow card, Alexandre Lacazette ,
40,3,Olympique Lyonnais,away, 88 ,Own goal, Logan Costa , Own goal 
41,3,Olympique Lyonnais,away, 92 ,Yellow card, Thiago Mendes ,
42,4,Lorient,home, 74 ,Substitution, Stéphane Diarra , Adil Aouchiche 
43,4,Marseille,away, 81 ,Substitution, Ruslan Malinovskyi , Matteo Guendouzi 
44,4,Marseille,away, 82 ,Substitution, Chancel Mbemba , Samuel Gigot 
45,4,Lorient,home, 82 ,Substitution, Ibrahima Koné , Bamba Dieng 
46,4,Marseille,away, 82 ,Substitution, Vítinha , Alexis Sanchez 
47,4,Marseille,away, 84 ,Yellow card, Ruslan Malinovskyi ,
48,4,Marseille,away, 87 ,Yellow card, Leonardo Balerdi ,
49,4,Marseille,away, 91 ,Substitution, Eric Bailly , Sead Kolasinac 
50,5,Monaco,away, 21 ,Goal, Axel Disasi , Caio Henrique 
51,5,Monaco,away, 30 ,Goal, Eliot Matazo , Caio Henrique 
52,5,Nantes,home, 56 ,Yellow card, Andrei Girotto ,
53,5,Nantes,home, 58 ,Substitution, Mostafa Mohamed , Andy Delort 
54,5,Nantes,home, 59 ,Substitution, Ignatius Ganago , Evann Guessand 
55,5,Nantes,home, 59 ,Substitution, Ludovic Blas , Florent Mollet 
56,5,Nantes,home, 62 ,Yellow card, Sebastien Corchia ,
57,5,Nantes,home, 65 ,Goal, Mostafa Mohamed , Ludovic Blas 
58,5,Monaco,away, 70 ,Substitution, Kevin Volland , Eliesse Ben Seghir 
59,5,Nantes,home, 75 ,Substitution, Quentin Merlin , Sebastien Corchia 
60,5,Nantes,home, 77 ,Substitution, Marcus Coco , Fabien Centonze 
61,5,Nantes,home, 78 ,Goal, Ludovic Blas , Quentin Merlin 
62,5,Monaco,away, 79 ,Substitution, Ismail Jakobs , Aleksandr Golovin 
63,5,Nantes,home, 79 ,Yellow card, Ludovic Blas ,
64,5,Monaco,away, 83 ,Substitution, Chrislain Matsima , Guillermo Maripan 
65,5,Monaco,away, 83 ,Substitution, Soungoutou Magassa , Mohamed Camara 
66,5,Monaco,away, 87 ,Yellow card, Kevin Volland ,
67,6,Auxerre,away, 3 ,Goal, Birama Toure ,
68,6,Auxerre,away, 5 ,Yellow card, Julian Jeanvier ,
69,6,Auxerre,away, 6 ,Goal, Nuno da Costa , Rayan Raveloson 
70,6,Auxerre,away, 47 ,Own goal, Mickaël Alphonse , Own goal 
71,6,Ajaccio,home, 45 ,Substitution, Cédric Avinel , Fernand Mayembo 
72,6,Ajaccio,home, 45 ,Substitution, Ismaël Diallo , Mickaël Alphonse 
73,6,Ajaccio,home, 50 ,Yellow card, Ismaël Diallo ,
74,6,Auxerre,away, 66 ,Yellow card, Youssouf M'Changama ,
75,6,Auxerre,away, 67 ,Substitution, Matthis Abline , Nuno da Costa 
76,6,Ajaccio,home, 71 ,Substitution, Moussa Soumano , Romain Hamouma 
77,6,Auxerre,away, 76 ,Substitution, Niang , Gaetan Perrin 
78,6,Ajaccio,home, 76 ,Substitution, Riad Nouri , Kevin Spadanuda 
79,6,Ajaccio,home, 76 ,Substitution, Thomas Mangani , Vincent Marchetti 
80,6,Auxerre,away, 77 ,Substitution, Theo Pellenard , Rayan Raveloson 
81,6,Auxerre,away, 77 ,Substitution, Mathias Autret , Gauthier Hein 
82,6,Auxerre,away, 87 ,Yellow card, Akim Zedadka ,
83,6,Auxerre,away, 89 ,Substitution, Kévin Danois , Birama Toure 
84,7,Toulouse,away, 9 ,Substitution, Thijs Dallinga , Brecht Dejaegere 
85,7,Toulouse,away, 31 ,Goal, Thijs Dallinga , Denis Genreau 
86,7,Toulouse,away, 58 ,Yellow card, Denis Genreau ,
87,7,Toulouse,away, 69 ,Substitution, Stijn Spierings , Denis Genreau 
88,7,Toulouse,away, 69 ,Substitution, Zakaria Aboukhlal , Ado Onaiwu 
89,7,Toulouse,away, 70 ,Yellow card, Branco Van den Boomen ,
90,7,Montpellier,home, 71 ,Substitution, Stephy Mavididi , Arnaud Nordin 
91,7,Montpellier,home, 72 ,Substitution, Léo Leroy , Jordan Ferri 
92,7,Montpellier,home, 78 ,Substitution, Pedro Mendes , Mamadou Sakho 
93,7,Toulouse,away, 85 ,Goal, Farès Chaïbi ,
94,7,Toulouse,away, 86 ,Substitution, Gabriel Suazo , Farès Chaïbi 
95,7,Montpellier,home, 88 ,Goal, Elye Wahi ,
96,8,Brest,away, 6 ,Goal, Pierre Lees-Melou , Jérémy Le Douaron 
97,8,Reims,home, 65 ,Substitution, Myziane Maolida , Jens Cajuste 
98,8,Reims,home, 65 ,Substitution, Mitchell van Bergen , Alexis Flips 
99,8,Brest,away, 71 ,Substitution, Noah Fadiga , Mahdi Camara 
100,8,Brest,away, 71 ,Substitution, Romain Del Castillo , Steve Mounie 
101,8,Reims,home, 76 ,Substitution, Maxime Busi , Thomas Foket 
102,8,Reims,home, 76 ,Substitution, Kaj Sierhuis , Marshall Munetsi 
103,8,Reims,home, 81 ,Substitution, Arbër Zeneli , Thibault De Smet 
104,8,Brest,away, 83 ,Substitution, Hugo Magnetti , Jérémy Le Douaron 
105,8,Brest,away, 90 ,Yellow card, Kenny Lala ,
106,8,Reims,home, 91 ,Penalty, Folarin Balogun , Penalty 
107,8,Brest,away, 91 ,Substitution, Jean Duverne , Bradley Locko 
108,9,Troyes,home, 20 ,Yellow card, Rominigue Kouamé ,
109,9,Clermont,away, 27 ,Goal, Muhammed Cham , Jim Allevinah 
110,9,Clermont,away, 30 ,Goal, Johan Gastien , Elbasan Rashani 
111,9,Troyes,home, 39 ,Yellow card, Yoann Salmier ,
112,9,Troyes,home, 45 ,Substitution, Xavier Chavalerin , Lucien Agoumé 
113,9,Troyes,home, 45 ,Substitution, Yasser Larouci , Papa Yade 
114,9,Troyes,home, 61 ,Substitution, Iké Ugbo , Wilson Odobert 
115,9,Clermont,away, 74 ,Substitution, Saifeddine Khaoui , Muhammed Cham 
116,9,Clermont,away, 74 ,Substitution, Mehdi Zeffane , Jim Allevinah 
117,9,Clermont,away, 80 ,Substitution, Yohann Magnin , Maxime Gonalons 
