event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Manchester City,home, 5 ,Goal, John Stones , Rodri 
2,1,Manchester City,home, 13 ,Penalty, Erling Haaland , Penalty 
3,1,Manchester City,home, 25 ,Goal, Erling Haaland , Kevin De Bruyne 
4,1,Manchester City,home, 45 ,Yellow card, Bernardo Silva ,
5,1,Leicester City,away, 45 ,Substitution, Luke Thomas , Victor Kristiansen 
6,1,Manchester City,home, 45 ,Substitution, Manuel Akanji , John Stones 
7,1,Leicester City,away, 45 ,Substitution, Kelechi Iheanacho , Jamie Vardy 
8,1,Manchester City,home, 45 ,Substitution, Julián Álvarez , Erling Haaland 
9,1,Manchester City,home, 53 ,Substitution, Kalvin Phillips , Rodri 
10,1,Leicester City,away, 62 ,Substitution, Nampalys Mendy , Youri Tielemans 
11,1,Manchester City,home, 62 ,Substitution, Cole Palmer , Kevin De Bruyne 
12,1,Leicester City,away, 62 ,Substitution, Dennis Praet , Kiernan Dewsbury-Hall 
13,1,Manchester City,home, 74 ,Substitution, Sergio Gómez , Jack Grealish 
14,1,Leicester City,away, 75 ,Goal, Kelechi Iheanacho ,
15,1,Leicester City,away, 87 ,Substitution, Patson Daka , Wilfred Ndidi 
16,1,Leicester City,away, 89 ,Yellow card, Caglar Söyüncü ,
17,2,Tottenham Hotspur,home, 14 ,Goal, Son Heung-min , Ivan Perišić 
18,2,Tottenham Hotspur,home, 35 ,Substitution, Davinson Sanchez , Clement Lenglet 
19,2,AFC Bournemouth,away, 38 ,Goal, Matías Viña , Dominic Solanke 
20,2,AFC Bournemouth,away, 45 ,Yellow card, Ryan Christie ,
21,2,AFC Bournemouth,away, 47 ,Yellow card, Jack Stephens ,
22,2,AFC Bournemouth,away, 49 ,Substitution, Adam Smith , Matías Viña 
23,2,AFC Bournemouth,away, 51 ,Goal, Dominic Solanke ,
24,2,Tottenham Hotspur,home, 58 ,Yellow card, Ivan Perišić ,
25,2,Tottenham Hotspur,home, 58 ,Substitution, Arnaut Danjuma , Davinson Sanchez 
26,2,AFC Bournemouth,away, 66 ,Substitution, Jaidon Anthony , Ryan Christie 
27,2,Tottenham Hotspur,home, 77 ,Substitution, Richarlison , Oliver Skipp 
28,2,AFC Bournemouth,away, 79 ,Substitution, Marcos Senesi , Philip Billing 
29,2,AFC Bournemouth,away, 79 ,Substitution, Dango Ouattara , Marcus Tavernier 
30,2,Tottenham Hotspur,home, 88 ,Goal, Arnaut Danjuma ,
31,2,AFC Bournemouth,away, 95 ,Goal, Dango Ouattara , Dominic Solanke 
32,3,Brighton & Hove Albion,away, 4 ,Yellow card, Joel Veltman ,
33,3,Chelsea,home, 13 ,Goal, Conor Gallagher , Mykhailo Mudryk 
34,3,Brighton & Hove Albion,away, 28 ,Substitution, Julio Enciso , Joel Veltman 
35,3,Brighton & Hove Albion,away, 39 ,Substitution, Danny Welbeck , Evan Ferguson 
36,3,Brighton & Hove Albion,away, 42 ,Goal, Danny Welbeck , Pascal Groß 
37,3,Chelsea,home, 45 ,Yellow card, Conor Gallagher ,
38,3,Chelsea,home, 51 ,Yellow card, Trevoh Chalobah ,
39,3,Chelsea,home, 56 ,Substitution, Hakim Ziyech , Christian Pulisic 
40,3,Chelsea,home, 57 ,Substitution, Mateo Kovačić , Enzo Fernández 
41,3,Chelsea,home, 57 ,Substitution, Reece James , Wesley Fofana 
42,3,Chelsea,home, 57 ,Substitution, João Félix , Raheem Sterling 
43,3,Brighton & Hove Albion,away, 69 ,Goal, Julio Enciso , Solomon March 
44,3,Chelsea,home, 74 ,Substitution, Mason Mount , Denis Zakaria 
45,3,Brighton & Hove Albion,away, 77 ,Yellow card, Robert Sánchez ,
46,3,Brighton & Hove Albion,away, 87 ,Substitution, Jan van Hecke , Adam Webster 
47,4,Fulham,away, 22 ,Goal, Harrison Reed , Daniel James 
48,4,Everton,home, 27 ,Yellow card, Idrissa Gueye ,
49,4,Everton,home, 35 ,Goal, Dwight McNeil , James Garner 
50,4,Fulham,away, 51 ,Goal, Harry Wilson , Willian 
51,4,Everton,home, 58 ,Substitution, Nathan Patterson , Ben Godfrey 
52,4,Fulham,away, 68 ,Goal, Daniel James ,
53,4,Everton,home, 69 ,Substitution, Tom Davies , Idrissa Gueye 
54,4,Everton,home, 70 ,Yellow card, Demarai Gray ,
55,4,Everton,home, 74 ,Substitution, Ellis Simms , Neal Maupay 
56,4,Fulham,away, 79 ,Substitution, Bobby Decordova-Reid , Willian 
57,4,Fulham,away, 79 ,Substitution, Thomas Cairney , Andreas Pereira 
58,4,Everton,home, 80 ,Yellow card, Vitalii Mykolenko ,
59,4,Fulham,away, 81 ,Yellow card, Tosin Adarabioyo ,
60,4,Fulham,away, 85 ,Substitution, Saša Lukić , Harrison Reed 
61,4,Fulham,away, 90 ,Substitution, Carlos Vinícius , Daniel James 
62,4,Fulham,away, 96 ,Yellow card, Bernd Leno ,
63,5,Crystal Palace,away, 43 ,Yellow card, Joachim Andersen ,
64,5,Southampton,home, 52 ,Yellow card, Roméo Lavia ,
65,5,Crystal Palace,away, 54 ,Goal, Eberechi Eze ,
66,5,Southampton,home, 62 ,Substitution, Moussa Djenepo , Theo Walcott 
67,5,Southampton,home, 62 ,Substitution, Paul Onuachu , Joe Aribo 
68,5,Crystal Palace,away, 68 ,Goal, Eberechi Eze , Cheick Doucouré 
69,5,Crystal Palace,away, 74 ,Substitution, Will Hughes , Odsonne Édouard 
70,5,Southampton,home, 80 ,Substitution, Samuel Edozie , Carlos Alcaraz 
71,5,Southampton,home, 80 ,Substitution, Stuart Armstrong , Kamaldeen Sulemana 
72,5,Crystal Palace,away, 85 ,Substitution, Albert Lokonga , Jeffrey Schlupp 
73,5,Crystal Palace,away, 85 ,Substitution, Luka Milivojevic , Cheick Doucouré 
74,5,Southampton,home, 90 ,Yellow card, Jan Bednarek ,
75,5,Southampton,home, 92 ,Yellow card, Armel Bella-Kotchap ,
76,5,Crystal Palace,away, 93 ,Substitution, Jean Mateta , Jordan Ayew 
77,5,Crystal Palace,away, 93 ,Substitution, James Tomkins , Marc Guéhi 
78,6,Brentford,away, 12 ,Yellow card, Mathias Jensen ,
79,6,Wolverhampton Wanderers,home, 27 ,Goal, Diego Costa ,
80,6,Wolverhampton Wanderers,home, 35 ,Yellow card, João Gomes ,
81,6,Brentford,away, 61 ,Substitution, Yoane Wissa , Kevin Schade 
82,6,Brentford,away, 61 ,Substitution, Vitaly Janelt , Mathias Jensen 
83,6,Brentford,away, 61 ,Substitution, Mikkel Damsgaard , Josh Dasilva 
84,6,Wolverhampton Wanderers,home, 64 ,Substitution, Hwang Hee-chan , Pablo Sarabia 
85,6,Wolverhampton Wanderers,home, 69 ,Goal, Hwang Hee-chan ,
86,6,Wolverhampton Wanderers,home, 73 ,Substitution, Joao Moutinho , Diego Costa 
87,6,Wolverhampton Wanderers,home, 73 ,Substitution, Adama Traore , João Gomes 
88,6,Brentford,away, 73 ,Substitution, Saman Ghoddos , Rico Henry 
89,6,Brentford,away, 74 ,Substitution, Shandon Baptiste , Aaron Hickey 
90,6,Wolverhampton Wanderers,home, 89 ,Substitution, Pedro Neto , Mario Lemina 
91,6,Wolverhampton Wanderers,home, 89 ,Substitution, Hugo Bueno , Matheus Cunha 
92,7,Aston Villa,home, 11 ,Goal, Jacob Ramsey , Ollie Watkins 
93,7,Newcastle United,away, 22 ,Yellow card, Fabian Schär ,
94,7,Newcastle United,away, 56 ,Substitution, Miguel Almirón , Anthony Gordon 
95,7,Newcastle United,away, 56 ,Substitution, Callum Wilson , Jacob Murphy 
96,7,Aston Villa,home, 61 ,Disallowed goal,Disallowed goal,
97,7,Aston Villa,home, 64 ,Goal, Ollie Watkins , Alex Moreno 
98,7,Newcastle United,away, 68 ,Substitution, Matt Targett , Daniel Burn 
99,7,Newcastle United,away, 68 ,Substitution, Sean Longstaff , Joe Willock 
100,7,Newcastle United,away, 80 ,Substitution, Elliot Anderson , Joelinton 
101,7,Aston Villa,home, 83 ,Goal, Ollie Watkins , Jacob Ramsey 
102,7,Aston Villa,home, 85 ,Substitution, Calum Chambers , Jacob Ramsey 
103,7,Aston Villa,home, 91 ,Substitution, Jhon Durán , Ollie Watkins 
104,7,Aston Villa,home, 93 ,Yellow card, Jhon Durán ,
105,8,Arsenal,away, 8 ,Goal, Gabriel Martinelli ,
106,8,Arsenal,away, 23 ,Yellow card, Ben White ,
107,8,Arsenal,away, 28 ,Goal, Gabriel Jesus , Gabriel Martinelli 
108,8,Liverpool,home, 31 ,Yellow card, Virgil van Dijk ,
109,8,Liverpool,home, 41 ,Yellow card, Trent Alexander-Arnold ,
110,8,Arsenal,away, 41 ,Yellow card, Granit Xhaka ,
111,8,Liverpool,home, 42 ,Goal, Mohamed Salah ,
112,8,Liverpool,home, 50 ,Yellow card, Andrew Robertson ,
113,8,Arsenal,away, 53 ,Yellow card, Aaron Ramsdale ,
114,8,Liverpool,home, 54 ,Missed penalty, Mohamed Salah , Missed penalty 
115,8,Liverpool,home, 55 ,Yellow card, Fabinho ,
116,8,Liverpool,home, 60 ,Substitution, Thiago , Curtis Jones 
117,8,Liverpool,home, 60 ,Substitution, Darwin Núñez , Diogo Jota 
118,8,Liverpool,home, 78 ,Substitution, Roberto Firmino , Fabinho 
119,8,Arsenal,away, 80 ,Substitution, Leandro Trossard , Gabriel Jesus 
120,8,Arsenal,away, 80 ,Substitution, Jakub Kiwior , Martin Ødegaard 
121,8,Arsenal,away, 84 ,Yellow card, Bukayo Saka ,
122,8,Liverpool,home, 87 ,Goal, Roberto Firmino , Trent Alexander-Arnold 
123,8,Arsenal,away, 88 ,Substitution, Kieran Tierney , Olexandr Zinchenko 
124,9,Leeds United,home, 21 ,Goal, Patrick Bamford , Brenden Aaronson 
125,9,Leeds United,home, 44 ,Yellow card, Junior Firpo ,
126,9,Crystal Palace,away, 46 ,Goal, Marc Guéhi , Jeffrey Schlupp 
127,9,Crystal Palace,away, 50 ,Yellow card, Joel Ward ,
128,9,Crystal Palace,away, 53 ,Goal, Jordan Ayew , Michael Olise 
129,9,Crystal Palace,away, 55 ,Goal, Eberechi Eze , Michael Olise 
130,9,Leeds United,home, 60 ,Substitution, Rodrigo Moreno , Luis Sinisterra 
131,9,Leeds United,home, 60 ,Substitution, Wilfried Gnonto , Brenden Aaronson 
132,9,Leeds United,home, 60 ,Substitution, Rasmus Kristensen , Junior Firpo 
133,9,Crystal Palace,away, 69 ,Goal, Odsonne Édouard , Michael Olise 
134,9,Crystal Palace,away, 74 ,Substitution, Will Hughes , Odsonne Édouard 
135,9,Crystal Palace,away, 77 ,Goal, Jordan Ayew , Will Hughes 
136,9,Leeds United,home, 79 ,Substitution, Georginio Rutter , Patrick Bamford 
137,9,Crystal Palace,away, 80 ,Substitution, James McArthur , Jeffrey Schlupp 
138,9,Crystal Palace,away, 80 ,Substitution, Luka Milivojevic , Cheick Doucouré 
139,9,Crystal Palace,away, 80 ,Substitution, Jean Mateta , Jordan Ayew 
140,9,Leeds United,home, 86 ,Yellow card, Weston McKennie ,
141,9,Crystal Palace,away, 87 ,Substitution, Nathaniel Clyne , Joel Ward 
142,9,Leeds United,home, 91 ,Yellow card, Wilfried Gnonto ,
143,10,Manchester City,away, 36 ,Yellow card, John Stones ,
144,10,Manchester City,away, 45 ,Goal, Erling Haaland , Kevin De Bruyne 
145,10,Manchester City,away, 56 ,Substitution, Bernardo Silva , Riyad Mahrez 
146,10,Manchester City,away, 56 ,Yellow card, Erling Haaland ,
147,10,Manchester City,away, 56 ,Substitution, Kyle Walker , John Stones 
148,10,Manchester City,away, 58 ,Goal, Jack Grealish ,
149,10,Southampton,home, 61 ,Substitution, Stuart Armstrong , Mohamed Elyounoussi 
150,10,Manchester City,away, 68 ,Goal, Erling Haaland , Jack Grealish 
151,10,Southampton,home, 69 ,Substitution, Sékou Mara , Kamaldeen Sulemana 
152,10,Southampton,home, 69 ,Substitution, Moussa Djenepo , Carlos Alcaraz 
153,10,Manchester City,away, 69 ,Substitution, Julián Álvarez , Erling Haaland 
154,10,Southampton,home, 72 ,Goal, Sékou Mara , Moussa Djenepo 
155,10,Manchester City,away, 75 ,Penalty, Julián Álvarez , Penalty 
156,10,Southampton,home, 80 ,Substitution, Ibrahima Diallo , Roméo Lavia 
157,10,Southampton,home, 80 ,Substitution, Romain Perraud , Theo Walcott 
158,10,Manchester City,away, 81 ,Substitution, Sergio Gómez , Nathan Aké 
159,10,Manchester City,away, 81 ,Substitution, Kalvin Phillips , Rodri 
160,11,Tottenham Hotspur,home, 10 ,Goal, Son Heung-min , Ivan Perišić 
161,11,Brighton & Hove Albion,away, 34 ,Goal, Lewis Dunk , Solomon March 
162,11,Brighton & Hove Albion,away, 55 ,Disallowed goal,Disallowed goal,
