event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Monza,away, 29 ,Substitution, Gianluca Caprari , Stefano Sensi 
2,1,Monza,away, 44 ,Yellow card, Armando Izzo ,
3,1,Inter,home, 51 ,Substitution, Francesco Acerbi , Stefan de Vrij 
4,1,Monza,away, 59 ,Substitution, Jose Machin Dicombo , Nicolò Rovella 
5,1,Monza,away, 59 ,Substitution, Samuele Birindelli , Andrea Colpani 
6,1,Monza,away, 62 ,Yellow card, Gianluca Caprari ,
7,1,Inter,home, 66 ,Yellow card, Henrikh Mkhitaryan ,
8,1,Inter,home, 71 ,Substitution, Lautaro Martínez , Joaquín Correa 
9,1,Inter,home, 71 ,Substitution, Marcelo Brozović , Kristjan Asllani 
10,1,Inter,home, 71 ,Substitution, Hakan Calhanoglu , Henrikh Mkhitaryan 
11,1,Monza,away, 78 ,Goal, Luca Caldirola , Patrick Ciurria 
12,1,Inter,home, 80 ,Yellow card, Marcelo Brozović ,
13,1,Inter,home, 81 ,Substitution, Edin Dzeko , Matteo Darmian 
14,1,Monza,away, 85 ,Substitution, Marlon , Armando Izzo 
15,1,Monza,away, 85 ,Substitution, Mattia Valoti , Dany Mota 
16,2,Hellas Verona,away, 14 ,Yellow card, Federico Ceccherini ,
17,2,Napoli,home, 64 ,Substitution, Khvicha Kvaratskhelia , Hirving Lozano 
18,2,Napoli,home, 64 ,Substitution, Piotr Zieliński , Diego Demme 
19,2,Hellas Verona,away, 65 ,Substitution, Milan Duric , Adolfo Gaich 
20,2,Hellas Verona,away, 65 ,Substitution, Diego Coppola , Federico Ceccherini 
21,2,Hellas Verona,away, 70 ,Substitution, Filippo Terracciano , Davide Faraoni 
22,2,Hellas Verona,away, 70 ,Substitution, Simone Verdi , Ondrej Duda 
23,2,Napoli,home, 73 ,Substitution, Stanislav Lobotka , Eljif Elmas 
24,2,Napoli,home, 73 ,Substitution, Victor Osimhen , Giacomo Raspadori 
25,2,Hellas Verona,away, 78 ,Yellow card, Filippo Terracciano ,
26,2,Napoli,home, 84 ,Substitution, Karim Zedadka , Matteo Politano 
27,2,Hellas Verona,away, 87 ,Substitution, Cyril Ngonge , Kevin Lasagna 
28,2,Hellas Verona,away, 90 ,Yellow card, Paweł Dawidowicz ,
29,2,Napoli,home, 91 ,Yellow card, Khvicha Kvaratskhelia ,
30,2,Hellas Verona,away, 94 ,Yellow card, Simone Verdi ,
31,3,Bologna,home, 1 ,Goal, Nicola Sansone , Stefan Posch 
32,3,Milan,away, 40 ,Goal, Tommaso Pobega ,
33,3,Milan,away, 54 ,Yellow card, Alessandro Florenzi ,
34,3,Milan,away, 57 ,Substitution, Junior Messias , Alexis Saelemaekers 
35,3,Bologna,home, 57 ,Substitution, Joshua Zirkzee , Nicola Sansone 
36,3,Milan,away, 57 ,Substitution, Davide Calabria , Alessandro Florenzi 
37,3,Bologna,home, 58 ,Yellow card, Stefan Posch ,
38,3,Bologna,home, 70 ,Yellow card, Nicolás Domínguez ,
39,3,Milan,away, 70 ,Substitution, Rafael Leão , Divock Origi 
40,3,Milan,away, 70 ,Substitution, Brahim Diaz , Charles De Ketelaere 
41,3,Bologna,home, 73 ,Substitution, Charalampos Lykogiannis , Musa Barrow 
42,3,Bologna,home, 73 ,Substitution, Nikola Moro , Michel Aebischer 
43,3,Milan,away, 80 ,Yellow card, Davide Calabria ,
44,3,Milan,away, 81 ,Yellow card, Tommaso Pobega ,
45,3,Milan,away, 81 ,Substitution, Matteo Gabbia , Malick Thiaw 
46,3,Bologna,home, 85 ,Substitution, Gary Medel , Jerdy Schouten 
47,3,Milan,away, 87 ,Yellow card, Aster Vranckx ,
48,3,Bologna,home, 90 ,Yellow card, Giorgos Kiriakopoulos ,
49,4,Spezia,home, 30 ,Yellow card, Emmanuel Gyasi ,
50,4,Spezia,home, 33 ,Yellow card, Ethan Ampadu ,
51,4,Lazio,away, 36 ,Penalty, Ciro Immobile , Penalty 
52,4,Lazio,away, 52 ,Goal, Felipe Anderson ,
53,4,Spezia,home, 61 ,Substitution, Kevin Agudelo , Mehdi Bourabia 
54,4,Spezia,home, 62 ,Substitution, Arkadiusz Reca , Dimitrios Nikolaou 
55,4,Spezia,home, 62 ,Substitution, Daniel Maldini , Emmanuel Gyasi 
56,4,Lazio,away, 69 ,Substitution, Pedro , Ciro Immobile 
57,4,Lazio,away, 71 ,Yellow card, Danilo Cataldi ,
58,4,Spezia,home, 76 ,Substitution, Eldor Shomurodov , Daniele Verde 
59,4,Lazio,away, 80 ,Substitution, Marcos Antônio , Danilo Cataldi 
60,4,Lazio,away, 81 ,Yellow card, Marcos Antônio ,
61,4,Lazio,away, 83 ,Yellow card, Alessio Romagnoli ,
62,4,Spezia,home, 84 ,Second yellow card, Ethan Ampadu ,
63,4,Lazio,away, 88 ,Substitution, Matteo Cancellieri , Mattia Zaccagni 
64,4,Lazio,away, 88 ,Yellow card, Matteo Cancellieri ,
65,4,Lazio,away, 89 ,Goal, Marcos Antônio ,
66,5,Cremonese,home, 4 ,Goal, Cyriel Dessers , Leonardo Sernicola 
67,5,Cremonese,home, 15 ,Yellow card, Leonardo Sernicola ,
68,5,Empoli,away, 40 ,Substitution, Sebastian Walukiewicz , Koni De Winter 
69,5,Cremonese,home, 52 ,Substitution, Emanuel Aiwu , Luka Lochoshvili 
70,5,Empoli,away, 62 ,Substitution, Nicolò Cambiaghi , Roberto Piccoli 
71,5,Empoli,away, 62 ,Substitution, Petar Stojanović , Tyronne Ebuehi 
72,5,Cremonese,home, 67 ,Substitution, Marco Benassi , Pablo Galdames 
73,5,Cremonese,home, 67 ,Substitution, David Okereke , Cyriel Dessers 
74,5,Empoli,away, 78 ,Substitution, Liam Henderson , Filippo Bandinelli 
75,5,Empoli,away, 79 ,Substitution, Mattia Destro , Jacopo Fazzini 
76,5,Cremonese,home, 85 ,Substitution, Giacomo Quagliata , Frank Tsadjout 
77,6,Lazio,home, 38 ,Goal, Sergej Milinković-Savić , Mattia Zaccagni 
78,6,Juventus,away, 40 ,Yellow card, Leonardo Bonucci ,
79,6,Juventus,away, 42 ,Goal, Adrien Rabiot ,
80,6,Juventus,away, 45 ,Yellow card, Alex Sandro ,
81,6,Juventus,away, 48 ,Yellow card, Manuel Locatelli ,
82,6,Juventus,away, 50 ,Yellow card, Juan Cuadrado ,
83,6,Lazio,home, 53 ,Goal, Mattia Zaccagni , Luis Alberto 
84,6,Juventus,away, 63 ,Substitution, Leandro Paredes , Manuel Locatelli 
85,6,Juventus,away, 63 ,Substitution, Arek Milik , Dušan Vlahović 
86,6,Juventus,away, 63 ,Substitution, Federico Chiesa , Filip Kostić 
87,6,Lazio,home, 65 ,Substitution, Pedro , Ciro Immobile 
88,6,Lazio,home, 70 ,Substitution, Matías Vecino , Danilo Cataldi 
89,6,Juventus,away, 70 ,Substitution, Danilo , Juan Cuadrado 
90,6,Lazio,home, 78 ,Yellow card, Ivan Provedel ,
91,6,Lazio,home, 84 ,Substitution, Toma Bašić , Mattia Zaccagni 
92,6,Lazio,home, 86 ,Yellow card, Sergej Milinković-Savić ,
93,6,Juventus,away, 86 ,Substitution, Fabio Miretti , Nicolò Fagioli 
94,6,Juventus,away, 95 ,Yellow card, Fabio Miretti ,
95,7,Sassuolo,away, 20 ,Yellow card, Armand Laurienté ,
96,7,Sassuolo,away, 34 ,Goal, Abdou Harroui , Domenico Berardi 
97,7,Hellas Verona,home, 43 ,Yellow card, Miguel Veloso ,
98,7,Hellas Verona,home, 45 ,Substitution, Federico Ceccherini , Josh Doig 
99,7,Hellas Verona,home, 45 ,Substitution, Cyril Ngonge , Miguel Veloso 
100,7,Sassuolo,away, 48 ,Yellow card, Ruan ,
101,7,Sassuolo,away, 57 ,Yellow card, Andrea Pinamonti ,
102,7,Hellas Verona,home, 61 ,Substitution, Milan Duric , Simone Verdi 
103,7,Hellas Verona,home, 67 ,Substitution, Yayah Kallon , Davide Faraoni 
104,7,Sassuolo,away, 68 ,Substitution, Gregoire Defrel , Domenico Berardi 
105,7,Sassuolo,away, 68 ,Substitution, Matheus Henrique , Abdou Harroui 
106,7,Hellas Verona,home, 81 ,Substitution, Adolfo Gaich , Filippo Terracciano 
107,7,Sassuolo,away, 82 ,Substitution, Kristian Thorstvedt , Davide Frattesi 
108,7,Sassuolo,away, 82 ,Substitution, Nedim Bajrami , Armand Laurienté 
109,7,Hellas Verona,home, 84 ,Goal, Federico Ceccherini , Cyril Ngonge 
110,7,Hellas Verona,home, 84 ,Yellow card, Kevin Lasagna ,
111,7,Sassuolo,away, 87 ,Substitution, Agustín Álvarez , Andrea Pinamonti 
112,7,Hellas Verona,home, 89 ,Yellow card, Giangiacomo Magnani ,
113,7,Sassuolo,away, 89 ,Yellow card, Maxime Lopez ,
114,7,Hellas Verona,home, 95 ,Goal, Adolfo Gaich ,
115,8,Torino,home, 7 ,Yellow card, Perr Schuurs ,
116,8,Roma,away, 8 ,Penalty, Paulo Dybala , Penalty 
117,8,Roma,away, 11 ,Yellow card, Stephan El Shaarawy ,
118,8,Torino,home, 62 ,Substitution, Koffi Djidji , Samuele Ricci 
119,8,Torino,home, 62 ,Substitution, Nikola Vlašić , Andreaw Gravillon 
120,8,Torino,home, 62 ,Substitution, Pietro Pellegri , Antonio Sanabria 
121,8,Roma,away, 70 ,Substitution, Lorenzo Pellegrini , Stephan El Shaarawy 
122,8,Roma,away, 74 ,Substitution, Nemanja Matic , Ola Solbakken 
123,8,Torino,home, 78 ,Yellow card, Gvidas Gineitis ,
124,8,Torino,home, 78 ,Substitution, Valentino Lazaro , Nemanja Radonjić 
125,8,Torino,home, 79 ,Substitution, Yann Karamoh , Alessandro Buongiorno 
126,8,Torino,home, 81 ,Yellow card, Vanja Milinković-Savić ,
127,8,Roma,away, 83 ,Substitution, Tammy Abraham , Paulo Dybala 
128,9,Sampdoria,home, 15 ,Goal, Mehdi Léris , Tommaso Augello 
129,9,Cremonese,away, 35 ,Goal, Paolo Ghiglione , Giacomo Quagliata 
130,9,Cremonese,away, 37 ,Yellow card, Matteo Bianchetti ,
131,9,Sampdoria,home, 45 ,Substitution, Sam Lammers , Michaël Cuisance 
132,9,Sampdoria,home, 66 ,Goal, Sam Lammers , Tommaso Augello 
133,9,Cremonese,away, 67 ,Substitution, Daniel Ciofani , Frank Tsadjout 
134,9,Cremonese,away, 68 ,Substitution, Leonardo Sernicola , Alex Ferrari 
135,9,Cremonese,away, 68 ,Substitution, Emanuele Valeri , Paolo Ghiglione 
136,9,Cremonese,away, 73 ,Substitution, Charles Pickel , Giacomo Quagliata 
137,9,Sampdoria,home, 76 ,Substitution, Marios Oikonomou , Alessandro Zanoli 
138,9,Cremonese,away, 81 ,Substitution, Felix Afena-Gyan , Daniel Ciofani 
139,9,Cremonese,away, 85 ,Goal, Luka Lochoshvili , Cyriel Dessers 
140,9,Sampdoria,home, 88 ,Substitution, Jese Rodriguez Ruiz , Tommaso Augello 
141,9,Sampdoria,home, 88 ,Substitution, Nicola Murru , Filip Đuričić 
