match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 28,15/04/2023,False,False,False,Eintracht Frankfurt,M'gladbach,1,1,0.59,0.41,16, 4 ,5, 2 ,0.49,0.51,0.61,0.06,0.33,28039,Deutsche Bank Park,"[{'player_name': ' Kolo Muani ', 'player_number': ' 9'}, {'player_name': ' Kamada ', 'player_number': ' 15'}, {'player_name': ' Borré ', 'player_number': ' 19'}, {'player_name': ' Lenz ', 'player_number': ' 25'}, {'player_name': ' Sow ', 'player_number': ' 8'}, {'player_name': ' Rode ', 'player_number': ' 17'}, {'player_name': ' Ulineia Buta ', 'player_number': ' 24'}, {'player_name': ' Jakić ', 'player_number': ' 6'}, {'player_name': ' Hasebe ', 'player_number': ' 20'}, {'player_name': ' Tuta ', 'player_number': ' 35'}, {'player_name': ' Trapp ', 'player_number': ' 1'}]","[{'player_name': ' Thuram ', 'player_number': ' 10'}, {'player_name': ' Plea ', 'player_number': ' 14'}, {'player_name': ' Neuhaus ', 'player_number': ' 32'}, {'player_name': ' Hofmann ', 'player_number': ' 23'}, {'player_name': ' Koné ', 'player_number': ' 17'}, {'player_name': ' Weigl ', 'player_number': ' 8'}, {'player_name': ' Bensebaïni ', 'player_number': ' 25'}, {'player_name': ' Elvedi ', 'player_number': ' 30'}, {'player_name': ' Itakura ', 'player_number': ' 3'}, {'player_name': ' Scally ', 'player_number': ' 29'}, {'player_name': ' Omlin ', 'player_number': ' 1'}]","['Kolo Muani', 'Kamada', 'Borré', 'Lenz', 'Sow', 'Rode', 'Ulineia Buta', 'Jakić', 'Hasebe', 'Tuta', 'Trapp']","['9', '15', '19', '25', '8', '17', '24', '6', '20', '35', '1']","['Thuram', 'Plea', 'Neuhaus', 'Hofmann', 'Koné', 'Weigl', 'Bensebaïni', 'Elvedi', 'Itakura', 'Scally', 'Omlin']","['10', '14', '32', '23', '17', '8', '25', '30', '3', '29', '1']"
2,Matchday 28,15/04/2023,False,False,False,VfB Stuttgart,Borussia Dortmund,3,3,0.43,0.57,12, 15 ,5, 6 ,0.53,0.47,0.15,0.02,0.83,69123,Mercedes-Benz Arena,"[{'player_name': ' Guirassy ', 'player_number': ' 9'}, {'player_name': ' Führich ', 'player_number': ' 22'}, {'player_name': ' Millot ', 'player_number': ' 8'}, {'player_name': ' Sosa ', 'player_number': ' 24'}, {'player_name': ' Endo ', 'player_number': ' 3'}, {'player_name': ' Karazor ', 'player_number': ' 16'}, {'player_name': ' Vagnoman ', 'player_number': ' 4'}, {'player_name': ' Anton ', 'player_number': ' 2'}, {'player_name': ' Zagadou ', 'player_number': ' 23'}, {'player_name': ' Mavropanos ', 'player_number': ' 5'}, {'player_name': ' Bredlow ', 'player_number': ' 33'}]","[{'player_name': ' Haller ', 'player_number': ' 9'}, {'player_name': ' Adeyemi ', 'player_number': ' 27'}, {'player_name': ' Brandt ', 'player_number': ' 19'}, {'player_name': ' Bellingham ', 'player_number': ' 22'}, {'player_name': ' Malen ', 'player_number': ' 21'}, {'player_name': ' Özcan ', 'player_number': ' 6'}, {'player_name': ' Guerreiro ', 'player_number': ' 13'}, {'player_name': ' Hummels ', 'player_number': ' 15'}, {'player_name': ' Can ', 'player_number': ' 23'}, {'player_name': ' Ryerson ', 'player_number': ' 26'}, {'player_name': ' Kobel ', 'player_number': ' 1'}]","['Guirassy', 'Führich', 'Millot', 'Sosa', 'Endo', 'Karazor', 'Vagnoman', 'Anton', 'Zagadou', 'Mavropanos', 'Bredlow']","['9', '22', '8', '24', '3', '16', '4', '2', '23', '5', '33']","['Haller', 'Adeyemi', 'Brandt', 'Bellingham', 'Malen', 'Özcan', 'Guerreiro', 'Hummels', 'Can', 'Ryerson', 'Kobel']","['9', '27', '19', '22', '21', '6', '13', '15', '23', '26', '1']"
3,Matchday 28,15/04/2023,False,False,False,RB Leipzig,Augsburg,3,2,0.59,0.41,12, 12 ,6, 2 ,0.54,0.46,0.81,0.04,0.15,18199,Red Bull Arena,"[{'player_name': ' Olmo ', 'player_number': ' 7'}, {'player_name': ' Werner ', 'player_number': ' 11'}, {'player_name': ' Szoboszlai ', 'player_number': ' 17'}, {'player_name': ' Raum ', 'player_number': ' 22'}, {'player_name': ' Haidara ', 'player_number': ' 8'}, {'player_name': ' Kampl ', 'player_number': ' 44'}, {'player_name': ' Henrichs ', 'player_number': ' 39'}, {'player_name': ' Gvardiol ', 'player_number': ' 32'}, {'player_name': ' Orban ', 'player_number': ' 4'}, {'player_name': ' Klostermann ', 'player_number': ' 16'}, {'player_name': ' Blaswich ', 'player_number': ' 21'}]","[{'player_name': ' Beljo ', 'player_number': ' 7'}, {'player_name': ' Pedersen ', 'player_number': ' 3'}, {'player_name': ' Maier ', 'player_number': ' 10'}, {'player_name': ' Iago ', 'player_number': ' 22'}, {'player_name': ' Rexhbecaj ', 'player_number': ' 13'}, {'player_name': ' Engels ', 'player_number': ' 27'}, {'player_name': ' Gumny ', 'player_number': ' 2'}, {'player_name': ' Uduokhai ', 'player_number': ' 19'}, {'player_name': ' Gouweleeuw ', 'player_number': ' 6'}, {'player_name': ' Bauer ', 'player_number': ' 23'}, {'player_name': ' Koubek ', 'player_number': ' 40'}]","['Olmo', 'Werner', 'Szoboszlai', 'Raum', 'Haidara', 'Kampl', 'Henrichs', 'Gvardiol', 'Orban', 'Klostermann', 'Blaswich']","['7', '11', '17', '22', '8', '44', '39', '32', '4', '16', '21']","['Beljo', 'Pedersen', 'Maier', 'Iago', 'Rexhbecaj', 'Engels', 'Gumny', 'Uduokhai', 'Gouweleeuw', 'Bauer', 'Koubek']","['7', '3', '10', '22', '13', '27', '2', '19', '6', '23', '40']"
4,Matchday 28,15/04/2023,False,False,False,Bayern Munich,Hoffenheim,1,1,0.66,0.34,22, 4 ,8, 1 ,0.43,0.57,0.86,0.03,0.11,102694,Allianz Arena,"[{'player_name': ' Gnabry ', 'player_number': ' 7'}, {'player_name': ' Coman ', 'player_number': ' 11'}, {'player_name': ' Müller ', 'player_number': ' 25'}, {'player_name': ' Sané ', 'player_number': ' 10'}, {'player_name': ' Goretzka ', 'player_number': ' 8'}, {'player_name': ' Kimmich ', 'player_number': ' 6'}, {'player_name': ' Cancelo ', 'player_number': ' 22'}, {'player_name': ' De Ligt ', 'player_number': ' 4'}, {'player_name': ' Upamecano ', 'player_number': ' 2'}, {'player_name': ' Pavard ', 'player_number': ' 5'}, {'player_name': ' Sommer ', 'player_number': ' 27'}]","[{'player_name': ' Baumgartner ', 'player_number': ' 14'}, {'player_name': ' Bebou ', 'player_number': ' 9'}, {'player_name': ' Angeliño ', 'player_number': ' 11'}, {'player_name': ' Stiller ', 'player_number': ' 13'}, {'player_name': ' Geiger ', 'player_number': ' 8'}, {'player_name': ' Kramarić ', 'player_number': ' 27'}, {'player_name': ' Kaderabek ', 'player_number': ' 3'}, {'player_name': ' Akpoguma ', 'player_number': ' 25'}, {'player_name': ' Anthony Brooks ', 'player_number': ' 23'}, {'player_name': ' Kabak ', 'player_number': ' 5'}, {'player_name': ' Baumann ', 'player_number': ' 1'}]","['Gnabry', 'Coman', 'Müller', 'Sané', 'Goretzka', 'Kimmich', 'Cancelo', 'De Ligt', 'Upamecano', 'Pavard', 'Sommer']","['7', '11', '25', '10', '8', '6', '22', '4', '2', '5', '27']","['Baumgartner', 'Bebou', 'Angeliño', 'Stiller', 'Geiger', 'Kramarić', 'Kaderabek', 'Akpoguma', 'Anthony Brooks', 'Kabak', 'Baumann']","['14', '9', '11', '13', '8', '27', '3', '25', '23', '5', '1']"
5,Matchday 28,15/04/2023,False,False,False,1. FC Köln,Mainz 05,1,1,0.54,0.46,11, 5 ,4, 1 ,0.51,0.49,0.59,0.08,0.33,14802,RheinEnergieStadion,"[{'player_name': ' Selke ', 'player_number': ' 27'}, {'player_name': ' Maina ', 'player_number': ' 37'}, {'player_name': ' Kainz ', 'player_number': ' 11'}, {'player_name': ' Schindler ', 'player_number': ' 17'}, {'player_name': ' Martel ', 'player_number': ' 6'}, {'player_name': ' Ljubicic ', 'player_number': ' 7'}, {'player_name': ' Hector ', 'player_number': ' 14'}, {'player_name': ' Chabot ', 'player_number': ' 24'}, {'player_name': ' Hübers ', 'player_number': ' 4'}, {'player_name': ' Schmitz ', 'player_number': ' 2'}, {'player_name': ' Schwäbe ', 'player_number': ' 20'}]","[{'player_name': ' Onisiwo ', 'player_number': ' 9'}, {'player_name': ' Ajorque ', 'player_number': ' 17'}, {'player_name': ' Stach ', 'player_number': ' 6'}, {'player_name': ' Caci ', 'player_number': ' 19'}, {'player_name': ' Kohr ', 'player_number': ' 31'}, {'player_name': ' Barreiro ', 'player_number': ' 8'}, {'player_name': ' Widmer ', 'player_number': ' 30'}, {'player_name': ' Hanche-Olsen ', 'player_number': ' 25'}, {'player_name': ' Bell ', 'player_number': ' 16'}, {'player_name': ' Fernandes ', 'player_number': ' 20'}, {'player_name': ' Zentner ', 'player_number': ' 27'}]","['Selke', 'Maina', 'Kainz', 'Schindler', 'Martel', 'Ljubicic', 'Hector', 'Chabot', 'Hübers', 'Schmitz', 'Schwäbe']","['27', '37', '11', '17', '6', '7', '14', '24', '4', '2', '20']","['Onisiwo', 'Ajorque', 'Stach', 'Caci', 'Kohr', 'Barreiro', 'Widmer', 'Hanche-Olsen', 'Bell', 'Fernandes', 'Zentner']","['9', '17', '6', '19', '31', '8', '30', '25', '16', '20', '27']"
6,Matchday 28,14/04/2023,False,False,False,Schalke 04,Hertha BSC,5,2,0.52,0.48,14, 11 ,7, 5 ,0.55,0.45,0.63,0.06,0.31,36154,VELTINS-Arena,"[{'player_name': ' Terodde ', 'player_number': ' 9'}, {'player_name': ' Bülter ', 'player_number': ' 11'}, {'player_name': ' Drexler ', 'player_number': ' 24'}, {'player_name': ' Skarke ', 'player_number': ' 20'}, {'player_name': ' Král ', 'player_number': ' 30'}, {'player_name': ' Latza ', 'player_number': ' 8'}, {'player_name': ' Matriciani ', 'player_number': ' 41'}, {'player_name': ' Kaminski ', 'player_number': ' 35'}, {'player_name': ' Jenz ', 'player_number': ' 25'}, {'player_name': ' Brunner ', 'player_number': ' 27'}, {'player_name': ' Fährmann ', 'player_number': ' 1'}]","[{'player_name': ' Jovetic ', 'player_number': ' 19'}, {'player_name': ' Lukebakio ', 'player_number': ' 14'}, {'player_name': ' Plattenhardt ', 'player_number': ' 21'}, {'player_name': ' Boateng ', 'player_number': ' 27'}, {'player_name': ' Cigerci ', 'player_number': ' 6'}, {'player_name': ' Tousart ', 'player_number': ' 29'}, {'player_name': ' Richter ', 'player_number': ' 23'}, {'player_name': ' Dárdai ', 'player_number': ' 31'}, {'player_name': ' Kempf ', 'player_number': ' 20'}, {'player_name': ' Uremovic ', 'player_number': ' 5'}, {'player_name': ' Christensen ', 'player_number': ' 1'}]","['Terodde', 'Bülter', 'Drexler', 'Skarke', 'Král', 'Latza', 'Matriciani', 'Kaminski', 'Jenz', 'Brunner', 'Fährmann']","['9', '11', '24', '20', '30', '8', '41', '35', '25', '27', '1']","['Jovetic', 'Lukebakio', 'Plattenhardt', 'Boateng', 'Cigerci', 'Tousart', 'Richter', 'Dárdai', 'Kempf', 'Uremovic', 'Christensen']","['19', '14', '21', '27', '6', '29', '23', '31', '20', '5', '1']"
7,Matchday 27,09/04/2023,False,False,False,Hoffenheim,Schalke 04,2,0,0.44,0.56,15, 11 ,4, 3 ,0.55,0.45,0.32,0.05,0.63,25217,PreZero Arena,"[{'player_name': ' Bebou ', 'player_number': ' 9'}, {'player_name': ' Baumgartner ', 'player_number': ' 14'}, {'player_name': ' Angeliño ', 'player_number': ' 11'}, {'player_name': ' Becker ', 'player_number': ' 20'}, {'player_name': ' Geiger ', 'player_number': ' 8'}, {'player_name': ' Kramarić ', 'player_number': ' 27'}, {'player_name': ' Kaderabek ', 'player_number': ' 3'}, {'player_name': ' Akpoguma ', 'player_number': ' 25'}, {'player_name': ' Anthony Brooks ', 'player_number': ' 23'}, {'player_name': ' Vogt ', 'player_number': ' 22'}, {'player_name': ' Baumann ', 'player_number': ' 1'}]","[{'player_name': ' Frey ', 'player_number': ' 26'}, {'player_name': ' Bülter ', 'player_number': ' 11'}, {'player_name': ' Zalazar ', 'player_number': ' 10'}, {'player_name': ' Skarke ', 'player_number': ' 20'}, {'player_name': ' Král ', 'player_number': ' 30'}, {'player_name': ' Krauß ', 'player_number': ' 6'}, {'player_name': ' Ouwejan ', 'player_number': ' 2'}, {'player_name': ' Matriciani ', 'player_number': ' 41'}, {'player_name': ' Yoshida ', 'player_number': ' 4'}, {'player_name': ' Brunner ', 'player_number': ' 27'}, {'player_name': ' Fährmann ', 'player_number': ' 1'}]","['Bebou', 'Baumgartner', 'Angeliño', 'Becker', 'Geiger', 'Kramarić', 'Kaderabek', 'Akpoguma', 'Anthony Brooks', 'Vogt', 'Baumann']","['9', '14', '11', '20', '8', '27', '3', '25', '23', '22', '1']","['Frey', 'Bülter', 'Zalazar', 'Skarke', 'Král', 'Krauß', 'Ouwejan', 'Matriciani', 'Yoshida', 'Brunner', 'Fährmann']","['26', '11', '10', '20', '30', '6', '2', '41', '4', '27', '1']"
8,Matchday 27,09/04/2023,False,False,False,VfL Bochum,VfB Stuttgart,2,3,0.56,0.44,12, 15 ,5, 7 ,0.46,0.54,0.32,0.06,0.62,19148,Vonovia Ruhrstadion,"[{'player_name': ' Hofmann ', 'player_number': ' 33'}, {'player_name': ' Antwi-Adjei ', 'player_number': ' 22'}, {'player_name': ' Stöger ', 'player_number': ' 7'}, {'player_name': ' Asano ', 'player_number': ' 11'}, {'player_name': ' Losilla ', 'player_number': ' 8'}, {'player_name': ' Osterhage ', 'player_number': ' 6'}, {'player_name': ' Soares ', 'player_number': ' 3'}, {'player_name': ' Masovic ', 'player_number': ' 4'}, {'player_name': ' Ordets ', 'player_number': ' 20'}, {'player_name': ' Stafylidis ', 'player_number': ' 16'}, {'player_name': ' Riemann ', 'player_number': ' 1'}]","[{'player_name': ' Führich ', 'player_number': ' 22'}, {'player_name': ' Guirassy ', 'player_number': ' 9'}, {'player_name': ' Sosa ', 'player_number': ' 24'}, {'player_name': ' Endo ', 'player_number': ' 3'}, {'player_name': ' Karazor ', 'player_number': ' 16'}, {'player_name': ' Millot ', 'player_number': ' 8'}, {'player_name': ' Vagnoman ', 'player_number': ' 4'}, {'player_name': ' Ito ', 'player_number': ' 21'}, {'player_name': ' Anton ', 'player_number': ' 2'}, {'player_name': ' Mavropanos ', 'player_number': ' 5'}, {'player_name': ' Bredlow ', 'player_number': ' 33'}]","['Hofmann', 'Antwi-Adjei', 'Stöger', 'Asano', 'Losilla', 'Osterhage', 'Soares', 'Masovic', 'Ordets', 'Stafylidis', 'Riemann']","['33', '22', '7', '11', '8', '6', '3', '4', '20', '16', '1']","['Führich', 'Guirassy', 'Sosa', 'Endo', 'Karazor', 'Millot', 'Vagnoman', 'Ito', 'Anton', 'Mavropanos', 'Bredlow']","['22', '9', '24', '3', '16', '8', '4', '21', '2', '5', '33']"
9,Matchday 27,09/04/2023,False,False,False,M'gladbach,VfL Wolfsburg,2,0,0.44,0.56,13, 10 ,6, 2 ,0.46,0.54,0.61,0.08,0.31,19607,Stadion im BORUSSIA-PARK,"[{'player_name': ' Thuram ', 'player_number': ' 10'}, {'player_name': ' Plea ', 'player_number': ' 14'}, {'player_name': ' Stindl ', 'player_number': ' 13'}, {'player_name': ' Ngoumou ', 'player_number': ' 19'}, {'player_name': ' Neuhaus ', 'player_number': ' 32'}, {'player_name': ' Kramer ', 'player_number': ' 6'}, {'player_name': ' Bensebaïni ', 'player_number': ' 25'}, {'player_name': ' Elvedi ', 'player_number': ' 30'}, {'player_name': ' Itakura ', 'player_number': ' 3'}, {'player_name': ' Scally ', 'player_number': ' 29'}, {'player_name': ' Omlin ', 'player_number': ' 1'}]","[{'player_name': ' Kamiński ', 'player_number': ' 16'}, {'player_name': ' Marmoush ', 'player_number': ' 33'}, {'player_name': ' Svanberg ', 'player_number': ' 32'}, {'player_name': ' Gerhardt ', 'player_number': ' 31'}, {'player_name': ' Arnold ', 'player_number': ' 27'}, {'player_name': ' Nmecha ', 'player_number': ' 22'}, {'player_name': ' Otávio ', 'player_number': ' 6'}, {'player_name': ' Van de Ven ', 'player_number': ' 5'}, {'player_name': ' Lacroix ', 'player_number': ' 4'}, {'player_name': ' Fischer ', 'player_number': ' 2'}, {'player_name': ' Casteels ', 'player_number': ' 1'}]","['Thuram', 'Plea', 'Stindl', 'Ngoumou', 'Neuhaus', 'Kramer', 'Bensebaïni', 'Elvedi', 'Itakura', 'Scally', 'Omlin']","['10', '14', '13', '19', '32', '6', '25', '30', '3', '29', '1']","['Kamiński', 'Marmoush', 'Svanberg', 'Gerhardt', 'Arnold', 'Nmecha', 'Otávio', 'Van de Ven', 'Lacroix', 'Fischer', 'Casteels']","['16', '33', '32', '31', '27', '22', '6', '5', '4', '2', '1']"
10,Matchday 27,08/04/2023,False,False,False,Hertha BSC,RB Leipzig,0,1,0.32,0.68,11, 18 ,1, 6 ,0.49,0.51,0.26,0.04,0.7,23270,Olympiastadion,"[{'player_name': ' Kanga ', 'player_number': ' 18'}, {'player_name': ' Lukebakio ', 'player_number': ' 14'}, {'player_name': ' Plattenhardt ', 'player_number': ' 21'}, {'player_name': ' Boateng ', 'player_number': ' 27'}, {'player_name': ' Cigerci ', 'player_number': ' 6'}, {'player_name': ' Tousart ', 'player_number': ' 29'}, {'player_name': ' Kenny ', 'player_number': ' 16'}, {'player_name': ' Dárdai ', 'player_number': ' 31'}, {'player_name': ' Kempf ', 'player_number': ' 20'}, {'player_name': ' Uremovic ', 'player_number': ' 5'}, {'player_name': ' Christensen ', 'player_number': ' 1'}]","[{'player_name': ' Forsberg ', 'player_number': ' 10'}, {'player_name': ' Werner ', 'player_number': ' 11'}, {'player_name': ' Szoboszlai ', 'player_number': ' 17'}, {'player_name': ' Raum ', 'player_number': ' 22'}, {'player_name': ' Haidara ', 'player_number': ' 8'}, {'player_name': ' Kampl ', 'player_number': ' 44'}, {'player_name': ' Henrichs ', 'player_number': ' 39'}, {'player_name': ' Gvardiol ', 'player_number': ' 32'}, {'player_name': ' Orban ', 'player_number': ' 4'}, {'player_name': ' Simakan ', 'player_number': ' 2'}, {'player_name': ' Blaswich ', 'player_number': ' 21'}]","['Kanga', 'Lukebakio', 'Plattenhardt', 'Boateng', 'Cigerci', 'Tousart', 'Kenny', 'Dárdai', 'Kempf', 'Uremovic', 'Christensen']","['18', '14', '21', '27', '6', '29', '16', '31', '20', '5', '1']","['Forsberg', 'Werner', 'Szoboszlai', 'Raum', 'Haidara', 'Kampl', 'Henrichs', 'Gvardiol', 'Orban', 'Simakan', 'Blaswich']","['10', '11', '17', '22', '8', '44', '39', '32', '4', '2', '21']"
