match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 29,15/04/2023,False,False,False,Sparta,Heerenveen,4,0,0.49,0.51,10, 12 ,4, 5 ,0.49,0.51,0.61,0.07,0.32,1472,Sparta-Stadion Het Kasteel,"[{'player_name': ' Saito ', 'player_number': ' 11'}, {'player_name': ' Lauritsen ', 'player_number': ' 9'}, {'player_name': ' van Crooy ', 'player_number': ' 7'}, {'player_name': ' Namli ', 'player_number': ' 8'}, {'player_name': ' Kitolano ', 'player_number': ' 6'}, {'player_name': ' Verschueren ', 'player_number': ' 10'}, {'player_name': ' Pinto ', 'player_number': ' 5'}, {'player_name': ' Eerdhuijzen ', 'player_number': ' 4'}, {'player_name': ' Abels ', 'player_number': ' 3'}, {'player_name': ' Sambo ', 'player_number': ' 2'}, {'player_name': ' Olij ', 'player_number': ' 1'}]","[{'player_name': ' van Hooijdonk ', 'player_number': ' 17'}, {'player_name': ' Sahraoui ', 'player_number': ' 20'}, {'player_name': ' van Amersfoort ', 'player_number': ' 11'}, {'player_name': ' Olsson ', 'player_number': ' 19'}, {'player_name': ' Tahiri ', 'player_number': ' 26'}, {'player_name': ' Haye ', 'player_number': ' 33'}, {'player_name': ' Köhlert ', 'player_number': ' 7'}, {'player_name': ' Bochniewicz ', 'player_number': ' 5'}, {'player_name': ' van Ottele ', 'player_number': ' 6'}, {'player_name': ' van Ewijk ', 'player_number': ' 27'}, {'player_name': ' Mous ', 'player_number': ' 1'}]","['Saito', 'Lauritsen', 'van Crooy', 'Namli', 'Kitolano', 'Verschueren', 'Pinto', 'Eerdhuijzen', 'Abels', 'Sambo', 'Olij']","['11', '9', '7', '8', '6', '10', '5', '4', '3', '2', '1']","['van Hooijdonk', 'Sahraoui', 'van Amersfoort', 'Olsson', 'Tahiri', 'Haye', 'Köhlert', 'Bochniewicz', 'van Ottele', 'van Ewijk', 'Mous']","['17', '20', '11', '19', '26', '33', '7', '5', '6', '27', '1']"
2,Matchday 29,15/04/2023,False,False,False,Waalwijk,Groningen,2,1,0.61,0.39,12, 15 ,3, 4 ,0.53,0.47,0.49,0.05,0.46,1255,Mandemakers Stadion,"[{'player_name': ' Jozefzoon ', 'player_number': ' 10'}, {'player_name': ' Kramer ', 'player_number': ' 29'}, {'player_name': ' Seuntjens ', 'player_number': ' 20'}, {'player_name': ' Oukili ', 'player_number': ' 33'}, {'player_name': ' Anita ', 'player_number': ' 6'}, {'player_name': ' Clement ', 'player_number': ' 14'}, {'player_name': ' Lutonda ', 'player_number': ' 5'}, {'player_name': ' Adewoye ', 'player_number': ' 4'}, {'player_name': ' Gaari ', 'player_number': ' 23'}, {'player_name': ' Lelieveld ', 'player_number': ' 2'}, {'player_name': ' Vaessen ', 'player_number': ' 1'}]","[{'player_name': ' Pepi ', 'player_number': ' 9'}, {'player_name': ' Määttä ', 'player_number': ' 18'}, {'player_name': ' Antman ', 'player_number': ' 21'}, {'player_name': ' Irandust ', 'player_number': ' 10'}, {'player_name': ' Suslov ', 'player_number': ' 7'}, {'player_name': ' Hove ', 'player_number': ' 8'}, {'player_name': ' Musampa ', 'player_number': ' 24'}, {'player_name': ' Balker ', 'player_number': ' 12'}, {'player_name': ' Chalus ', 'player_number': ' 37'}, {'player_name': ' Dankerlui ', 'player_number': ' 2'}, {'player_name': ' Verrips ', 'player_number': ' 20'}]","['Jozefzoon', 'Kramer', 'Seuntjens', 'Oukili', 'Anita', 'Clement', 'Lutonda', 'Adewoye', 'Gaari', 'Lelieveld', 'Vaessen']","['10', '29', '20', '33', '6', '14', '5', '4', '23', '2', '1']","['Pepi', 'Määttä', 'Antman', 'Irandust', 'Suslov', 'Hove', 'Musampa', 'Balker', 'Chalus', 'Dankerlui', 'Verrips']","['9', '18', '21', '10', '7', '8', '24', '12', '37', '2', '20']"
3,Matchday 29,14/04/2023,False,False,False,Excelsior,Go Ahead Eagles,2,1,0.4,0.6,14, 17 ,3, 7 ,0.57,0.43,0.44,0.08,0.48,1478,Van Donge & De Roo Stadion,"[{'player_name': ' Lamprou ', 'player_number': ' 22'}, {'player_name': ' Driouech ', 'player_number': ' 14'}, {'player_name': ' Goudmijn ', 'player_number': ' 8'}, {'player_name': ' Azarkan ', 'player_number': ' 10'}, {'player_name': ' Koopmeiners ', 'player_number': ' 23'}, {'player_name': ' Baas ', 'player_number': ' 33'}, {'player_name': ' Zagre ', 'player_number': ' 12'}, {'player_name': ' Pierie ', 'player_number': ' 3'}, {'player_name': ' El Yaakoubi ', 'player_number': ' 4'}, {'player_name': ' Horemans ', 'player_number': ' 2'}, {'player_name': ' van Gassel ', 'player_number': ' 1'}]","[{'player_name': ' Lidberg ', 'player_number': ' 9'}, {'player_name': ' Willumsson ', 'player_number': ' 18'}, {'player_name': ' Stokkers ', 'player_number': ' 27'}, {'player_name': ' Adekanye ', 'player_number': ' 11'}, {'player_name': ' Llansana ', 'player_number': ' 21'}, {'player_name': ' Rommens ', 'player_number': ' 10'}, {'player_name': ' Kuipers ', 'player_number': ' 5'}, {'player_name': ' Fontán ', 'player_number': ' 4'}, {'player_name': ' Idzes ', 'player_number': ' 6'}, {'player_name': ' Deijl ', 'player_number': ' 2'}, {'player_name': ' de Lange ', 'player_number': ' 1'}]","['Lamprou', 'Driouech', 'Goudmijn', 'Azarkan', 'Koopmeiners', 'Baas', 'Zagre', 'Pierie', 'El Yaakoubi', 'Horemans', 'van Gassel']","['22', '14', '8', '10', '23', '33', '12', '3', '4', '2', '1']","['Lidberg', 'Willumsson', 'Stokkers', 'Adekanye', 'Llansana', 'Rommens', 'Kuipers', 'Fontán', 'Idzes', 'Deijl', 'de Lange']","['9', '18', '27', '11', '21', '10', '5', '4', '6', '2', '1']"
4,Matchday 28,09/04/2023,False,False,False,Feyenoord,Waalwijk,5,1,0.58,0.42,22, 6 ,10, 2 ,0.5,0.5,0.93,0.01,0.06,10308,De Kuip,"[{'player_name': ' Idrissi ', 'player_number': ' 26'}, {'player_name': ' Giménez ', 'player_number': ' 29'}, {'player_name': ' Barbosa da Paixão ', 'player_number': ' 14'}, {'player_name': ' Kökcü ', 'player_number': ' 10'}, {'player_name': ' Wieffer ', 'player_number': ' 20'}, {'player_name': ' Szymański ', 'player_number': ' 17'}, {'player_name': ' Hartman ', 'player_number': ' 5'}, {'player_name': ' Hancko ', 'player_number': ' 33'}, {'player_name': ' Trauner ', 'player_number': ' 18'}, {'player_name': ' Geertruida ', 'player_number': ' 4'}, {'player_name': ' Wellenreuther ', 'player_number': ' 22'}]","[{'player_name': ' Jozefzoon ', 'player_number': ' 10'}, {'player_name': ' Lobete Cienfuegos ', 'player_number': ' 7'}, {'player_name': ' Seuntjens ', 'player_number': ' 20'}, {'player_name': ' Clement ', 'player_number': ' 14'}, {'player_name': ' Anita ', 'player_number': ' 6'}, {'player_name': ' Oukili ', 'player_number': ' 33'}, {'player_name': ' Wouters ', 'player_number': ' 34'}, {'player_name': ' Adewoye ', 'player_number': ' 4'}, {'player_name': ' Gaari ', 'player_number': ' 23'}, {'player_name': ' Lelieveld ', 'player_number': ' 2'}, {'player_name': ' Vaessen ', 'player_number': ' 1'}]","['Idrissi', 'Giménez', 'Barbosa da Paixão', 'Kökcü', 'Wieffer', 'Szymański', 'Hartman', 'Hancko', 'Trauner', 'Geertruida', 'Wellenreuther']","['26', '29', '14', '10', '20', '17', '5', '33', '18', '4', '22']","['Jozefzoon', 'Lobete Cienfuegos', 'Seuntjens', 'Clement', 'Anita', 'Oukili', 'Wouters', 'Adewoye', 'Gaari', 'Lelieveld', 'Vaessen']","['10', '7', '20', '14', '6', '33', '34', '4', '23', '2', '1']"
5,Matchday 28,09/04/2023,False,False,False,Ajax,Fortuna,4,0,0.71,0.29,31, 9 ,8, 1 ,0.48,0.52,0.91,0.02,0.07,10926,Johan Cruijff Arena,"[{'player_name': ' Bergwijn ', 'player_number': ' 7'}, {'player_name': ' Tadić ', 'player_number': ' 10'}, {'player_name': ' Berghuis ', 'player_number': ' 23'}, {'player_name': ' Taylor ', 'player_number': ' 8'}, {'player_name': ' Grillitsch ', 'player_number': ' 21'}, {'player_name': ' Klaassen ', 'player_number': ' 6'}, {'player_name': ' Baas ', 'player_number': ' 25'}, {'player_name': ' Álvarez ', 'player_number': ' 4'}, {'player_name': ' Timber ', 'player_number': ' 2'}, {'player_name': ' Sánchez ', 'player_number': ' 19'}, {'player_name': ' Rulli ', 'player_number': ' 12'}]","[{'player_name': ' Cordoba ', 'player_number': ' 7'}, {'player_name': ' Yilmaz ', 'player_number': ' 17'}, {'player_name': ' Noslin ', 'player_number': ' 77'}, {'player_name': ' Özyakup ', 'player_number': ' 15'}, {'player_name': ' Bistrovic ', 'player_number': ' 8'}, {'player_name': ' Erdogan ', 'player_number': ' 21'}, {'player_name': ' Vita ', 'player_number': ' 61'}, {'player_name': ' Siovas ', 'player_number': ' 33'}, {'player_name': ' Guth ', 'player_number': ' 14'}, {'player_name': ' Ferreira Mendonça Pinto ', 'player_number': ' 12'}, {'player_name': ' Pandur ', 'player_number': ' 31'}]","['Bergwijn', 'Tadić', 'Berghuis', 'Taylor', 'Grillitsch', 'Klaassen', 'Baas', 'Álvarez', 'Timber', 'Sánchez', 'Rulli']","['7', '10', '23', '8', '21', '6', '25', '4', '2', '19', '12']","['Cordoba', 'Yilmaz', 'Noslin', 'Özyakup', 'Bistrovic', 'Erdogan', 'Vita', 'Siovas', 'Guth', 'Ferreira Mendonça Pinto', 'Pandur']","['7', '17', '77', '15', '8', '21', '61', '33', '14', '12', '31']"
6,Matchday 28,09/04/2023,False,False,False,Emmen,NEC,0,0,0.33,0.67,14, 22 ,4, 3 ,0.5,0.5,0.39,0.09,0.52,1200,De Oude Meerdijk,"[{'player_name': ' Zivkovic ', 'player_number': ' 9'}, {'player_name': ' Romeny ', 'player_number': ' 77'}, {'player_name': ' Antonisse ', 'player_number': ' 57'}, {'player_name': ' El Messaoudi ', 'player_number': ' 23'}, {'player_name': ' Veendorp ', 'player_number': ' 2'}, {'player_name': ' Bouchouari ', 'player_number': ' 34'}, {'player_name': ' Burnet ', 'player_number': ' 18'}, {'player_name': ' Veldmate ', 'player_number': ' 4'}, {'player_name': ' Araujo ', 'player_number': ' 5'}, {'player_name': ' te Wierik ', 'player_number': ' 17'}, {'player_name': ' van der Hart ', 'player_number': ' 32'}]","[{'player_name': ' Dimata ', 'player_number': ' 19'}, {'player_name': ' Cissoko ', 'player_number': ' 21'}, {'player_name': ' Mattsson ', 'player_number': ' 11'}, {'player_name': ' Tavsan ', 'player_number': ' 7'}, {'player_name': ' Proper ', 'player_number': ' 71'}, {'player_name': ' Schone ', 'player_number': ' 20'}, {'player_name': ' El Karouani ', 'player_number': ' 16'}, {'player_name': ' Kramer ', 'player_number': ' 5'}, {'player_name': ' Sandler ', 'player_number': ' 3'}, {'player_name': ' van Rooij ', 'player_number': ' 28'}, {'player_name': ' Cillessen ', 'player_number': ' 22'}]","['Zivkovic', 'Romeny', 'Antonisse', 'El Messaoudi', 'Veendorp', 'Bouchouari', 'Burnet', 'Veldmate', 'Araujo', 'te Wierik', 'van der Hart']","['9', '77', '57', '23', '2', '34', '18', '4', '5', '17', '32']","['Dimata', 'Cissoko', 'Mattsson', 'Tavsan', 'Proper', 'Schone', 'El Karouani', 'Kramer', 'Sandler', 'van Rooij', 'Cillessen']","['19', '21', '11', '7', '71', '20', '16', '5', '3', '28', '22']"
7,Matchday 28,09/04/2023,False,False,False,Twente,Cambuur,4,0,0.58,0.42,30, 8 ,10, 3 ,0.45,0.55,0.86,0.03,0.11,2019,De Grolsch Veste,"[{'player_name': ' Misidjan ', 'player_number': ' 10'}, {'player_name': ' van Wolfswinkel ', 'player_number': ' 9'}, {'player_name': ' Cerny ', 'player_number': ' 7'}, {'player_name': ' Vlap ', 'player_number': ' 18'}, {'player_name': ' Zerrouki ', 'player_number': ' 8'}, {'player_name': ' Steijn ', 'player_number': ' 14'}, {'player_name': ' Smal ', 'player_number': ' 5'}, {'player_name': ' Pröpper ', 'player_number': ' 3'}, {'player_name': ' Pleguezuelo ', 'player_number': ' 4'}, {'player_name': ' Brenet ', 'player_number': ' 20'}, {'player_name': ' Unnerstall ', 'player_number': ' 1'}]","[{'player_name': ' Paulissen ', 'player_number': ' 10'}, {'player_name': ' Johnsen ', 'player_number': ' 9'}, {'player_name': ' Breij ', 'player_number': ' 14'}, {'player_name': ' Foor ', 'player_number': ' 19'}, {'player_name': ' Hoedemakers ', 'player_number': ' 6'}, {'player_name': ' van Kaam ', 'player_number': ' 21'}, {'player_name': ' Bangura ', 'player_number': ' 16'}, {'player_name': ' Smand ', 'player_number': ' 33'}, {'player_name': ' Tol ', 'player_number': ' 15'}, {'player_name': ' Schmidt ', 'player_number': ' 5'}, {'player_name': ' Ruiter ', 'player_number': ' 12'}]","['Misidjan', 'van Wolfswinkel', 'Cerny', 'Vlap', 'Zerrouki', 'Steijn', 'Smal', 'Pröpper', 'Pleguezuelo', 'Brenet', 'Unnerstall']","['10', '9', '7', '18', '8', '14', '5', '3', '4', '20', '1']","['Paulissen', 'Johnsen', 'Breij', 'Foor', 'Hoedemakers', 'van Kaam', 'Bangura', 'Smand', 'Tol', 'Schmidt', 'Ruiter']","['10', '9', '14', '19', '6', '21', '16', '33', '15', '5', '12']"
8,Matchday 28,08/04/2023,False,False,False,Heerenveen,Volendam,2,1,0.59,0.41,15, 9 ,9, 5 ,0.52,0.48,0.76,0.06,0.18,1219,Abe Lenstra Stadion,"[{'player_name': ' van Hooijdonk ', 'player_number': ' 17'}, {'player_name': ' Sahraoui ', 'player_number': ' 20'}, {'player_name': ' van Amersfoort ', 'player_number': ' 11'}, {'player_name': ' Olsson ', 'player_number': ' 19'}, {'player_name': ' Tahiri ', 'player_number': ' 26'}, {'player_name': ' Haye ', 'player_number': ' 33'}, {'player_name': ' Köhlert ', 'player_number': ' 7'}, {'player_name': ' Bochniewicz ', 'player_number': ' 5'}, {'player_name': ' van Ottele ', 'player_number': ' 6'}, {'player_name': ' van Ewijk ', 'player_number': ' 27'}, {'player_name': ' Mous ', 'player_number': ' 1'}]","[{'player_name': ' Veerman ', 'player_number': ' 9'}, {'player_name': ' Oristanio ', 'player_number': ' 10'}, {'player_name': ' Twigt ', 'player_number': ' 17'}, {'player_name': ' Eiting ', 'player_number': ' 8'}, {'player_name': ' Antonucci ', 'player_number': ' 19'}, {'player_name': ' Murkin ', 'player_number': ' 5'}, {'player_name': ' Mbuyamba ', 'player_number': ' 31'}, {'player_name': ' Benamar ', 'player_number': ' 6'}, {'player_name': ' Plat ', 'player_number': ' 3'}, {'player_name': ' Buur ', 'player_number': ' 2'}, {'player_name': ' Stankovic ', 'player_number': ' 1'}]","['van Hooijdonk', 'Sahraoui', 'van Amersfoort', 'Olsson', 'Tahiri', 'Haye', 'Köhlert', 'Bochniewicz', 'van Ottele', 'van Ewijk', 'Mous']","['17', '20', '11', '19', '26', '33', '7', '5', '6', '27', '1']","['Veerman', 'Oristanio', 'Twigt', 'Eiting', 'Antonucci', 'Murkin', 'Mbuyamba', 'Benamar', 'Plat', 'Buur', 'Stankovic']","['9', '10', '17', '8', '19', '5', '31', '6', '3', '2', '1']"
9,Matchday 28,08/04/2023,False,False,False,PSV,Excelsior,4,0,0.66,0.34,21, 5 ,9, 2 ,0.54,0.46,0.92,0.02,0.06,4447,Philips Stadion,"[{'player_name': ' De Jong ', 'player_number': ' 9'}, {'player_name': ' Soares Silva ', 'player_number': ' 10'}, {'player_name': ' Simons ', 'player_number': ' 7'}, {'player_name': ' Bakayoko ', 'player_number': ' 27'}, {'player_name': ' Veerman ', 'player_number': ' 23'}, {'player_name': ' Gutiérrez ', 'player_number': ' 15'}, {'player_name': ' van Aanholt ', 'player_number': ' 30'}, {'player_name': ' Boscagli ', 'player_number': ' 18'}, {'player_name': ' Ramalho Silva ', 'player_number': ' 5'}, {'player_name': ' Teze ', 'player_number': ' 3'}, {'player_name': ' Benítez ', 'player_number': ' 1'}]","[{'player_name': ' Lamprou ', 'player_number': ' 22'}, {'player_name': ' Driouech ', 'player_number': ' 14'}, {'player_name': ' Baas ', 'player_number': ' 33'}, {'player_name': ' Koopmeiners ', 'player_number': ' 23'}, {'player_name': ' Goudmijn ', 'player_number': ' 8'}, {'player_name': ' Zagre ', 'player_number': ' 12'}, {'player_name': ' Pierie ', 'player_number': ' 3'}, {'player_name': ' El Yaakoubi ', 'player_number': ' 4'}, {'player_name': ' Nieuwpoort ', 'player_number': ' 16'}, {'player_name': ' Horemans ', 'player_number': ' 2'}, {'player_name': ' van Gassel ', 'player_number': ' 1'}]","['De Jong', 'Soares Silva', 'Simons', 'Bakayoko', 'Veerman', 'Gutiérrez', 'van Aanholt', 'Boscagli', 'Ramalho Silva', 'Teze', 'Benítez']","['9', '10', '7', '27', '23', '15', '30', '18', '5', '3', '1']","['Lamprou', 'Driouech', 'Baas', 'Koopmeiners', 'Goudmijn', 'Zagre', 'Pierie', 'El Yaakoubi', 'Nieuwpoort', 'Horemans', 'van Gassel']","['22', '14', '33', '23', '8', '12', '3', '4', '16', '2', '1']"
10,Matchday 28,08/04/2023,False,False,False,AZ,Sparta,0,1,0.61,0.39,16, 11 ,3, 3 ,0.49,0.51,0.75,0.05,0.2,2115,AFAS Stadion,"[{'player_name': ' Meerdink ', 'player_number': ' 35'}, {'player_name': ' Mihailovic ', 'player_number': ' 14'}, {'player_name': ' Mijnans ', 'player_number': ' 16'}, {'player_name': ' Odgaard ', 'player_number': ' 7'}, {'player_name': ' Clasie ', 'player_number': ' 8'}, {'player_name': ' Reijnders ', 'player_number': ' 6'}, {'player_name': ' Kerkez ', 'player_number': ' 5'}, {'player_name': ' Hatzidiakos ', 'player_number': ' 3'}, {'player_name': ' Beukema ', 'player_number': ' 31'}, {'player_name': ' Sugawara ', 'player_number': ' 2'}, {'player_name': ' Ryan ', 'player_number': ' 1'}]","[{'player_name': ' Saito ', 'player_number': ' 11'}, {'player_name': ' Lauritsen ', 'player_number': ' 9'}, {'player_name': ' van Crooy ', 'player_number': ' 7'}, {'player_name': ' Namli ', 'player_number': ' 8'}, {'player_name': ' Kitolano ', 'player_number': ' 6'}, {'player_name': ' Verschueren ', 'player_number': ' 10'}, {'player_name': ' Pinto ', 'player_number': ' 5'}, {'player_name': ' Eerdhuijzen ', 'player_number': ' 4'}, {'player_name': ' Vriends ', 'player_number': ' 3'}, {'player_name': ' Sambo ', 'player_number': ' 2'}, {'player_name': ' Olij ', 'player_number': ' 1'}]","['Meerdink', 'Mihailovic', 'Mijnans', 'Odgaard', 'Clasie', 'Reijnders', 'Kerkez', 'Hatzidiakos', 'Beukema', 'Sugawara', 'Ryan']","['35', '14', '16', '7', '8', '6', '5', '3', '31', '2', '1']","['Saito', 'Lauritsen', 'van Crooy', 'Namli', 'Kitolano', 'Verschueren', 'Pinto', 'Eerdhuijzen', 'Vriends', 'Sambo', 'Olij']","['11', '9', '7', '8', '6', '10', '5', '4', '3', '2', '1']"
