match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Quarter-finals first leg,13/04/2023,False,False,False,Manchester United,Sevilla,2,2,0.55,0.45,12, 13 ,5, 3 ,0.47,0.53,0.85,0.02,0.13,188114,Old Trafford,"[{'player_name': ' Martial ', 'player_number': ' 9'}, {'player_name': ' Sancho ', 'player_number': ' 25'}, {'player_name': ' Sabitzer ', 'player_number': ' 15'}, {'player_name': ' Antony ', 'player_number': ' 21'}, {'player_name': ' Fernandes ', 'player_number': ' 8'}, {'player_name': ' Casemiro ', 'player_number': ' 18'}, {'player_name': ' Malacia ', 'player_number': ' 12'}, {'player_name': ' Martínez ', 'player_number': ' 6'}, {'player_name': ' Varane ', 'player_number': ' 19'}, {'player_name': ' Wan-Bissaka ', 'player_number': ' 29'}, {'player_name': ' De Gea ', 'player_number': ' 1'}]","[{'player_name': ' Lamela ', 'player_number': ' 17'}, {'player_name': ' Torres ', 'player_number': ' 21'}, {'player_name': ' Rakitic ', 'player_number': ' 10'}, {'player_name': ' Ocampos ', 'player_number': ' 55'}, {'player_name': ' Gudelj ', 'player_number': ' 6'}, {'player_name': ' Fernando ', 'player_number': ' 20'}, {'player_name': ' Acuña ', 'player_number': ' 19'}, {'player_name': ' Marcão ', 'player_number': ' 23'}, {'player_name': ' Nianzou ', 'player_number': ' 14'}, {'player_name': ' Montiel ', 'player_number': ' 2'}, {'player_name': ' Bono ', 'player_number': ' 13'}]","['Martial', 'Sancho', 'Sabitzer', 'Antony', 'Fernandes', 'Casemiro', 'Malacia', 'Martínez', 'Varane', 'Wan-Bissaka', 'De Gea']","['9', '25', '15', '21', '8', '18', '12', '6', '19', '29', '1']","['Lamela', 'Torres', 'Rakitic', 'Ocampos', 'Gudelj', 'Fernando', 'Acuña', 'Marcão', 'Nianzou', 'Montiel', 'Bono']","['17', '21', '10', '55', '6', '20', '19', '23', '14', '2', '13']"
2,Quarter-finals first leg,13/04/2023,False,False,False,Juventus,Sporting CP,1,0,0.41,0.59,9, 15 ,3, 6 ,0.48,0.52,0.78,0.04,0.18,169715,Allianz Stadium,"[{'player_name': ' Chiesa ', 'player_number': ' 7'}, {'player_name': ' Milik ', 'player_number': ' 14'}, {'player_name': ' Di María ', 'player_number': ' 22'}, {'player_name': ' Kostić ', 'player_number': ' 17'}, {'player_name': ' Rabiot ', 'player_number': ' 25'}, {'player_name': ' Locatelli ', 'player_number': ' 5'}, {'player_name': ' Cuadrado ', 'player_number': ' 11'}, {'player_name': ' Danilo ', 'player_number': ' 6'}, {'player_name': ' Bremer ', 'player_number': ' 3'}, {'player_name': ' Gatti ', 'player_number': ' 15'}, {'player_name': ' Szczęsny ', 'player_number': ' 1'}]","[{'player_name': ' Trincão ', 'player_number': ' 17'}, {'player_name': ' Chermiti ', 'player_number': ' 79'}, {'player_name': ' Edwards ', 'player_number': ' 10'}, {'player_name': ' Santos ', 'player_number': ' 11'}, {'player_name': ' Gonçalves ', 'player_number': ' 28'}, {'player_name': ' Morita ', 'player_number': ' 5'}, {'player_name': ' Esgaio ', 'player_number': ' 47'}, {'player_name': ' Inácio ', 'player_number': ' 25'}, {'player_name': ' Coates ', 'player_number': ' 4'}, {'player_name': ' St', 'player_number': ' 3'}, {'player_name': ' Adan ', 'player_number': ' 1'}]","['Chiesa', 'Milik', 'Di María', 'Kostić', 'Rabiot', 'Locatelli', 'Cuadrado', 'Danilo', 'Bremer', 'Gatti', 'Szczęsny']","['7', '14', '22', '17', '25', '5', '11', '6', '3', '15', '1']","['Trincão', 'Chermiti', 'Edwards', 'Santos', 'Gonçalves', 'Morita', 'Esgaio', 'Inácio', 'Coates', 'St', 'Adan']","['17', '79', '10', '11', '28', '5', '47', '25', '4', '3', '1']"
3,Quarter-finals first leg,13/04/2023,False,False,False,Bayer Leverkusen,R. Union SG,1,1,0.64,0.36,15, 8 ,2, 4 ,0.55,0.46,0.84,0.02,0.14,66930,BayArena,"[{'player_name': ' Adli ', 'player_number': ' 21'}, {'player_name': ' Wirtz ', 'player_number': ' 27'}, {'player_name': ' Diaby ', 'player_number': ' 19'}, {'player_name': ' Bakker ', 'player_number': ' 5'}, {'player_name': ' Andrich ', 'player_number': ' 8'}, {'player_name': ' Palacios ', 'player_number': ' 25'}, {'player_name': ' Frimpong ', 'player_number': ' 30'}, {'player_name': ' Hincapié ', 'player_number': ' 3'}, {'player_name': ' Tah ', 'player_number': ' 4'}, {'player_name': ' Tapsoba ', 'player_number': ' 12'}, {'player_name': ' Hrádecky ', 'player_number': ' 1'}]","[{'player_name': ' Boniface ', 'player_number': ' 7'}, {'player_name': ' Vertessen ', 'player_number': ' 18'}, {'player_name': ' Lapoussin ', 'player_number': ' 94'}, {'player_name': ' Teuma ', 'player_number': ' 10'}, {'player_name': ' Lynen ', 'player_number': ' 20'}, {'player_name': ' Amani ', 'player_number': ' 8'}, {'player_name': ' Nieuwkoop ', 'player_number': ' 2'}, {'player_name': ' Van der Heyden ', 'player_number': ' 44'}, {'player_name': ' Burgess ', 'player_number': ' 16'}, {'player_name': ' Kandouss ', 'player_number': ' 59'}, {'player_name': ' Moris ', 'player_number': ' 49'}]","['Adli', 'Wirtz', 'Diaby', 'Bakker', 'Andrich', 'Palacios', 'Frimpong', 'Hincapié', 'Tah', 'Tapsoba', 'Hrádecky']","['21', '27', '19', '5', '8', '25', '30', '3', '4', '12', '1']","['Boniface', 'Vertessen', 'Lapoussin', 'Teuma', 'Lynen', 'Amani', 'Nieuwkoop', 'Van der Heyden', 'Burgess', 'Kandouss', 'Moris']","['7', '18', '94', '10', '20', '8', '2', '44', '16', '59', '49']"
4,Quarter-finals first leg,13/04/2023,False,False,False,Feyenoord,Roma,1,0,0.56,0.44,12, 17 ,2, 3 ,0.47,0.53,0.27,0.04,0.69,100942,De Kuip,"[{'player_name': ' Idrissi ', 'player_number': ' 26'}, {'player_name': ' Giménez ', 'player_number': ' 29'}, {'player_name': ' Jahanbakhsh ', 'player_number': ' 7'}, {'player_name': ' Kökcü ', 'player_number': ' 10'}, {'player_name': ' Wieffer ', 'player_number': ' 20'}, {'player_name': ' Szymański ', 'player_number': ' 17'}, {'player_name': ' Hartman ', 'player_number': ' 5'}, {'player_name': ' Hancko ', 'player_number': ' 33'}, {'player_name': ' Trauner ', 'player_number': ' 18'}, {'player_name': ' Geertruida ', 'player_number': ' 4'}, {'player_name': ' Bijlow ', 'player_number': ' 1'}]","[{'player_name': ' Abraham ', 'player_number': ' 9'}, {'player_name': ' Pellegrini ', 'player_number': ' 7'}, {'player_name': ' Dybala ', 'player_number': ' 21'}, {'player_name': ' Spinazzola ', 'player_number': ' 37'}, {'player_name': ' Matic ', 'player_number': ' 8'}, {'player_name': ' Cristante ', 'player_number': ' 4'}, {'player_name': ' Zalewski ', 'player_number': ' 59'}, {'player_name': ' Ibañez ', 'player_number': ' 3'}, {'player_name': ' Smalling ', 'player_number': ' 6'}, {'player_name': ' Mancini ', 'player_number': ' 23'}, {'player_name': ' Patrício ', 'player_number': ' 1'}]","['Idrissi', 'Giménez', 'Jahanbakhsh', 'Kökcü', 'Wieffer', 'Szymański', 'Hartman', 'Hancko', 'Trauner', 'Geertruida', 'Bijlow']","['26', '29', '7', '10', '20', '17', '5', '33', '18', '4', '1']","['Abraham', 'Pellegrini', 'Dybala', 'Spinazzola', 'Matic', 'Cristante', 'Zalewski', 'Ibañez', 'Smalling', 'Mancini', 'Patrício']","['9', '7', '21', '37', '8', '4', '59', '3', '6', '23', '1']"
5,Round of 16 2nd leg,16/03/2023,False,False,False,R. Union SG,1. FC Union Berlin,3,0,0.55,0.45,13, 6 ,9, 1 ,0.57,0.43,0.2,0.03,0.77,43183,Lotto Park,"[{'player_name': ' Boniface ', 'player_number': ' 7'}, {'player_name': ' Adingra ', 'player_number': ' 11'}, {'player_name': ' Lapoussin ', 'player_number': ' 94'}, {'player_name': ' Teuma ', 'player_number': ' 10'}, {'player_name': ' Lynen ', 'player_number': ' 20'}, {'player_name': ' Amani ', 'player_number': ' 8'}, {'player_name': ' Nieuwkoop ', 'player_number': ' 2'}, {'player_name': ' Van der Heyden ', 'player_number': ' 44'}, {'player_name': ' Burgess ', 'player_number': ' 16'}, {'player_name': ' Kandouss ', 'player_number': ' 59'}, {'player_name': ' Moris ', 'player_number': ' 49'}]","[{'player_name': ' Michel ', 'player_number': ' 11'}, {'player_name': ' Becker ', 'player_number': ' 27'}, {'player_name': ' Roussillon ', 'player_number': ' 26'}, {'player_name': ' Thorsby ', 'player_number': ' 2'}, {'player_name': ' Khedira ', 'player_number': ' 8'}, {'player_name': ' Laïdouni ', 'player_number': ' 20'}, {'player_name': ' Juranović ', 'player_number': ' 18'}, {'player_name': ' Diogo Leite ', 'player_number': ' 4'}, {'player_name': ' Knoche ', 'player_number': ' 31'}, {'player_name': ' Doekhi ', 'player_number': ' 5'}, {'player_name': ' Rønnow ', 'player_number': ' 1'}]","['Boniface', 'Adingra', 'Lapoussin', 'Teuma', 'Lynen', 'Amani', 'Nieuwkoop', 'Van der Heyden', 'Burgess', 'Kandouss', 'Moris']","['7', '11', '94', '10', '20', '8', '2', '44', '16', '59', '49']","['Michel', 'Becker', 'Roussillon', 'Thorsby', 'Khedira', 'Laïdouni', 'Juranović', 'Diogo Leite', 'Knoche', 'Doekhi', 'Rønnow']","['11', '27', '26', '2', '8', '20', '18', '4', '31', '5', '1']"
6,Round of 16 2nd leg,16/03/2023,False,False,False,Real Sociedad,Roma,0,0,0.77,0.23,19, 3 ,3, 0 ,0.46,0.54,0.2,0.04,0.76,68319,Reale Arena,"[{'player_name': ' Oyarzabal ', 'player_number': ' 10'}, {'player_name': ' Sorloth ', 'player_number': ' 19'}, {'player_name': ' Silva ', 'player_number': ' 21'}, {'player_name': ' Merino ', 'player_number': ' 8'}, {'player_name': ' Zubimendi ', 'player_number': ' 3'}, {'player_name': ' Mendez ', 'player_number': ' 23'}, {'player_name': ' Salguero ', 'player_number': ' 15'}, {'player_name': ' Le Normand ', 'player_number': ' 24'}, {'player_name': ' Zubeldia ', 'player_number': ' 5'}, {'player_name': ' Gorosabel ', 'player_number': ' 18'}, {'player_name': ' Remiro ', 'player_number': ' 1'}]","[{'player_name': ' Belotti ', 'player_number': ' 11'}, {'player_name': ' Dybala ', 'player_number': ' 21'}, {'player_name': ' Spinazzola ', 'player_number': ' 37'}, {'player_name': ' Wijnaldum ', 'player_number': ' 25'}, {'player_name': ' Cristante ', 'player_number': ' 4'}, {'player_name': ' Pellegrini ', 'player_number': ' 7'}, {'player_name': ' Karsdorp ', 'player_number': ' 2'}, {'player_name': ' Ibañez ', 'player_number': ' 3'}, {'player_name': ' Smalling ', 'player_number': ' 6'}, {'player_name': ' Mancini ', 'player_number': ' 23'}, {'player_name': ' Patrício ', 'player_number': ' 1'}]","['Oyarzabal', 'Sorloth', 'Silva', 'Merino', 'Zubimendi', 'Mendez', 'Salguero', 'Le Normand', 'Zubeldia', 'Gorosabel', 'Remiro']","['10', '19', '21', '8', '3', '23', '15', '24', '5', '18', '1']","['Belotti', 'Dybala', 'Spinazzola', 'Wijnaldum', 'Cristante', 'Pellegrini', 'Karsdorp', 'Ibañez', 'Smalling', 'Mancini', 'Patrício']","['11', '21', '37', '25', '4', '7', '2', '3', '6', '23', '1']"
7,Round of 16 2nd leg,16/03/2023,False,False,False,Ferencváros,Bayer Leverkusen,0,2,0.45,0.55,9, 17 ,2, 9 ,0.57,0.43,0.06,0.02,0.92,38279,Puskás Aréna,"[{'player_name': ' Mmaee ', 'player_number': ' 8'}, {'player_name': ' Zachariassen ', 'player_number': ' 16'}, {'player_name': ' Gojak ', 'player_number': ' 14'}, {'player_name': ' Traoré ', 'player_number': ' 20'}, {'player_name': ' Vécsei ', 'player_number': ' 19'}, {'player_name': ' Esiti ', 'player_number': ' 13'}, {'player_name': ' Civic ', 'player_number': ' 17'}, {'player_name': ' Knoester ', 'player_number': ' 4'}, {'player_name': ' Abena ', 'player_number': ' 22'}, {'player_name': ' Wingo ', 'player_number': ' 31'}, {'player_name': ' Dibusz ', 'player_number': ' 90'}]","[{'player_name': ' Wirtz ', 'player_number': ' 27'}, {'player_name': ' Azmoun ', 'player_number': ' 9'}, {'player_name': ' Diaby ', 'player_number': ' 19'}, {'player_name': ' Bakker ', 'player_number': ' 5'}, {'player_name': ' Andrich ', 'player_number': ' 8'}, {'player_name': ' Palacios ', 'player_number': ' 25'}, {'player_name': ' Frimpong ', 'player_number': ' 30'}, {'player_name': ' Hincapié ', 'player_number': ' 3'}, {'player_name': ' Tah ', 'player_number': ' 4'}, {'player_name': ' Tapsoba ', 'player_number': ' 12'}, {'player_name': ' Hrádecky ', 'player_number': ' 1'}]","['Mmaee', 'Zachariassen', 'Gojak', 'Traoré', 'Vécsei', 'Esiti', 'Civic', 'Knoester', 'Abena', 'Wingo', 'Dibusz']","['8', '16', '14', '20', '19', '13', '17', '4', '22', '31', '90']","['Wirtz', 'Azmoun', 'Diaby', 'Bakker', 'Andrich', 'Palacios', 'Frimpong', 'Hincapié', 'Tah', 'Tapsoba', 'Hrádecky']","['27', '9', '19', '5', '8', '25', '30', '3', '4', '12', '1']"
8,Round of 16 2nd leg,16/03/2023,False,False,False,SC Freiburg,Juventus,0,2,0.52,0.48,12, 15 ,4, 8 ,0.42,0.59,0.17,0.03,0.8,125986,Europa-Park Stadion,"[{'player_name': ' Höler ', 'player_number': ' 9'}, {'player_name': ' Gregoritsch ', 'player_number': ' 38'}, {'player_name': ' Doan ', 'player_number': ' 42'}, {'player_name': ' Günter ', 'player_number': ' 30'}, {'player_name': ' Höfler ', 'player_number': ' 27'}, {'player_name': ' Eggestein ', 'player_number': ' 8'}, {'player_name': ' Sildillia ', 'player_number': ' 25'}, {'player_name': ' Gulde ', 'player_number': ' 5'}, {'player_name': ' Ginter ', 'player_number': ' 28'}, {'player_name': ' Kübler ', 'player_number': ' 17'}, {'player_name': ' Flekken ', 'player_number': ' 26'}]","[{'player_name': ' Kean ', 'player_number': ' 18'}, {'player_name': ' Vlahović ', 'player_number': ' 9'}, {'player_name': ' Kostić ', 'player_number': ' 17'}, {'player_name': ' Rabiot ', 'player_number': ' 25'}, {'player_name': ' Locatelli ', 'player_number': ' 5'}, {'player_name': ' Fagioli ', 'player_number': ' 44'}, {'player_name': ' Cuadrado ', 'player_number': ' 11'}, {'player_name': ' Danilo ', 'player_number': ' 6'}, {'player_name': ' Bremer ', 'player_number': ' 3'}, {'player_name': ' Gatti ', 'player_number': ' 15'}, {'player_name': ' Szczęsny ', 'player_number': ' 1'}]","['Höler', 'Gregoritsch', 'Doan', 'Günter', 'Höfler', 'Eggestein', 'Sildillia', 'Gulde', 'Ginter', 'Kübler', 'Flekken']","['9', '38', '42', '30', '27', '8', '25', '5', '28', '17', '26']","['Kean', 'Vlahović', 'Kostić', 'Rabiot', 'Locatelli', 'Fagioli', 'Cuadrado', 'Danilo', 'Bremer', 'Gatti', 'Szczęsny']","['18', '9', '17', '25', '5', '44', '11', '6', '3', '15', '1']"
9,Round of 16 2nd leg,16/03/2023,False,False,False,Real Betis,Manchester United,0,1,0.45,0.55,15, 17 ,2, 4 ,0.47,0.53,0.15,0.02,0.83,142352,Benito Villamarín,"[{'player_name': ' Pérez ', 'player_number': ' 21'}, {'player_name': ' Juanmi ', 'player_number': ' 7'}, {'player_name': ' Joaquin ', 'player_number': ' 17'}, {'player_name': ' Ruibal ', 'player_number': ' 24'}, {'player_name': ' Carvalho ', 'player_number': ' 14'}, {'player_name': ' Rodríguez ', 'player_number': ' 5'}, {'player_name': ' da Silva Santos ', 'player_number': ' 20'}, {'player_name': ' Gonzalez ', 'player_number': ' 3'}, {'player_name': ' Pezzella ', 'player_number': ' 16'}, {'player_name': ' Sabaly ', 'player_number': ' 23'}, {'player_name': ' Silva ', 'player_number': ' 13'}]","[{'player_name': ' Weghorst ', 'player_number': ' 27'}, {'player_name': ' Rashford ', 'player_number': ' 10'}, {'player_name': ' Fred ', 'player_number': ' 17'}, {'player_name': ' Pellistri ', 'player_number': ' 28'}, {'player_name': ' Casemiro ', 'player_number': ' 18'}, {'player_name': ' Fernandes ', 'player_number': ' 8'}, {'player_name': ' Malacia ', 'player_number': ' 12'}, {'player_name': ' Martínez ', 'player_number': ' 6'}, {'player_name': ' Maguire ', 'player_number': ' 5'}, {'player_name': ' Wan-Bissaka ', 'player_number': ' 29'}, {'player_name': ' De Gea ', 'player_number': ' 1'}]","['Pérez', 'Juanmi', 'Joaquin', 'Ruibal', 'Carvalho', 'Rodríguez', 'da Silva Santos', 'Gonzalez', 'Pezzella', 'Sabaly', 'Silva']","['21', '7', '17', '24', '14', '5', '20', '3', '16', '23', '13']","['Weghorst', 'Rashford', 'Fred', 'Pellistri', 'Casemiro', 'Fernandes', 'Malacia', 'Martínez', 'Maguire', 'Wan-Bissaka', 'De Gea']","['27', '10', '17', '28', '18', '8', '12', '6', '5', '29', '1']"
10,Round of 16 2nd leg,16/03/2023,False,False,False,Feyenoord,Shakhtar Donetsk,7,1,0.53,0.47,16, 7 ,10, 2 ,0.38,0.62,0.66,0.04,0.3,31113,De Kuip,"[{'player_name': ' Idrissi ', 'player_number': ' 26'}, {'player_name': ' Giménez ', 'player_number': ' 29'}, {'player_name': ' Jahanbakhsh ', 'player_number': ' 7'}, {'player_name': ' Kökcü ', 'player_number': ' 10'}, {'player_name': ' Szymański ', 'player_number': ' 17'}, {'player_name': ' Wieffer ', 'player_number': ' 20'}, {'player_name': ' López ', 'player_number': ' 15'}, {'player_name': ' Hancko ', 'player_number': ' 33'}, {'player_name': ' Trauner ', 'player_number': ' 18'}, {'player_name': ' Geertruida ', 'player_number': ' 4'}, {'player_name': ' Wellenreuther ', 'player_number': ' 22'}]","[{'player_name': ' Traoré ', 'player_number': ' 2'}, {'player_name': ' Kryskiv ', 'player_number': ' 16'}, {'player_name': ' Sudakov ', 'player_number': ' 8'}, {'player_name': ' Bondarenko ', 'player_number': ' 21'}, {'player_name': ' Zubkov ', 'player_number': ' 11'}, {'player_name': ' Stepanenko ', 'player_number': ' 6'}, {'player_name': ' Mykhailichenko ', 'player_number': ' 15'}, {'player_name': ' Matvienko ', 'player_number': ' 22'}, {'player_name': ' Bondar ', 'player_number': ' 5'}, {'player_name': ' Konoplya ', 'player_number': ' 26'}, {'player_name': ' Trubin ', 'player_number': ' 81'}]","['Idrissi', 'Giménez', 'Jahanbakhsh', 'Kökcü', 'Szymański', 'Wieffer', 'López', 'Hancko', 'Trauner', 'Geertruida', 'Wellenreuther']","['26', '29', '7', '10', '17', '20', '15', '33', '18', '4', '22']","['Traoré', 'Kryskiv', 'Sudakov', 'Bondarenko', 'Zubkov', 'Stepanenko', 'Mykhailichenko', 'Matvienko', 'Bondar', 'Konoplya', 'Trubin']","['2', '16', '8', '21', '11', '6', '15', '22', '5', '26', '81']"
