match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 29,15/04/2023,False,False,False,Cádiz,Real Madrid,0,2,0.3,0.7,12, 35 ,3, 11 ,0.44,0.56,0.08,0.02,0.9,187457,Nuevo Mirandilla,"[{'player_name': ' Ramos ', 'player_number': ' 16'}, {'player_name': ' Guardiola Navarro ', 'player_number': ' 19'}, {'player_name': ' Sobrino ', 'player_number': ' 7'}, {'player_name': ' Alcaraz ', 'player_number': ' 4'}, {'player_name': ' San Emeterio ', 'player_number': ' 24'}, {'player_name': ' Bongonda ', 'player_number': ' 10'}, {'player_name': ' Espino ', 'player_number': ' 22'}, {'player_name': ' Fali ', 'player_number': ' 3'}, {'player_name': ' Hernández ', 'player_number': ' 23'}, {'player_name': ' Parra ', 'player_number': ' 2'}, {'player_name': ' Gil ', 'player_number': ' 13'}]","[{'player_name': ' Rodrygo ', 'player_number': ' 21'}, {'player_name': ' Benzema ', 'player_number': ' 9'}, {'player_name': ' Asensio ', 'player_number': ' 11'}, {'player_name': ' Ceballos ', 'player_number': ' 19'}, {'player_name': ' Tchouaméni ', 'player_number': ' 18'}, {'player_name': ' Valverde ', 'player_number': ' 15'}, {'player_name': ' Nacho ', 'player_number': ' 6'}, {'player_name': ' Rüdiger ', 'player_number': ' 22'}, {'player_name': ' Éder Militão ', 'player_number': ' 3'}, {'player_name': ' Vazquez ', 'player_number': ' 17'}, {'player_name': ' Courtois ', 'player_number': ' 1'}]","['Ramos', 'Guardiola Navarro', 'Sobrino', 'Alcaraz', 'San Emeterio', 'Bongonda', 'Espino', 'Fali', 'Hernández', 'Parra', 'Gil']","['16', '19', '7', '4', '24', '10', '22', '3', '23', '2', '13']","['Rodrygo', 'Benzema', 'Asensio', 'Ceballos', 'Tchouaméni', 'Valverde', 'Nacho', 'Rüdiger', 'Éder Militão', 'Vazquez', 'Courtois']","['21', '9', '11', '19', '18', '15', '6', '22', '3', '17', '1']"
2,Matchday 29,15/04/2023,False,False,False,Real Betis,Espanyol,3,1,0.52,0.48,15, 13 ,8, 4 ,0.55,0.45,0.81,0.03,0.16,19167,Benito Villamarín,"[{'player_name': ' Iglesias ', 'player_number': ' 9'}, {'player_name': ' Pérez ', 'player_number': ' 21'}, {'player_name': ' Carvalho ', 'player_number': ' 14'}, {'player_name': ' Luiz Henrique ', 'player_number': ' 11'}, {'player_name': ' Guardado ', 'player_number': ' 18'}, {'player_name': ' Rodríguez ', 'player_number': ' 5'}, {'player_name': ' Miranda ', 'player_number': ' 33'}, {'player_name': ' Gonzalez ', 'player_number': ' 3'}, {'player_name': ' Luiz Felipe ', 'player_number': ' 19'}, {'player_name': ' Montoya ', 'player_number': ' 2'}, {'player_name': ' Silva ', 'player_number': ' 13'}]","[{'player_name': ' Puado ', 'player_number': ' 7'}, {'player_name': ' Joselu ', 'player_number': ' 9'}, {'player_name': ' Braithwaite ', 'player_number': ' 17'}, {'player_name': ' Darder ', 'player_number': ' 10'}, {'player_name': ' Vinicius Souza ', 'player_number': ' 12'}, {'player_name': ' Melamed ', 'player_number': ' 21'}, {'player_name': ' Cabrera ', 'player_number': ' 4'}, {'player_name': ' Gomez ', 'player_number': ' 24'}, {'player_name': ' Montes ', 'player_number': ' 23'}, {'player_name': ' Sánchez ', 'player_number': ' 27'}, {'player_name': ' Pacheco ', 'player_number': ' 13'}]","['Iglesias', 'Pérez', 'Carvalho', 'Luiz Henrique', 'Guardado', 'Rodríguez', 'Miranda', 'Gonzalez', 'Luiz Felipe', 'Montoya', 'Silva']","['9', '21', '14', '11', '18', '5', '33', '3', '19', '2', '13']","['Puado', 'Joselu', 'Braithwaite', 'Darder', 'Vinicius Souza', 'Melamed', 'Cabrera', 'Gomez', 'Montes', 'Sánchez', 'Pacheco']","['7', '9', '17', '10', '12', '21', '4', '24', '23', '27', '13']"
3,Matchday 29,15/04/2023,False,False,False,Athletic Club,Real Sociedad,2,0,0.51,0.49,13, 13 ,5, 4 ,0.44,0.56,0.5,0.06,0.44,18616,San Mamés,"[{'player_name': ' Guruzeta ', 'player_number': ' 12'}, {'player_name': ' Nico Williams ', 'player_number': ' 11'}, {'player_name': ' Sancet ', 'player_number': ' 8'}, {'player_name': ' Iñaki Williams ', 'player_number': ' 9'}, {'player_name': ' Garcia ', 'player_number': ' 14'}, {'player_name': ' Vesga ', 'player_number': ' 6'}, {'player_name': ' Berchiche ', 'player_number': ' 17'}, {'player_name': ' Martinez ', 'player_number': ' 4'}, {'player_name': ' Alvarez ', 'player_number': ' 5'}, {'player_name': ' Capa ', 'player_number': ' 21'}, {'player_name': ' Simón ', 'player_number': ' 1'}]","[{'player_name': ' Kubo ', 'player_number': ' 14'}, {'player_name': ' Oyarzabal ', 'player_number': ' 10'}, {'player_name': ' Mendez ', 'player_number': ' 23'}, {'player_name': ' Silva ', 'player_number': ' 21'}, {'player_name': ' Merino ', 'player_number': ' 8'}, {'player_name': ' Zubimendi ', 'player_number': ' 3'}, {'player_name': ' Muñoz ', 'player_number': ' 12'}, {'player_name': ' Le Normand ', 'player_number': ' 24'}, {'player_name': ' Zubeldia ', 'player_number': ' 5'}, {'player_name': ' Gorosabel ', 'player_number': ' 18'}, {'player_name': ' Remiro ', 'player_number': ' 1'}]","['Guruzeta', 'Nico Williams', 'Sancet', 'Iñaki Williams', 'Garcia', 'Vesga', 'Berchiche', 'Martinez', 'Alvarez', 'Capa', 'Simón']","['12', '11', '8', '9', '14', '6', '17', '4', '5', '21', '1']","['Kubo', 'Oyarzabal', 'Mendez', 'Silva', 'Merino', 'Zubimendi', 'Muñoz', 'Le Normand', 'Zubeldia', 'Gorosabel', 'Remiro']","['14', '10', '23', '21', '8', '3', '12', '24', '5', '18', '1']"
4,Matchday 29,15/04/2023,False,False,False,Villarreal,Real Valladolid,1,2,0.71,0.29,22, 14 ,7, 7 ,0.48,0.52,0.73,0.03,0.24,16897,Estadio de la Cerámica,"[{'player_name': ' Baena Rodríguez ', 'player_number': ' 16'}, {'player_name': ' Morales ', 'player_number': ' 22'}, {'player_name': ' Chukwueze ', 'player_number': ' 11'}, {'player_name': ' Terrats ', 'player_number': ' 39'}, {'player_name': ' Parejo ', 'player_number': ' 10'}, {'player_name': ' Lo Celso ', 'player_number': ' 17'}, {'player_name': ' Pedraza ', 'player_number': ' 24'}, {'player_name': ' Torres ', 'player_number': ' 4'}, {'player_name': ' Mandi ', 'player_number': ' 23'}, {'player_name': ' Femenia ', 'player_number': ' 2'}, {'player_name': ' Reina ', 'player_number': ' 1'}]","[{'player_name': ' Plata ', 'player_number': ' 11'}, {'player_name': ' Larin ', 'player_number': ' 25'}, {'player_name': ' Amallah ', 'player_number': ' 9'}, {'player_name': ' Fresneda ', 'player_number': ' 27'}, {'player_name': ' Monchu ', 'player_number': ' 8'}, {'player_name': ' Kike Pérez ', 'player_number': ' 4'}, {'player_name': ' Pérez ', 'player_number': ' 2'}, {'player_name': ' El Yamiq ', 'player_number': ' 15'}, {'player_name': ' Hongla ', 'player_number': ' 20'}, {'player_name': ' Fernandez ', 'player_number': ' 24'}, {'player_name': ' Masip ', 'player_number': ' 1'}]","['Baena Rodríguez', 'Morales', 'Chukwueze', 'Terrats', 'Parejo', 'Lo Celso', 'Pedraza', 'Torres', 'Mandi', 'Femenia', 'Reina']","['16', '22', '11', '39', '10', '17', '24', '4', '23', '2', '1']","['Plata', 'Larin', 'Amallah', 'Fresneda', 'Monchu', 'Kike Pérez', 'Pérez', 'El Yamiq', 'Hongla', 'Fernandez', 'Masip']","['11', '25', '9', '27', '8', '4', '2', '15', '20', '24', '1']"
5,Matchday 29,14/04/2023,False,False,False,Rayo Vallecano,Osasuna,2,1,0.45,0.55,12, 8 ,3, 4 ,0.48,0.52,0.43,0.06,0.51,17600,Estadio de Vallecas,"[{'player_name': ' Camello ', 'player_number': ' 34'}, {'player_name': ' Garcia ', 'player_number': ' 18'}, {'player_name': ' Trejo ', 'player_number': ' 8'}, {'player_name': ' Isi Palazón ', 'player_number': ' 7'}, {'player_name': ' Valentín ', 'player_number': ' 23'}, {'player_name': ' Comesana ', 'player_number': ' 6'}, {'player_name': ' Fran García ', 'player_number': ' 3'}, {'player_name': ' Catena ', 'player_number': ' 5'}, {'player_name': ' Mumin ', 'player_number': ' 16'}, {'player_name': ' Balliu ', 'player_number': ' 20'}, {'player_name': ' Dimitrievski ', 'player_number': ' 1'}]","[{'player_name': ' Ezzalzouli ', 'player_number': ' 12'}, {'player_name': ' Kike ', 'player_number': ' 18'}, {'player_name': ' Barja Alfonso ', 'player_number': ' 11'}, {'player_name': ' Oroz ', 'player_number': ' 22'}, {'player_name': ' Moncayola ', 'player_number': ' 7'}, {'player_name': ' Ibáñez ', 'player_number': ' 19'}, {'player_name': ' Sánchez ', 'player_number': ' 20'}, {'player_name': ' García ', 'player_number': ' 5'}, {'player_name': ' Aridane ', 'player_number': ' 23'}, {'player_name': ' Nacho Vidal ', 'player_number': ' 2'}, {'player_name': ' Fernandez ', 'player_number': ' 25'}]","['Camello', 'Garcia', 'Trejo', 'Isi Palazón', 'Valentín', 'Comesana', 'Fran García', 'Catena', 'Mumin', 'Balliu', 'Dimitrievski']","['34', '18', '8', '7', '23', '6', '3', '5', '16', '20', '1']","['Ezzalzouli', 'Kike', 'Barja Alfonso', 'Oroz', 'Moncayola', 'Ibáñez', 'Sánchez', 'García', 'Aridane', 'Nacho Vidal', 'Fernandez']","['12', '18', '11', '22', '7', '19', '20', '5', '23', '2', '25']"
6,Matchday 28,10/04/2023,False,False,False,Barcelona,Girona,0,0,0.6,0.4,18, 5 ,3, 0 ,0.49,0.52,0.91,0.02,0.07,284279,Spotify Camp Nou,"[{'player_name': ' Fati ', 'player_number': ' 10'}, {'player_name': ' Lewandowski ', 'player_number': ' 9'}, {'player_name': ' Raphinha ', 'player_number': ' 22'}, {'player_name': ' Sergi Roberto ', 'player_number': ' 20'}, {'player_name': ' Busquets ', 'player_number': ' 5'}, {'player_name': ' Gavi ', 'player_number': ' 30'}, {'player_name': ' Baldé ', 'player_number': ' 28'}, {'player_name': ' García ', 'player_number': ' 24'}, {'player_name': ' Araújo ', 'player_number': ' 4'}, {'player_name': ' Koundé ', 'player_number': ' 23'}, {'player_name': ' Ter Stegen ', 'player_number': ' 1'}]","[{'player_name': ' Castellanos ', 'player_number': ' 9'}, {'player_name': ' Villa ', 'player_number': ' 12'}, {'player_name': ' Garcia ', 'player_number': ' 24'}, {'player_name': ' Martín ', 'player_number': ' 23'}, {'player_name': ' Tsygankov ', 'player_number': ' 8'}, {'player_name': ' Romeu ', 'player_number': ' 18'}, {'player_name': ' Hernández Cabrera ', 'player_number': ' 16'}, {'player_name': ' Lopez ', 'player_number': ' 5'}, {'player_name': ' Bueno ', 'player_number': ' 22'}, {'player_name': ' Martinez ', 'player_number': ' 4'}, {'player_name': ' Gazzaniga ', 'player_number': ' 13'}]","['Fati', 'Lewandowski', 'Raphinha', 'Sergi Roberto', 'Busquets', 'Gavi', 'Baldé', 'García', 'Araújo', 'Koundé', 'Ter Stegen']","['10', '9', '22', '20', '5', '30', '28', '24', '4', '23', '1']","['Castellanos', 'Villa', 'Garcia', 'Martín', 'Tsygankov', 'Romeu', 'Hernández Cabrera', 'Lopez', 'Bueno', 'Martinez', 'Gazzaniga']","['9', '12', '24', '23', '8', '18', '16', '5', '22', '4', '13']"
7,Matchday 28,09/04/2023,False,False,False,Rayo Vallecano,Atlético de Madrid,1,2,0.52,0.48,15, 14 ,3, 4 ,0.49,0.51,0.11,0.02,0.87,46335,Estadio de Vallecas,"[{'player_name': ' de Tomás ', 'player_number': ' 25'}, {'player_name': ' Garcia ', 'player_number': ' 18'}, {'player_name': ' Lopez ', 'player_number': ' 17'}, {'player_name': ' Isi Palazón ', 'player_number': ' 7'}, {'player_name': ' Valentín ', 'player_number': ' 23'}, {'player_name': ' Comesana ', 'player_number': ' 6'}, {'player_name': ' Fran García ', 'player_number': ' 3'}, {'player_name': ' Catena ', 'player_number': ' 5'}, {'player_name': ' Lejeune ', 'player_number': ' 19'}, {'player_name': ' Balliu ', 'player_number': ' 20'}, {'player_name': ' Dimitrievski ', 'player_number': ' 1'}]","[{'player_name': ' Griezmann ', 'player_number': ' 8'}, {'player_name': ' Morata ', 'player_number': ' 19'}, {'player_name': ' De Paul ', 'player_number': ' 5'}, {'player_name': ' Koke ', 'player_number': ' 6'}, {'player_name': ' Llorente ', 'player_number': ' 14'}, {'player_name': ' Carrasco ', 'player_number': ' 21'}, {'player_name': ' Hermoso ', 'player_number': ' 22'}, {'player_name': ' Giménez ', 'player_number': ' 2'}, {'player_name': ' Savic ', 'player_number': ' 15'}, {'player_name': ' Molina ', 'player_number': ' 16'}, {'player_name': ' Oblak ', 'player_number': ' 13'}]","['de Tomás', 'Garcia', 'Lopez', 'Isi Palazón', 'Valentín', 'Comesana', 'Fran García', 'Catena', 'Lejeune', 'Balliu', 'Dimitrievski']","['25', '18', '17', '7', '23', '6', '3', '5', '19', '20', '1']","['Griezmann', 'Morata', 'De Paul', 'Koke', 'Llorente', 'Carrasco', 'Hermoso', 'Giménez', 'Savic', 'Molina', 'Oblak']","['8', '19', '5', '6', '14', '21', '22', '2', '15', '16', '13']"
8,Matchday 28,09/04/2023,False,False,False,Almería,Valencia,2,1,0.4,0.6,10, 11 ,4, 4 ,0.5,0.51,0.23,0.07,0.7,16495,Power Horse Stadium,"[{'player_name': ' Suárez ', 'player_number': ' 16'}, {'player_name': ' Baptistao ', 'player_number': ' 12'}, {'player_name': ' Robertone ', 'player_number': ' 5'}, {'player_name': ' Melero ', 'player_number': ' 3'}, {'player_name': ' Puigmal ', 'player_number': ' 18'}, {'player_name': ' de Almeida Costa ', 'player_number': ' 23'}, {'player_name': ' Centelles Plaza ', 'player_number': ' 20'}, {'player_name': ' Babić ', 'player_number': ' 22'}, {'player_name': ' Ely ', 'player_number': ' 19'}, {'player_name': ' Chumi ', 'player_number': ' 21'}, {'player_name': ' Martínez ', 'player_number': ' 13'}]","[{'player_name': ' Samuel Lino ', 'player_number': ' 16'}, {'player_name': ' Duro ', 'player_number': ' 19'}, {'player_name': ' Kluivert ', 'player_number': ' 9'}, {'player_name': ' André Almeida ', 'player_number': ' 18'}, {'player_name': ' Nico ', 'player_number': ' 17'}, {'player_name': ' Castillejo ', 'player_number': ' 11'}, {'player_name': ' Gayà ', 'player_number': ' 14'}, {'player_name': ' Özkacar ', 'player_number': ' 15'}, {'player_name': ' Diakhaby ', 'player_number': ' 12'}, {'player_name': ' Foulquier ', 'player_number': ' 20'}, {'player_name': ' Mamardashvili ', 'player_number': ' 25'}]","['Suárez', 'Baptistao', 'Robertone', 'Melero', 'Puigmal', 'de Almeida Costa', 'Centelles Plaza', 'Babić', 'Ely', 'Chumi', 'Martínez']","['16', '12', '5', '3', '18', '23', '20', '22', '19', '21', '13']","['Samuel Lino', 'Duro', 'Kluivert', 'André Almeida', 'Nico', 'Castillejo', 'Gayà', 'Özkacar', 'Diakhaby', 'Foulquier', 'Mamardashvili']","['16', '19', '9', '18', '17', '11', '14', '15', '12', '20', '25']"
9,Matchday 28,09/04/2023,False,False,False,Real Betis,Cádiz,0,2,0.45,0.55,9, 15 ,3, 4 ,0.48,0.52,0.82,0.03,0.15,21092,Benito Villamarín,"[{'player_name': ' Iglesias ', 'player_number': ' 9'}, {'player_name': ' Pérez ', 'player_number': ' 21'}, {'player_name': ' Rodri ', 'player_number': ' 28'}, {'player_name': ' Canales ', 'player_number': ' 10'}, {'player_name': ' Carvalho ', 'player_number': ' 14'}, {'player_name': ' Rodríguez ', 'player_number': ' 5'}, {'player_name': ' Miranda ', 'player_number': ' 33'}, {'player_name': ' Luiz Felipe ', 'player_number': ' 19'}, {'player_name': ' Pezzella ', 'player_number': ' 16'}, {'player_name': ' Ruibal ', 'player_number': ' 24'}, {'player_name': ' Silva ', 'player_number': ' 13'}]","[{'player_name': ' Ramos ', 'player_number': ' 16'}, {'player_name': ' Guardiola Navarro ', 'player_number': ' 19'}, {'player_name': ' Sobrino ', 'player_number': ' 7'}, {'player_name': ' Alcaraz ', 'player_number': ' 4'}, {'player_name': ' San Emeterio ', 'player_number': ' 24'}, {'player_name': ' Bongonda ', 'player_number': ' 10'}, {'player_name': ' Espino ', 'player_number': ' 22'}, {'player_name': ' Fali ', 'player_number': ' 3'}, {'player_name': ' Hernández ', 'player_number': ' 23'}, {'player_name': ' Iza ', 'player_number': ' 20'}, {'player_name': ' Gil ', 'player_number': ' 13'}]","['Iglesias', 'Pérez', 'Rodri', 'Canales', 'Carvalho', 'Rodríguez', 'Miranda', 'Luiz Felipe', 'Pezzella', 'Ruibal', 'Silva']","['9', '21', '28', '10', '14', '5', '33', '19', '16', '24', '13']","['Ramos', 'Guardiola Navarro', 'Sobrino', 'Alcaraz', 'San Emeterio', 'Bongonda', 'Espino', 'Fali', 'Hernández', 'Iza', 'Gil']","['16', '19', '7', '4', '24', '10', '22', '3', '23', '20', '13']"
10,Matchday 28,09/04/2023,False,False,False,Real Valladolid,Mallorca,3,3,0.63,0.37,10, 14 ,6, 6 ,0.52,0.48,0.49,0.08,0.43,10907,José Zorrilla,"[{'player_name': ' Plano ', 'player_number': ' 10'}, {'player_name': ' Larin ', 'player_number': ' 25'}, {'player_name': ' Plata ', 'player_number': ' 11'}, {'player_name': ' Mesa ', 'player_number': ' 17'}, {'player_name': ' Hongla ', 'player_number': ' 20'}, {'player_name': ' Kike Pérez ', 'player_number': ' 4'}, {'player_name': ' Rosa ', 'player_number': ' 39'}, {'player_name': ' Sanchez ', 'player_number': ' 5'}, {'player_name': ' Fernandez ', 'player_number': ' 24'}, {'player_name': ' Fresneda ', 'player_number': ' 27'}, {'player_name': ' Masip ', 'player_number': ' 1'}]","[{'player_name': ' Muriqi ', 'player_number': ' 7'}, {'player_name': ' Lee Kang-in ', 'player_number': ' 19'}, {'player_name': ' Morlanes ', 'player_number': ' 11'}, {'player_name': ' Ruiz de Galarreta ', 'player_number': ' 4'}, {'player_name': ' Ndiaye ', 'player_number': ' 23'}, {'player_name': ' Costa ', 'player_number': ' 18'}, {'player_name': ' Hadzikadunic ', 'player_number': ' 5'}, {'player_name': ' Raillo ', 'player_number': ' 21'}, {'player_name': ' Valjent ', 'player_number': ' 24'}, {'player_name': ' Maffeo ', 'player_number': ' 15'}, {'player_name': ' Rajković ', 'player_number': ' 1'}]","['Plano', 'Larin', 'Plata', 'Mesa', 'Hongla', 'Kike Pérez', 'Rosa', 'Sanchez', 'Fernandez', 'Fresneda', 'Masip']","['10', '25', '11', '17', '20', '4', '39', '5', '24', '27', '1']","['Muriqi', 'Lee Kang-in', 'Morlanes', 'Ruiz de Galarreta', 'Ndiaye', 'Costa', 'Hadzikadunic', 'Raillo', 'Valjent', 'Maffeo', 'Rajković']","['7', '19', '11', '4', '23', '18', '5', '21', '24', '15', '1']"
