match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 28,15/04/2023,False,False,False,FC Porto,Santa Clara,2,1,0.86,0.02,0.12,12759,Estádio Do Dragão,"[{'player_name': ' Martínez ', 'player_number': ' 29'}, {'player_name': ' Galeno ', 'player_number': ' 13'}, {'player_name': ' Otávio ', 'player_number': ' 25'}, {'player_name': ' Pepê ', 'player_number': ' 11'}, {'player_name': ' Uribe ', 'player_number': ' 8'}, {'player_name': ' Eustáquio ', 'player_number': ' 46'}, {'player_name': ' Wendell ', 'player_number': ' 22'}, {'player_name': ' Marcano ', 'player_number': ' 5'}, {'player_name': ' Pepe ', 'player_number': ' 3'}, {'player_name': ' Manafá Jancó ', 'player_number': ' 18'}, {'player_name': ' Costa ', 'player_number': ' 99'}]","[{'player_name': ' Barcelos da Silva ', 'player_number': ' 39'}, {'player_name': ' de Souza Lima ', 'player_number': ' 7'}, {'player_name': ' Pereira da Costa ', 'player_number': ' 11'}, {'player_name': ' Oliveira António ', 'player_number': ' 10'}, {'player_name': ' dos Santos da Silva ', 'player_number': ' 20'}, {'player_name': ' Cavaco Jordão ', 'player_number': ' 6'}, {'player_name': ' Nunes Fagundes de Araújo ', 'player_number': ' 32'}, {'player_name': ' Boateng ', 'player_number': ' 4'}, {'player_name': ' Nogueira de Paula ', 'player_number': ' 2'}, {'player_name': ' Sagna ', 'player_number': ' 95'}, {'player_name': ' Batista de Souza ', 'player_number': ' 12'}]","['Martínez', 'Galeno', 'Otávio', 'Pepê', 'Uribe', 'Eustáquio', 'Wendell', 'Marcano', 'Pepe', 'Manafá Jancó', 'Costa']","['29', '13', '25', '11', '8', '46', '22', '5', '3', '18', '99']","['Barcelos da Silva', 'de Souza Lima', 'Pereira da Costa', 'Oliveira António', 'dos Santos da Silva', 'Cavaco Jordão', 'Nunes Fagundes de Araújo', 'Boateng', 'Nogueira de Paula', 'Sagna', 'Batista de Souza']","['39', '7', '11', '10', '20', '6', '32', '4', '2', '95', '12']"
2,Matchday 28,15/04/2023,False,False,False,Chaves,Benfica,1,0,0.09,0.02,0.89,17548,Estádio Municipal Manuel Branco Teixeira,"[{'player_name': ' dos Santos Júnior ', 'player_number': ' 20'}, {'player_name': ' Martins  Sousa ', 'player_number': ' 73'}, {'player_name': ' Mendes Neto Saraiva ', 'player_number': ' 8'}, {'player_name': ' Araújo Correia ', 'player_number': ' 77'}, {'player_name': ' Teixeira ', 'player_number': ' 10'}, {'player_name': ' Martins Guimarães ', 'player_number': ' 21'}, {'player_name': ' Langa ', 'player_number': ' 5'}, {'player_name': ' Vitória ', 'player_number': ' 19'}, {'player_name': ' dos Santos Rodrigues ', 'player_number': ' 26'}, {'player_name': ' Monte ', 'player_number': ' 3'}, {'player_name': ' Fagundes dos Anjos ', 'player_number': ' 1'}]","[{'player_name': ' Ramos ', 'player_number': ' 88'}, {'player_name': ' João Mário ', 'player_number': ' 20'}, {'player_name': ' Silva ', 'player_number': ' 27'}, {'player_name': ' Neres Campos ', 'player_number': ' 7'}, {'player_name': ' Chiquinho ', 'player_number': ' 22'}, {'player_name': ' Aursnes ', 'player_number': ' 8'}, {'player_name': ' Grimaldo ', 'player_number': ' 3'}, {'player_name': ' Otamendi ', 'player_number': ' 30'}, {'player_name': ' Silva ', 'player_number': ' 66'}, {'player_name': ' Moraes Júnior ', 'player_number': ' 2'}, {'player_name': ' Vlachodimos ', 'player_number': ' 99'}]","['dos Santos Júnior', 'Martins  Sousa', 'Mendes Neto Saraiva', 'Araújo Correia', 'Teixeira', 'Martins Guimarães', 'Langa', 'Vitória', 'dos Santos Rodrigues', 'Monte', 'Fagundes dos Anjos']","['20', '73', '8', '77', '10', '21', '5', '19', '26', '3', '1']","['Ramos', 'João Mário', 'Silva', 'Neres Campos', 'Chiquinho', 'Aursnes', 'Grimaldo', 'Otamendi', 'Silva', 'Moraes Júnior', 'Vlachodimos']","['88', '20', '27', '7', '22', '8', '3', '30', '66', '2', '99']"
3,Matchday 28,15/04/2023,False,False,False,Marítimo,Paços Ferreira,3,1,0.61,0.06,0.33,1213,Estádio do Marítimo,"[{'player_name': ' Riascos ', 'player_number': ' 29'}, {'player_name': ' Andrade Sanches Correia ', 'player_number': ' 17'}, {'player_name': ' Ribeiro ', 'player_number': ' 7'}, {'player_name': ' Vieira Almeida ', 'player_number': ' 23'}, {'player_name': ' de Oliveira Soares ', 'player_number': ' 8'}, {'player_name': ' Crispim ', 'player_number': ' 21'}, {'player_name': ' Costa de Brito ', 'player_number': ' 94'}, {'player_name': ' Mosquera ', 'player_number': ' 3'}, {'player_name': ' Chavango Júnior ', 'player_number': ' 5'}, {'player_name': ' Paulinho ', 'player_number': ' 27'}, {'player_name': ' Passos Carné ', 'player_number': ' 31'}]","[{'player_name': ' Thomas ', 'player_number': ' 7'}, {'player_name': ' Gomes Netto ', 'player_number': ' 11'}, {'player_name': ' Gaitan ', 'player_number': ' 10'}, {'player_name': ' Holsgrove ', 'player_number': ' 6'}, {'player_name': ' Guerra Pires ', 'player_number': ' 26'}, {'player_name': ' Gonçalves Bernardo ', 'player_number': ' 55'}, {'player_name': ' Antunes ', 'player_number': ' 5'}, {'player_name': ' de Brito Gonzaga ', 'player_number': ' 25'}, {'player_name': ' Ferigra ', 'player_number': ' 23'}, {'player_name': ' Delgado ', 'player_number': ' 15'}, {'player_name': ' Vekic ', 'player_number': ' 98'}]","['Riascos', 'Andrade Sanches Correia', 'Ribeiro', 'Vieira Almeida', 'de Oliveira Soares', 'Crispim', 'Costa de Brito', 'Mosquera', 'Chavango Júnior', 'Paulinho', 'Passos Carné']","['29', '17', '7', '23', '8', '21', '94', '3', '5', '27', '31']","['Thomas', 'Gomes Netto', 'Gaitan', 'Holsgrove', 'Guerra Pires', 'Gonçalves Bernardo', 'Antunes', 'de Brito Gonzaga', 'Ferigra', 'Delgado', 'Vekic']","['7', '11', '10', '6', '26', '55', '5', '25', '23', '15', '98']"
4,Matchday 28,15/04/2023,False,False,False,Estoril,Portimonense,0,1,0.48,0.08,0.44,1006,Estádio António Coimbra da Mota,"[{'player_name': ' Marqués ', 'player_number': ' 9'}, {'player_name': ' Ferreira de Souza ', 'player_number': ' 28'}, {'player_name': ' Antunes Carvalho ', 'player_number': ' 20'}, {'player_name': ' Silva Marques ', 'player_number': ' 33'}, {'player_name': ' Antunes Gouveia ', 'player_number': ' 21'}, {'player_name': ' Ndiaye ', 'player_number': ' 25'}, {'player_name': ' Reis Graça ', 'player_number': ' 31'}, {'player_name': ' Morais Cardoso Vital ', 'player_number': ' 3'}, {'player_name': ' Costa Álvaro ', 'player_number': ' 23'}, {'player_name': ' Santos Carvalho ', 'player_number': ' 62'}, {'player_name': ' Leite Figueira ', 'player_number': ' 99'}]","[{'player_name': ' Ferreira dos Santos ', 'player_number': ' 93'}, {'player_name': ' Seck ', 'player_number': ' 14'}, {'player_name': ' Santos de Jesús ', 'player_number': ' 7'}, {'player_name': ' González ', 'player_number': ' 15'}, {'player_name': ' Moreira Alves ', 'player_number': ' 38'}, {'player_name': ' da Silveira Júnior ', 'player_number': ' 8'}, {'player_name': ' Relvas Vitó Oliveira ', 'player_number': ' 22'}, {'player_name': ' de Oliveira Correia ', 'player_number': ' 44'}, {'player_name': ' Park ', 'player_number': ' 23'}, {'player_name': ' Moufi ', 'player_number': ' 18'}, {'player_name': ' Nakamura ', 'player_number': ' 32'}]","['Marqués', 'Ferreira de Souza', 'Antunes Carvalho', 'Silva Marques', 'Antunes Gouveia', 'Ndiaye', 'Reis Graça', 'Morais Cardoso Vital', 'Costa Álvaro', 'Santos Carvalho', 'Leite Figueira']","['9', '28', '20', '33', '21', '25', '31', '3', '23', '62', '99']","['Ferreira dos Santos', 'Seck', 'Santos de Jesús', 'González', 'Moreira Alves', 'da Silveira Júnior', 'Relvas Vitó Oliveira', 'de Oliveira Correia', 'Park', 'Moufi', 'Nakamura']","['93', '14', '7', '15', '38', '8', '22', '44', '23', '18', '32']"
5,Matchday 28,14/04/2023,False,False,False,Famalicão,Guimarães,2,1,0.43,0.05,0.52,2335,Estádio Municipal 22 de Junho,"[{'player_name': ' Cádiz ', 'player_number': ' 29'}, {'player_name': ' Jaime ', 'player_number': ' 10'}, {'player_name': ' Rodrigues ', 'player_number': ' 7'}, {'player_name': ' Dobre ', 'player_number': ' 23'}, {'player_name': ' Colombatto ', 'player_number': ' 97'}, {'player_name': ' Youssouf ', 'player_number': ' 28'}, {'player_name': ' Sampaio de Moura ', 'player_number': ' 74'}, {'player_name': ' Ataíde da Silva ', 'player_number': ' 13'}, {'player_name': ' da Silva Júnior ', 'player_number': ' 15'}, {'player_name': ' Penetra Correia ', 'player_number': ' 6'}, {'player_name': ' Reis Júnior ', 'player_number': ' 31'}]","[{'player_name': ' Ferreira Silva ', 'player_number': ' 11'}, {'player_name': ' Pelegrini Safira ', 'player_number': ' 9'}, {'player_name': ' Lameiras ', 'player_number': ' 7'}, {'player_name': ' Bandeira e Silva ', 'player_number': ' 80'}, {'player_name': ' Andre ', 'player_number': ' 21'}, {'player_name': ' Silva ', 'player_number': ' 10'}, {'player_name': ' Abreu De Freitas ', 'player_number': ' 72'}, {'player_name': ' Jorge Silva ', 'player_number': ' 24'}, {'player_name': ' Tounkara ', 'player_number': ' 83'}, {'player_name': ' Gomes Ferreira Magalhães ', 'player_number': ' 2'}, {'player_name': ' Aussumone Biai ', 'player_number': ' 63'}]","['Cádiz', 'Jaime', 'Rodrigues', 'Dobre', 'Colombatto', 'Youssouf', 'Sampaio de Moura', 'Ataíde da Silva', 'da Silva Júnior', 'Penetra Correia', 'Reis Júnior']","['29', '10', '7', '23', '97', '28', '74', '13', '15', '6', '31']","['Ferreira Silva', 'Pelegrini Safira', 'Lameiras', 'Bandeira e Silva', 'Andre', 'Silva', 'Abreu De Freitas', 'Jorge Silva', 'Tounkara', 'Gomes Ferreira Magalhães', 'Aussumone Biai']","['11', '9', '7', '80', '21', '10', '72', '24', '83', '2', '63']"
6,Matchday 27,10/04/2023,False,False,False,Gil Vicente,Chaves,0,0,0.57,0.09,0.34,2613,Estádio Cidade de Barcelos,"[{'player_name': ' Navarro Aliaga ', 'player_number': ' 9'}, {'player_name': ' de Sales Silva ', 'player_number': ' 11'}, {'player_name': ' Fujimoto ', 'player_number': ' 10'}, {'player_name': ' de Souza Costa ', 'player_number': ' 77'}, {'player_name': ' Aburjania ', 'player_number': ' 8'}, {'player_name': ' Carvalho Vieira ', 'player_number': ' 21'}, {'player_name': ' Marin ', 'player_number': ' 19'}, {'player_name': ' Marques dos Santos Fernandes ', 'player_number': ' 26'}, {'player_name': ' Lemos Araújo ', 'player_number': ' 72'}, {'player_name': ' Carraca ', 'player_number': ' 15'}, {'player_name': ' da Silva Ventura ', 'player_number': ' 42'}]","[{'player_name': ' Silva Cavalcanti ', 'player_number': ' 16'}, {'player_name': ' dos Santos Júnior ', 'player_number': ' 20'}, {'player_name': ' Martins  Sousa ', 'player_number': ' 73'}, {'player_name': ' Teixeira ', 'player_number': ' 10'}, {'player_name': ' Martins Guimarães ', 'player_number': ' 21'}, {'player_name': ' Mendes Neto Saraiva ', 'player_number': ' 8'}, {'player_name': ' Langa ', 'player_number': ' 5'}, {'player_name': ' Vitória ', 'player_number': ' 19'}, {'player_name': ' dos Santos Rodrigues ', 'player_number': ' 26'}, {'player_name': ' Monte ', 'player_number': ' 3'}, {'player_name': ' Fagundes dos Anjos ', 'player_number': ' 1'}]","['Navarro Aliaga', 'de Sales Silva', 'Fujimoto', 'de Souza Costa', 'Aburjania', 'Carvalho Vieira', 'Marin', 'Marques dos Santos Fernandes', 'Lemos Araújo', 'Carraca', 'da Silva Ventura']","['9', '11', '10', '77', '8', '21', '19', '26', '72', '15', '42']","['Silva Cavalcanti', 'dos Santos Júnior', 'Martins  Sousa', 'Teixeira', 'Martins Guimarães', 'Mendes Neto Saraiva', 'Langa', 'Vitória', 'dos Santos Rodrigues', 'Monte', 'Fagundes dos Anjos']","['16', '20', '73', '10', '21', '8', '5', '19', '26', '3', '1']"
7,Matchday 27,09/04/2023,False,False,False,Casa Pia AC,Sporting CP,3,4,0.1,0.02,0.88,13093,Estádio do Jamor,"[{'player_name': ' Costa Pinto ', 'player_number': ' 10'}, {'player_name': ' Martins ', 'player_number': ' 11'}, {'player_name': ' Soma ', 'player_number': ' 24'}, {'player_name': ' Cruz Lelo ', 'player_number': ' 5'}, {'player_name': ' Pelegrinelli Neto ', 'player_number': ' 8'}, {'player_name': ' Taira ', 'player_number': ' 27'}, {'player_name': ' Santos Poloni ', 'player_number': ' 6'}, {'player_name': ' Zolotic ', 'player_number': ' 19'}, {'player_name': ' Varela ', 'player_number': ' 15'}, {'player_name': ' Grandela Nunes ', 'player_number': ' 3'}, {'player_name': ' Paes Souza ', 'player_number': ' 68'}]","[{'player_name': ' Trincão ', 'player_number': ' 17'}, {'player_name': ' Chermiti ', 'player_number': ' 79'}, {'player_name': ' Edwards ', 'player_number': ' 10'}, {'player_name': ' Santos ', 'player_number': ' 11'}, {'player_name': ' Gonçalves ', 'player_number': ' 28'}, {'player_name': ' Ugarte ', 'player_number': ' 15'}, {'player_name': ' Esgaio ', 'player_number': ' 47'}, {'player_name': ' Reis de Lima ', 'player_number': ' 2'}, {'player_name': ' Coates ', 'player_number': ' 4'}, {'player_name': ' Diomande ', 'player_number': ' 26'}, {'player_name': ' Adan ', 'player_number': ' 1'}]","['Costa Pinto', 'Martins', 'Soma', 'Cruz Lelo', 'Pelegrinelli Neto', 'Taira', 'Santos Poloni', 'Zolotic', 'Varela', 'Grandela Nunes', 'Paes Souza']","['10', '11', '24', '5', '8', '27', '6', '19', '15', '3', '68']","['Trincão', 'Chermiti', 'Edwards', 'Santos', 'Gonçalves', 'Ugarte', 'Esgaio', 'Reis de Lima', 'Coates', 'Diomande', 'Adan']","['17', '79', '10', '11', '28', '15', '47', '2', '4', '26', '1']"
8,Matchday 27,08/04/2023,False,False,False,Braga,Estoril,4,1,0.83,0.03,0.14,3643,Estádio Municipal de Braga,"[{'player_name': ' Ruiz ', 'player_number': ' 9'}, {'player_name': ' Tué Na Bangna ', 'player_number': ' 27'}, {'player_name': ' Horta ', 'player_number': ' 21'}, {'player_name': ' Medeiros ', 'player_number': ' 45'}, {'player_name': ' Horta ', 'player_number': ' 10'}, {'player_name': ' Al Musrati ', 'player_number': ' 8'}, {'player_name': ' Borja ', 'player_number': ' 26'}, {'player_name': ' Niakaté ', 'player_number': ' 4'}, {'player_name': ' Tormena de Farias ', 'player_number': ' 3'}, {'player_name': ' Gómez ', 'player_number': ' 2'}, {'player_name': ' Lima Magalhães ', 'player_number': ' 1'}]","[{'player_name': ' Marqués ', 'player_number': ' 9'}, {'player_name': ' Ferreira de Souza ', 'player_number': ' 28'}, {'player_name': ' Silva Marques ', 'player_number': ' 33'}, {'player_name': ' Antunes Gouveia ', 'player_number': ' 21'}, {'player_name': ' Geraldes ', 'player_number': ' 10'}, {'player_name': ' Ndiaye ', 'player_number': ' 25'}, {'player_name': ' Alves Araújo ', 'player_number': ' 78'}, {'player_name': ' Morais Cardoso Vital ', 'player_number': ' 3'}, {'player_name': ' Costa Álvaro ', 'player_number': ' 23'}, {'player_name': ' Delos ', 'player_number': ' 22'}, {'player_name': ' Leite Figueira ', 'player_number': ' 99'}]","['Ruiz', 'Tué Na Bangna', 'Horta', 'Medeiros', 'Horta', 'Al Musrati', 'Borja', 'Niakaté', 'Tormena de Farias', 'Gómez', 'Lima Magalhães']","['9', '27', '21', '45', '10', '8', '26', '4', '3', '2', '1']","['Marqués', 'Ferreira de Souza', 'Silva Marques', 'Antunes Gouveia', 'Geraldes', 'Ndiaye', 'Alves Araújo', 'Morais Cardoso Vital', 'Costa Álvaro', 'Delos', 'Leite Figueira']","['9', '28', '33', '21', '10', '25', '78', '3', '23', '22', '99']"
9,Matchday 27,08/04/2023,False,False,False,Portimonense,Rio Ave,2,2,0.35,0.08,0.57,1238,Estádio Municipal de Portimão,"[{'player_name': ' Ferreira dos Santos ', 'player_number': ' 93'}, {'player_name': ' González ', 'player_number': ' 15'}, {'player_name': ' Santos de Jesús ', 'player_number': ' 7'}, {'player_name': ' Lamine Diaby ', 'player_number': ' 24'}, {'player_name': ' da Silveira Júnior ', 'player_number': ' 8'}, {'player_name': ' Seck ', 'player_number': ' 14'}, {'player_name': ' Relvas Vitó Oliveira ', 'player_number': ' 22'}, {'player_name': ' de Oliveira Correia ', 'player_number': ' 44'}, {'player_name': ' Park ', 'player_number': ' 23'}, {'player_name': ' Moufi ', 'player_number': ' 18'}, {'player_name': ' Nakamura ', 'player_number': ' 32'}]","[{'player_name': ' Boateng ', 'player_number': ' 22'}, {'player_name': ' Ferreira Coelho Pereira ', 'player_number': ' 95'}, {'player_name': ' da Costa Conceição ', 'player_number': ' 77'}, {'player_name': ' Salazar da Graça ', 'player_number': ' 21'}, {'player_name': ' Samaris ', 'player_number': ' 30'}, {'player_name': ' Rodrigues ', 'player_number': ' 6'}, {'player_name': ' Loureiro da Costa ', 'player_number': ' 20'}, {'player_name': ' Sá de Oliveira ', 'player_number': ' 4'}, {'player_name': ' Santos ', 'player_number': ' 33'}, {'player_name': ' Pantalon ', 'player_number': ' 42'}, {'player_name': ' da Siqueira ', 'player_number': ' 18'}]","['Ferreira dos Santos', 'González', 'Santos de Jesús', 'Lamine Diaby', 'da Silveira Júnior', 'Seck', 'Relvas Vitó Oliveira', 'de Oliveira Correia', 'Park', 'Moufi', 'Nakamura']","['93', '15', '7', '24', '8', '14', '22', '44', '23', '18', '32']","['Boateng', 'Ferreira Coelho Pereira', 'da Costa Conceição', 'Salazar da Graça', 'Samaris', 'Rodrigues', 'Loureiro da Costa', 'Sá de Oliveira', 'Santos', 'Pantalon', 'da Siqueira']","['22', '95', '77', '21', '30', '6', '20', '4', '33', '42', '18']"
10,Matchday 27,08/04/2023,False,False,False,Paços Ferreira,Famalicão,1,3,0.37,0.07,0.56,1137,Estádio Capital do Móvel,"[{'player_name': ' Tchuda da Silva ', 'player_number': ' 70'}, {'player_name': ' Pereira Guedes ', 'player_number': ' 30'}, {'player_name': ' Gaitan ', 'player_number': ' 10'}, {'player_name': ' Holsgrove ', 'player_number': ' 6'}, {'player_name': ' Guerra Pires ', 'player_number': ' 26'}, {'player_name': ' Gonçalves Bernardo ', 'player_number': ' 55'}, {'player_name': ' Antunes ', 'player_number': ' 5'}, {'player_name': ' de Brito Gonzaga ', 'player_number': ' 25'}, {'player_name': ' Reis Lima ', 'player_number': ' 3'}, {'player_name': ' dos Santos Silva ', 'player_number': ' 21'}, {'player_name': ' Vekic ', 'player_number': ' 98'}]","[{'player_name': ' Jaime ', 'player_number': ' 10'}, {'player_name': ' Cádiz ', 'player_number': ' 29'}, {'player_name': ' Rodrigues ', 'player_number': ' 7'}, {'player_name': ' Colombatto ', 'player_number': ' 97'}, {'player_name': ' Alves de Freitas Azevedo e Sá ', 'player_number': ' 20'}, {'player_name': ' Youssouf ', 'player_number': ' 28'}, {'player_name': ' Sampaio de Moura ', 'player_number': ' 74'}, {'player_name': ' Ataíde da Silva ', 'player_number': ' 13'}, {'player_name': ' da Silva Júnior ', 'player_number': ' 15'}, {'player_name': ' Penetra Correia ', 'player_number': ' 6'}, {'player_name': ' Reis Júnior ', 'player_number': ' 31'}]","['Tchuda da Silva', 'Pereira Guedes', 'Gaitan', 'Holsgrove', 'Guerra Pires', 'Gonçalves Bernardo', 'Antunes', 'de Brito Gonzaga', 'Reis Lima', 'dos Santos Silva', 'Vekic']","['70', '30', '10', '6', '26', '55', '5', '25', '3', '21', '98']","['Jaime', 'Cádiz', 'Rodrigues', 'Colombatto', 'Alves de Freitas Azevedo e Sá', 'Youssouf', 'Sampaio de Moura', 'Ataíde da Silva', 'da Silva Júnior', 'Penetra Correia', 'Reis Júnior']","['10', '29', '7', '97', '20', '28', '74', '13', '15', '6', '31']"
