match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 31,15/04/2023,False,False,False,PSG,Lens,3,1,0.63,0.37,15, 14 ,7, 7 ,0.52,0.48,0.87,0.02,0.11,171319,Parc des Princes,"[{'player_name': ' Mbappé ', 'player_number': ' 7'}, {'player_name': ' Messi ', 'player_number': ' 30'}, {'player_name': ' Mendes ', 'player_number': ' 25'}, {'player_name': ' Vitinha ', 'player_number': ' 17'}, {'player_name': ' Ruiz ', 'player_number': ' 8'}, {'player_name': ' Soler ', 'player_number': ' 28'}, {'player_name': ' Hakimi ', 'player_number': ' 2'}, {'player_name': ' Pereira ', 'player_number': ' 15'}, {'player_name': ' Ramos ', 'player_number': ' 4'}, {'player_name': ' Marquinhos ', 'player_number': ' 5'}, {'player_name': ' Donnarumma ', 'player_number': ' 99'}]","[{'player_name': ' Openda ', 'player_number': ' 11'}, {'player_name': ' Fulgini ', 'player_number': ' 20'}, {'player_name': ' Thomasson ', 'player_number': ' 28'}, {'player_name': ' Machado ', 'player_number': ' 3'}, {'player_name': ' Fofana ', 'player_number': ' 8'}, {'player_name': ' Abdul Samed ', 'player_number': ' 26'}, {'player_name': ' Frankowski ', 'player_number': ' 29'}, {'player_name': ' Medina ', 'player_number': ' 14'}, {'player_name': ' Danso ', 'player_number': ' 4'}, {'player_name': ' Gradit ', 'player_number': ' 24'}, {'player_name': ' Samba ', 'player_number': ' 30'}]","['Mbappé', 'Messi', 'Mendes', 'Vitinha', 'Ruiz', 'Soler', 'Hakimi', 'Pereira', 'Ramos', 'Marquinhos', 'Donnarumma']","['7', '30', '25', '17', '8', '28', '2', '15', '4', '5', '99']","['Openda', 'Fulgini', 'Thomasson', 'Machado', 'Fofana', 'Abdul Samed', 'Frankowski', 'Medina', 'Danso', 'Gradit', 'Samba']","['11', '20', '28', '3', '8', '26', '29', '14', '4', '24', '30']"
2,Matchday 31,15/04/2023,False,False,False,Rennes,Reims,3,0,0.51,0.49,23, 5 ,8, 1 ,0.54,0.47,0.69,0.05,0.26,9982,Roazhon Park,"[{'player_name': ' Kalimuendo ', 'player_number': ' 9'}, {'player_name': ' Gouiri ', 'player_number': ' 19'}, {'player_name': ' Tait ', 'player_number': ' 20'}, {'player_name': ' Bourigeaud ', 'player_number': ' 14'}, {'player_name': ' Doku ', 'player_number': ' 10'}, {'player_name': ' Ugochukwu ', 'player_number': ' 6'}, {'player_name': ' Meling ', 'player_number': ' 25'}, {'player_name': ' Theate ', 'player_number': ' 5'}, {'player_name': ' Omari ', 'player_number': ' 23'}, {'player_name': ' Traore ', 'player_number': ' 27'}, {'player_name': ' Mandanda ', 'player_number': ' 30'}]","[{'player_name': ' Balogun ', 'player_number': ' 29'}, {'player_name': ' Zeneli ', 'player_number': ' 10'}, {'player_name': ' Flips ', 'player_number': ' 70'}, {'player_name': ' Ito ', 'player_number': ' 39'}, {'player_name': ' Munetsi ', 'player_number': ' 15'}, {'player_name': ' Atangana Edoa ', 'player_number': ' 49'}, {'player_name': ' De Smet ', 'player_number': ' 25'}, {'player_name': ' Abdelhamid ', 'player_number': ' 5'}, {'player_name': ' Agbadou ', 'player_number': ' 24'}, {'player_name': ' Foket ', 'player_number': ' 32'}, {'player_name': ' Diouf ', 'player_number': ' 94'}]","['Kalimuendo', 'Gouiri', 'Tait', 'Bourigeaud', 'Doku', 'Ugochukwu', 'Meling', 'Theate', 'Omari', 'Traore', 'Mandanda']","['9', '19', '20', '14', '10', '6', '25', '5', '23', '27', '30']","['Balogun', 'Zeneli', 'Flips', 'Ito', 'Munetsi', 'Atangana Edoa', 'De Smet', 'Abdelhamid', 'Agbadou', 'Foket', 'Diouf']","['29', '10', '70', '39', '15', '49', '25', '5', '24', '32', '94']"
3,Matchday 31,14/04/2023,False,False,False,Toulouse,Olympique Lyonnais,1,2,0.42,0.58,13, 14 ,6, 3 ,0.45,0.55,0.2,0.03,0.77,20555,"Stadium Municipal, Toulouse","[{'player_name': ' Dallinga ', 'player_number': ' 27'}, {'player_name': ' Chaïbi ', 'player_number': ' 28'}, {'player_name': ' Genreau ', 'player_number': ' 5'}, {'player_name': ' Aboukhlal ', 'player_number': ' 6'}, {'player_name': ' Van den Boomen ', 'player_number': ' 8'}, {'player_name': ' Spierings ', 'player_number': ' 17'}, {'player_name': ' Suazo ', 'player_number': ' 15'}, {'player_name': ' Costa ', 'player_number': ' 14'}, {'player_name': ' Rouault ', 'player_number': ' 4'}, {'player_name': ' Kamanzi ', 'player_number': ' 26'}, {'player_name': ' Dupe ', 'player_number': ' 30'}]","[{'player_name': ' Cherki ', 'player_number': ' 18'}, {'player_name': ' Lacazette ', 'player_number': ' 10'}, {'player_name': ' Pereira dos Santos ', 'player_number': ' 47'}, {'player_name': ' Caqueret ', 'player_number': ' 6'}, {'player_name': ' Tolisso ', 'player_number': ' 88'}, {'player_name': ' Lepenant ', 'player_number': ' 24'}, {'player_name': ' Silva Milagres ', 'player_number': ' 12'}, {'player_name': ' Lukeba ', 'player_number': ' 4'}, {'player_name': ' Lovren ', 'player_number': ' 5'}, {'player_name': ' Kumbedi ', 'player_number': ' 20'}, {'player_name': ' Lopes ', 'player_number': ' 1'}]","['Dallinga', 'Chaïbi', 'Genreau', 'Aboukhlal', 'Van den Boomen', 'Spierings', 'Suazo', 'Costa', 'Rouault', 'Kamanzi', 'Dupe']","['27', '28', '5', '6', '8', '17', '15', '14', '4', '26', '30']","['Cherki', 'Lacazette', 'Pereira dos Santos', 'Caqueret', 'Tolisso', 'Lepenant', 'Silva Milagres', 'Lukeba', 'Lovren', 'Kumbedi', 'Lopes']","['18', '10', '47', '6', '88', '24', '12', '4', '5', '20', '1']"
4,Matchday 30,09/04/2023,False,False,False,Lorient,Marseille,0,0,0.39,0.61,9, 13 ,5, 2 ,0.52,0.48,0.12,0.02,0.86,31245,Stade du Moustoir,"[{'player_name': ' Dieng ', 'player_number': ' 11'}, {'player_name': ' Aouchiche ', 'player_number': ' 10'}, {'player_name': ' Faivre ', 'player_number': ' 14'}, {'player_name': ' Yongwa ', 'player_number': ' 12'}, {'player_name': ' Makengo ', 'player_number': ' 17'}, {'player_name': ' Ponceau ', 'player_number': ' 21'}, {'player_name': ' Cathline ', 'player_number': ' 22'}, {'player_name': ' Le Goff ', 'player_number': ' 25'}, {'player_name': ' Talbi ', 'player_number': ' 3'}, {'player_name': ' Meïté ', 'player_number': ' 18'}, {'player_name': ' Mannone ', 'player_number': ' 1'}]","[{'player_name': ' Sanchez ', 'player_number': ' 70'}, {'player_name': ' Guendouzi ', 'player_number': ' 6'}, {'player_name': ' Ünder ', 'player_number': ' 17'}, {'player_name': ' Tavares ', 'player_number': ' 30'}, {'player_name': ' Veretout ', 'player_number': ' 27'}, {'player_name': ' Rongier ', 'player_number': ' 21'}, {'player_name': ' Clauss ', 'player_number': ' 7'}, {'player_name': ' Kolasinac ', 'player_number': ' 23'}, {'player_name': ' Gigot ', 'player_number': ' 4'}, {'player_name': ' Balerdi ', 'player_number': ' 5'}, {'player_name': ' Lopez ', 'player_number': ' 16'}]","['Dieng', 'Aouchiche', 'Faivre', 'Yongwa', 'Makengo', 'Ponceau', 'Cathline', 'Le Goff', 'Talbi', 'Meïté', 'Mannone']","['11', '10', '14', '12', '17', '21', '22', '25', '3', '18', '1']","['Sanchez', 'Guendouzi', 'Ünder', 'Tavares', 'Veretout', 'Rongier', 'Clauss', 'Kolasinac', 'Gigot', 'Balerdi', 'Lopez']","['70', '6', '17', '30', '27', '21', '7', '23', '4', '5', '16']"
5,Matchday 30,09/04/2023,False,False,False,Nantes,Monaco,2,2,0.48,0.52,9, 16 ,2, 10 ,0.39,0.61,0.33,0.04,0.63,12586,La Beaujoire-Louis-Fonteneau,"[{'player_name': ' Delort ', 'player_number': ' 99'}, {'player_name': ' Simon ', 'player_number': ' 27'}, {'player_name': ' Mollet ', 'player_number': ' 25'}, {'player_name': ' Guessand ', 'player_number': ' 7'}, {'player_name': ' Moutoussamy ', 'player_number': ' 8'}, {'player_name': ' Sissoko ', 'player_number': ' 17'}, {'player_name': ' Corchia ', 'player_number': ' 24'}, {'player_name': ' Castelletto ', 'player_number': ' 21'}, {'player_name': ' Girotto ', 'player_number': ' 3'}, {'player_name': ' Centonze ', 'player_number': ' 28'}, {'player_name': ' Lafont ', 'player_number': ' 1'}]","[{'player_name': ' Ben Yedder ', 'player_number': ' 10'}, {'player_name': ' Golovin ', 'player_number': ' 17'}, {'player_name': ' Ben Seghir ', 'player_number': ' 44'}, {'player_name': ' Diatta ', 'player_number': ' 27'}, {'player_name': ' Camara ', 'player_number': ' 4'}, {'player_name': ' Matazo ', 'player_number': ' 15'}, {'player_name': ' Caio Henrique ', 'player_number': ' 12'}, {'player_name': ' Maripan ', 'player_number': ' 3'}, {'player_name': ' Disasi ', 'player_number': ' 6'}, {'player_name': ' Vanderson ', 'player_number': ' 2'}, {'player_name': ' Nübel ', 'player_number': ' 16'}]","['Delort', 'Simon', 'Mollet', 'Guessand', 'Moutoussamy', 'Sissoko', 'Corchia', 'Castelletto', 'Girotto', 'Centonze', 'Lafont']","['99', '27', '25', '7', '8', '17', '24', '21', '3', '28', '1']","['Ben Yedder', 'Golovin', 'Ben Seghir', 'Diatta', 'Camara', 'Matazo', 'Caio Henrique', 'Maripan', 'Disasi', 'Vanderson', 'Nübel']","['10', '17', '44', '27', '4', '15', '12', '3', '6', '2', '16']"
6,Matchday 30,09/04/2023,False,False,False,Ajaccio,Auxerre,0,3,0.57,0.43,9, 11 ,2, 4 ,0.47,0.53,0.32,0.07,0.61,5093,Stade François-Coty,"[{'player_name': ' Hamouma ', 'player_number': ' 17'}, {'player_name': ' El Idrissy ', 'player_number': ' 7'}, {'player_name': ' Spadanuda ', 'player_number': ' 27'}, {'player_name': ' Coutadeur ', 'player_number': ' 6'}, {'player_name': ' Marchetti ', 'player_number': ' 8'}, {'player_name': ' Barreto ', 'player_number': ' 4'}, {'player_name': ' Kone ', 'player_number': ' 99'}, {'player_name': ' Gonzalez ', 'player_number': ' 25'}, {'player_name': ' Mayembo ', 'player_number': ' 77'}, {'player_name': ' Alphonse ', 'player_number': ' 2'}, {'player_name': ' Leroy ', 'player_number': ' 1'}]","[{'player_name': ' Da Costa ', 'player_number': ' 9'}, {'player_name': ' Perrin ', 'player_number': ' 10'}, {'player_name': ' Hein ', 'player_number': ' 7'}, {'player_name': ' Boto ', 'player_number': ' 24'}, {'player_name': ' Toure ', 'player_number': ' 12'}, {'player_name': "" M'Changama "", 'player_number': ' 6'}, {'player_name': ' Zedadka ', 'player_number': ' 13'}, {'player_name': ' Jeanvier ', 'player_number': ' 27'}, {'player_name': ' Jubal ', 'player_number': ' 4'}, {'player_name': ' Raveloson ', 'player_number': ' 97'}, {'player_name': ' Radu ', 'player_number': ' 1'}]","['Hamouma', 'El Idrissy', 'Spadanuda', 'Coutadeur', 'Marchetti', 'Barreto', 'Kone', 'Gonzalez', 'Mayembo', 'Alphonse', 'Leroy']","['17', '7', '27', '6', '8', '4', '99', '25', '77', '2', '1']","['Da Costa', 'Perrin', 'Hein', 'Boto', 'Toure', ""M'Changama"", 'Zedadka', 'Jeanvier', 'Jubal', 'Raveloson', 'Radu']","['9', '10', '7', '24', '12', '6', '13', '27', '4', '97', '1']"
7,Matchday 30,09/04/2023,False,False,False,Montpellier,Toulouse,1,2,0.51,0.49,15, 15 ,8, 8 ,0.48,0.52,0.51,0.05,0.44,6423,Stade de la Mosson,"[{'player_name': ' Wahi ', 'player_number': ' 21'}, {'player_name': ' Khazri ', 'player_number': ' 99'}, {'player_name': ' Savanier ', 'player_number': ' 11'}, {'player_name': ' Nordin ', 'player_number': ' 7'}, {'player_name': ' Chotard ', 'player_number': ' 13'}, {'player_name': ' Ferri ', 'player_number': ' 12'}, {'player_name': ' Sylla ', 'player_number': ' 3'}, {'player_name': ' Sakho ', 'player_number': ' 75'}, {'player_name': ' Jullien ', 'player_number': ' 6'}, {'player_name': ' Sacko ', 'player_number': ' 77'}, {'player_name': ' Lecomte ', 'player_number': ' 40'}]","[{'player_name': ' Onaiwu ', 'player_number': ' 7'}, {'player_name': ' Chaïbi ', 'player_number': ' 28'}, {'player_name': ' Genreau ', 'player_number': ' 5'}, {'player_name': ' Dejaegere ', 'player_number': ' 10'}, {'player_name': ' Van den Boomen ', 'player_number': ' 8'}, {'player_name': ' Sierro ', 'player_number': ' 13'}, {'player_name': ' Kamanzi ', 'player_number': ' 26'}, {'player_name': ' Nicolaisen ', 'player_number': ' 2'}, {'player_name': ' Rouault ', 'player_number': ' 4'}, {'player_name': ' Desler ', 'player_number': ' 3'}, {'player_name': ' Dupe ', 'player_number': ' 30'}]","['Wahi', 'Khazri', 'Savanier', 'Nordin', 'Chotard', 'Ferri', 'Sylla', 'Sakho', 'Jullien', 'Sacko', 'Lecomte']","['21', '99', '11', '7', '13', '12', '3', '75', '6', '77', '40']","['Onaiwu', 'Chaïbi', 'Genreau', 'Dejaegere', 'Van den Boomen', 'Sierro', 'Kamanzi', 'Nicolaisen', 'Rouault', 'Desler', 'Dupe']","['7', '28', '5', '10', '8', '13', '26', '2', '4', '3', '30']"
8,Matchday 30,09/04/2023,False,False,False,Reims,Brest,1,1,0.62,0.38,22, 12 ,7, 5 ,0.5,0.5,0.74,0.04,0.22,6423,Stade Auguste-Delaune II,"[{'player_name': ' Balogun ', 'player_number': ' 29'}, {'player_name': ' Flips ', 'player_number': ' 70'}, {'player_name': ' Munetsi ', 'player_number': ' 15'}, {'player_name': ' Ito ', 'player_number': ' 39'}, {'player_name': ' Cajuste ', 'player_number': ' 8'}, {'player_name': ' Matusiwa ', 'player_number': ' 21'}, {'player_name': ' De Smet ', 'player_number': ' 25'}, {'player_name': ' Abdelhamid ', 'player_number': ' 5'}, {'player_name': ' Agbadou ', 'player_number': ' 24'}, {'player_name': ' Foket ', 'player_number': ' 32'}, {'player_name': ' Diouf ', 'player_number': ' 94'}]","[{'player_name': ' Mounie ', 'player_number': ' 15'}, {'player_name': ' Le Douaron ', 'player_number': ' 22'}, {'player_name': ' Camara ', 'player_number': ' 45'}, {'player_name': ' Belkebla ', 'player_number': ' 7'}, {'player_name': ' Honorat ', 'player_number': ' 9'}, {'player_name': ' Lees-Melou ', 'player_number': ' 20'}, {'player_name': ' Locko ', 'player_number': ' 28'}, {'player_name': ' Brassier ', 'player_number': ' 3'}, {'player_name': ' Chardonnet ', 'player_number': ' 5'}, {'player_name': ' Lala ', 'player_number': ' 27'}, {'player_name': ' Bizot ', 'player_number': ' 40'}]","['Balogun', 'Flips', 'Munetsi', 'Ito', 'Cajuste', 'Matusiwa', 'De Smet', 'Abdelhamid', 'Agbadou', 'Foket', 'Diouf']","['29', '70', '15', '39', '8', '21', '25', '5', '24', '32', '94']","['Mounie', 'Le Douaron', 'Camara', 'Belkebla', 'Honorat', 'Lees-Melou', 'Locko', 'Brassier', 'Chardonnet', 'Lala', 'Bizot']","['15', '22', '45', '7', '9', '20', '28', '3', '5', '27', '40']"
9,Matchday 30,09/04/2023,False,False,False,Troyes,Clermont,0,2,0.42,0.58,9, 12 ,3, 4 ,0.45,0.55,0.37,0.07,0.56,4110,Stade de l'Aube,"[{'player_name': ' Baldé ', 'player_number': ' 7'}, {'player_name': ' Odobert ', 'player_number': ' 29'}, {'player_name': ' Lopes ', 'player_number': ' 11'}, {'player_name': ' Yade ', 'player_number': ' 26'}, {'player_name': ' Agoumé ', 'player_number': ' 8'}, {'player_name': ' Kouamé ', 'player_number': ' 6'}, {'player_name': ' Baldé ', 'player_number': ' 18'}, {'player_name': ' Salmier ', 'player_number': ' 17'}, {'player_name': ' Rami ', 'player_number': ' 23'}, {'player_name': ' Palmer-Brown ', 'player_number': ' 4'}, {'player_name': ' Gallon ', 'player_number': ' 30'}]","[{'player_name': ' Kyei ', 'player_number': ' 95'}, {'player_name': ' Rashani ', 'player_number': ' 18'}, {'player_name': ' Cham ', 'player_number': ' 70'}, {'player_name': ' Allevinah ', 'player_number': ' 11'}, {'player_name': ' Gastien ', 'player_number': ' 25'}, {'player_name': ' Gonalons ', 'player_number': ' 12'}, {'player_name': ' Borges ', 'player_number': ' 3'}, {'player_name': ' Caufriez ', 'player_number': ' 5'}, {'player_name': ' Wieteska ', 'player_number': ' 4'}, {'player_name': ' Seidu ', 'player_number': ' 36'}, {'player_name': ' Diaw ', 'player_number': ' 99'}]","['Baldé', 'Odobert', 'Lopes', 'Yade', 'Agoumé', 'Kouamé', 'Baldé', 'Salmier', 'Rami', 'Palmer-Brown', 'Gallon']","['7', '29', '11', '26', '8', '6', '18', '17', '23', '4', '30']","['Kyei', 'Rashani', 'Cham', 'Allevinah', 'Gastien', 'Gonalons', 'Borges', 'Caufriez', 'Wieteska', 'Seidu', 'Diaw']","['95', '18', '70', '11', '25', '12', '3', '5', '4', '36', '99']"
10,Matchday 30,09/04/2023,False,False,False,Olympique Lyonnais,Rennes,3,1,0.59,0.41,11, 11 ,3, 3 ,0.53,0.47,0.61,0.05,0.34,16894,Groupama Stadium,"[{'player_name': ' Lacazette ', 'player_number': ' 10'}, {'player_name': ' Cherki ', 'player_number': ' 18'}, {'player_name': ' Caqueret ', 'player_number': ' 6'}, {'player_name': ' Lepenant ', 'player_number': ' 24'}, {'player_name': ' Barcola ', 'player_number': ' 26'}, {'player_name': ' Tolisso ', 'player_number': ' 88'}, {'player_name': ' Tagliafico ', 'player_number': ' 3'}, {'player_name': ' Lukeba ', 'player_number': ' 4'}, {'player_name': ' Diomandé ', 'player_number': ' 2'}, {'player_name': ' Kumbedi ', 'player_number': ' 20'}, {'player_name': ' Lopes ', 'player_number': ' 1'}]","[{'player_name': ' Kalimuendo ', 'player_number': ' 9'}, {'player_name': ' Gouiri ', 'player_number': ' 19'}, {'player_name': ' Majer ', 'player_number': ' 21'}, {'player_name': ' Bourigeaud ', 'player_number': ' 14'}, {'player_name': ' Ugochukwu ', 'player_number': ' 6'}, {'player_name': ' Santamaría ', 'player_number': ' 8'}, {'player_name': ' Meling ', 'player_number': ' 25'}, {'player_name': ' Theate ', 'player_number': ' 5'}, {'player_name': ' Omari ', 'player_number': ' 23'}, {'player_name': ' Traore ', 'player_number': ' 27'}, {'player_name': ' Alemdar ', 'player_number': ' 1'}]","['Lacazette', 'Cherki', 'Caqueret', 'Lepenant', 'Barcola', 'Tolisso', 'Tagliafico', 'Lukeba', 'Diomandé', 'Kumbedi', 'Lopes']","['10', '18', '6', '24', '26', '88', '3', '4', '2', '20', '1']","['Kalimuendo', 'Gouiri', 'Majer', 'Bourigeaud', 'Ugochukwu', 'Santamaría', 'Meling', 'Theate', 'Omari', 'Traore', 'Alemdar']","['9', '19', '21', '14', '6', '8', '25', '5', '23', '27', '1']"
