match_id,stage,date,pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,duels_won_home,duels_won_away,prediction_team_home_win,prediction_draw,prediction_team_away_win,prediction_quantity,location,lineup_home,lineup_away,player_names_home,player_numbers_home,player_names_away,player_numbers_away
1,Matchday 30,15/04/2023,False,False,False,Inter,Monza,0,1,0.57,0.43,25, 7 ,6, 2 ,0.42,0.58,0.76,0.05,0.19,63528,Giuseppe Meazza,"[{'player_name': ' Correa ', 'player_number': ' 11'}, {'player_name': ' Lukaku ', 'player_number': ' 90'}, {'player_name': ' Gosens ', 'player_number': ' 8'}, {'player_name': ' Mkhitaryan ', 'player_number': ' 22'}, {'player_name': ' Asllani ', 'player_number': ' 14'}, {'player_name': ' Barella ', 'player_number': ' 23'}, {'player_name': ' Dumfries ', 'player_number': ' 2'}, {'player_name': ' Bastoni ', 'player_number': ' 95'}, {'player_name': ' De Vrij ', 'player_number': ' 6'}, {'player_name': ' Darmian ', 'player_number': ' 36'}, {'player_name': ' Onana ', 'player_number': ' 24'}]","[{'player_name': ' Mota ', 'player_number': ' 47'}, {'player_name': ' Sensi ', 'player_number': ' 12'}, {'player_name': ' Colpani ', 'player_number': ' 28'}, {'player_name': ' Carlos ', 'player_number': ' 30'}, {'player_name': ' Pessina ', 'player_number': ' 32'}, {'player_name': ' Rovella ', 'player_number': ' 6'}, {'player_name': ' Ciurria ', 'player_number': ' 84'}, {'player_name': ' Caldirola ', 'player_number': ' 5'}, {'player_name': ' Pablo Marí ', 'player_number': ' 3'}, {'player_name': ' Izzo ', 'player_number': ' 55'}, {'player_name': ' Di Gregorio ', 'player_number': ' 16'}]","['Correa', 'Lukaku', 'Gosens', 'Mkhitaryan', 'Asllani', 'Barella', 'Dumfries', 'Bastoni', 'De Vrij', 'Darmian', 'Onana']","['11', '90', '8', '22', '14', '23', '2', '95', '6', '36', '24']","['Mota', 'Sensi', 'Colpani', 'Carlos', 'Pessina', 'Rovella', 'Ciurria', 'Caldirola', 'Pablo Marí', 'Izzo', 'Di Gregorio']","['47', '12', '28', '30', '32', '6', '84', '5', '3', '55', '16']"
2,Matchday 30,15/04/2023,False,False,False,Napoli,Hellas Verona,0,0,0.8,0.2,10, 5 ,1, 2 ,0.52,0.49,0.87,0.04,0.09,70456,Diego Armando Maradona,"[{'player_name': ' Lozano ', 'player_number': ' 11'}, {'player_name': ' Raspadori ', 'player_number': ' 81'}, {'player_name': ' Politano ', 'player_number': ' 21'}, {'player_name': ' Elmas ', 'player_number': ' 7'}, {'player_name': ' Demme ', 'player_number': ' 4'}, {'player_name': ' Zambo Anguissa ', 'player_number': ' 99'}, {'player_name': ' Olivera ', 'player_number': ' 17'}, {'player_name': ' Jesus ', 'player_number': ' 5'}, {'player_name': ' Kim Min-jae ', 'player_number': ' 3'}, {'player_name': ' Di Lorenzo ', 'player_number': ' 22'}, {'player_name': ' Meret ', 'player_number': ' 1'}]","[{'player_name': ' Gaich ', 'player_number': ' 38'}, {'player_name': ' Lasagna ', 'player_number': ' 11'}, {'player_name': ' Duda ', 'player_number': ' 33'}, {'player_name': ' Depaoli ', 'player_number': ' 29'}, {'player_name': ' Abildgaard ', 'player_number': ' 28'}, {'player_name': ' Tameze ', 'player_number': ' 61'}, {'player_name': ' Faraoni ', 'player_number': ' 5'}, {'player_name': ' Ceccherini ', 'player_number': ' 17'}, {'player_name': ' Hien ', 'player_number': ' 6'}, {'player_name': ' Dawidowicz ', 'player_number': ' 27'}, {'player_name': ' Montipò ', 'player_number': ' 1'}]","['Lozano', 'Raspadori', 'Politano', 'Elmas', 'Demme', 'Zambo Anguissa', 'Olivera', 'Jesus', 'Kim Min-jae', 'Di Lorenzo', 'Meret']","['11', '81', '21', '7', '4', '99', '17', '5', '3', '22', '1']","['Gaich', 'Lasagna', 'Duda', 'Depaoli', 'Abildgaard', 'Tameze', 'Faraoni', 'Ceccherini', 'Hien', 'Dawidowicz', 'Montipò']","['38', '11', '33', '29', '28', '61', '5', '17', '6', '27', '1']"
3,Matchday 30,15/04/2023,False,False,False,Bologna,Milan,1,1,0.52,0.48,6, 19 ,2, 5 ,0.55,0.45,0.19,0.05,0.76,80244,Renato Dall'Ara,"[{'player_name': ' Barrow ', 'player_number': ' 99'}, {'player_name': ' Sansone ', 'player_number': ' 10'}, {'player_name': ' Aebischer ', 'player_number': ' 20'}, {'player_name': ' Domínguez ', 'player_number': ' 8'}, {'player_name': ' Schouten ', 'player_number': ' 30'}, {'player_name': ' Ferguson ', 'player_number': ' 19'}, {'player_name': ' Kyriakopoulos ', 'player_number': ' 77'}, {'player_name': ' Lucumí ', 'player_number': ' 26'}, {'player_name': ' Soumaoro ', 'player_number': ' 5'}, {'player_name': ' Posch ', 'player_number': ' 3'}, {'player_name': ' Skorupski ', 'player_number': ' 28'}]","[{'player_name': ' Origi ', 'player_number': ' 27'}, {'player_name': ' Rebic ', 'player_number': ' 12'}, {'player_name': ' De Ketelaere ', 'player_number': ' 90'}, {'player_name': ' Saelemaekers ', 'player_number': ' 56'}, {'player_name': ' Pobega ', 'player_number': ' 32'}, {'player_name': ' Vranckx ', 'player_number': ' 40'}, {'player_name': ' Ballo-Touré ', 'player_number': ' 5'}, {'player_name': ' Thiaw ', 'player_number': ' 28'}, {'player_name': ' Kalulu ', 'player_number': ' 20'}, {'player_name': ' Florenzi ', 'player_number': ' 25'}, {'player_name': ' Maignan ', 'player_number': ' 16'}]","['Barrow', 'Sansone', 'Aebischer', 'Domínguez', 'Schouten', 'Ferguson', 'Kyriakopoulos', 'Lucumí', 'Soumaoro', 'Posch', 'Skorupski']","['99', '10', '20', '8', '30', '19', '77', '26', '5', '3', '28']","['Origi', 'Rebic', 'De Ketelaere', 'Saelemaekers', 'Pobega', 'Vranckx', 'Ballo-Touré', 'Thiaw', 'Kalulu', 'Florenzi', 'Maignan']","['27', '12', '90', '56', '32', '40', '5', '28', '20', '25', '16']"
4,Matchday 30,14/04/2023,False,False,False,Spezia,Lazio,0,3,0.53,0.47,6, 13 ,2, 7 ,0.49,0.51,0.14,0.04,0.82,31688,Alberto Picco,"[{'player_name': ' Gyasi ', 'player_number': ' 11'}, {'player_name': ' Nzola ', 'player_number': ' 18'}, {'player_name': ' Verde ', 'player_number': ' 10'}, {'player_name': ' Bourabia ', 'player_number': ' 6'}, {'player_name': ' Esposito ', 'player_number': ' 25'}, {'player_name': ' Ekdal ', 'player_number': ' 8'}, {'player_name': ' Nikolaou ', 'player_number': ' 43'}, {'player_name': ' Ampadu ', 'player_number': ' 4'}, {'player_name': ' Wisniewski ', 'player_number': ' 55'}, {'player_name': ' Amian ', 'player_number': ' 27'}, {'player_name': ' Drągowski ', 'player_number': ' 69'}]","[{'player_name': ' Zaccagni ', 'player_number': ' 20'}, {'player_name': ' Immobile ', 'player_number': ' 17'}, {'player_name': ' Anderson ', 'player_number': ' 7'}, {'player_name': ' Alberto ', 'player_number': ' 10'}, {'player_name': ' Cataldi ', 'player_number': ' 32'}, {'player_name': ' Milinković-Savić ', 'player_number': ' 21'}, {'player_name': ' Hysaj ', 'player_number': ' 23'}, {'player_name': ' Romagnoli ', 'player_number': ' 13'}, {'player_name': ' Gabarron ', 'player_number': ' 4'}, {'player_name': ' Marusic ', 'player_number': ' 77'}, {'player_name': ' Provedel ', 'player_number': ' 94'}]","['Gyasi', 'Nzola', 'Verde', 'Bourabia', 'Esposito', 'Ekdal', 'Nikolaou', 'Ampadu', 'Wisniewski', 'Amian', 'Drągowski']","['11', '18', '10', '6', '25', '8', '43', '4', '55', '27', '69']","['Zaccagni', 'Immobile', 'Anderson', 'Alberto', 'Cataldi', 'Milinković-Savić', 'Hysaj', 'Romagnoli', 'Gabarron', 'Marusic', 'Provedel']","['20', '17', '7', '10', '32', '21', '23', '13', '4', '77', '94']"
5,Matchday 30,14/04/2023,False,False,False,Cremonese,Empoli,1,0,0.31,0.69,14, 15 ,5, 1 ,0.54,0.46,0.39,0.09,0.52,17146,Giovanni Zini,"[{'player_name': ' Dessers ', 'player_number': ' 90'}, {'player_name': ' Tsadjout ', 'player_number': ' 74'}, {'player_name': ' Galdames ', 'player_number': ' 27'}, {'player_name': ' Castagnetti ', 'player_number': ' 19'}, {'player_name': ' Meite ', 'player_number': ' 28'}, {'player_name': ' Pickel ', 'player_number': ' 6'}, {'player_name': ' Valeri ', 'player_number': ' 3'}, {'player_name': ' Lochoshvili ', 'player_number': ' 44'}, {'player_name': ' Vásquez ', 'player_number': ' 5'}, {'player_name': ' Sernicola ', 'player_number': ' 17'}, {'player_name': ' Carnesecchi ', 'player_number': ' 12'}]","[{'player_name': ' Piccoli ', 'player_number': ' 91'}, {'player_name': ' Caputo ', 'player_number': ' 19'}, {'player_name': ' Baldanzi ', 'player_number': ' 35'}, {'player_name': ' Bandinelli ', 'player_number': ' 25'}, {'player_name': ' Marin ', 'player_number': ' 18'}, {'player_name': ' Fazzini ', 'player_number': ' 21'}, {'player_name': ' Parisi ', 'player_number': ' 65'}, {'player_name': ' Luperto ', 'player_number': ' 33'}, {'player_name': ' de Winter ', 'player_number': ' 6'}, {'player_name': ' Ebuehi ', 'player_number': ' 24'}, {'player_name': ' Perisan ', 'player_number': ' 1'}]","['Dessers', 'Tsadjout', 'Galdames', 'Castagnetti', 'Meite', 'Pickel', 'Valeri', 'Lochoshvili', 'Vásquez', 'Sernicola', 'Carnesecchi']","['90', '74', '27', '19', '28', '6', '3', '44', '5', '17', '12']","['Piccoli', 'Caputo', 'Baldanzi', 'Bandinelli', 'Marin', 'Fazzini', 'Parisi', 'Luperto', 'de Winter', 'Ebuehi', 'Perisan']","['91', '19', '35', '25', '18', '21', '65', '33', '6', '24', '1']"
6,Matchday 29,08/04/2023,False,False,False,Lazio,Juventus,2,1,0.51,0.49,9, 11 ,4, 4 ,0.46,0.54,0.18,0.06,0.76,132804,Olimpico,"[{'player_name': ' Zaccagni ', 'player_number': ' 20'}, {'player_name': ' Immobile ', 'player_number': ' 17'}, {'player_name': ' Anderson ', 'player_number': ' 7'}, {'player_name': ' Alberto ', 'player_number': ' 10'}, {'player_name': ' Cataldi ', 'player_number': ' 32'}, {'player_name': ' Milinković-Savić ', 'player_number': ' 21'}, {'player_name': ' Hysaj ', 'player_number': ' 23'}, {'player_name': ' Romagnoli ', 'player_number': ' 13'}, {'player_name': ' Casale ', 'player_number': ' 15'}, {'player_name': ' Marusic ', 'player_number': ' 77'}, {'player_name': ' Provedel ', 'player_number': ' 94'}]","[{'player_name': ' Vlahović ', 'player_number': ' 9'}, {'player_name': ' Di María ', 'player_number': ' 22'}, {'player_name': ' Kostić ', 'player_number': ' 17'}, {'player_name': ' Rabiot ', 'player_number': ' 25'}, {'player_name': ' Locatelli ', 'player_number': ' 5'}, {'player_name': ' Fagioli ', 'player_number': ' 44'}, {'player_name': ' Cuadrado ', 'player_number': ' 11'}, {'player_name': ' Alex Sandro ', 'player_number': ' 12'}, {'player_name': ' Bremer ', 'player_number': ' 3'}, {'player_name': ' Gatti ', 'player_number': ' 15'}, {'player_name': ' Szczęsny ', 'player_number': ' 1'}]","['Zaccagni', 'Immobile', 'Anderson', 'Alberto', 'Cataldi', 'Milinković-Savić', 'Hysaj', 'Romagnoli', 'Casale', 'Marusic', 'Provedel']","['20', '17', '7', '10', '32', '21', '23', '13', '15', '77', '94']","['Vlahović', 'Di María', 'Kostić', 'Rabiot', 'Locatelli', 'Fagioli', 'Cuadrado', 'Alex Sandro', 'Bremer', 'Gatti', 'Szczęsny']","['9', '22', '17', '25', '5', '44', '11', '12', '3', '15', '1']"
7,Matchday 29,08/04/2023,False,False,False,Hellas Verona,Sassuolo,2,1,0.39,0.61,11, 17 ,3, 5 ,0.46,0.54,0.24,0.07,0.69,15112,Marcantonio Bentegodi,"[{'player_name': ' Verdi ', 'player_number': ' 7'}, {'player_name': ' Lasagna ', 'player_number': ' 11'}, {'player_name': ' Doig ', 'player_number': ' 3'}, {'player_name': ' Duda ', 'player_number': ' 33'}, {'player_name': ' Veloso ', 'player_number': ' 4'}, {'player_name': ' Terracciano ', 'player_number': ' 24'}, {'player_name': ' Faraoni ', 'player_number': ' 5'}, {'player_name': ' Tameze ', 'player_number': ' 61'}, {'player_name': ' Hien ', 'player_number': ' 6'}, {'player_name': ' Magnani ', 'player_number': ' 23'}, {'player_name': ' Montipò ', 'player_number': ' 1'}]","[{'player_name': ' Laurienté ', 'player_number': ' 45'}, {'player_name': ' Pinamonti ', 'player_number': ' 9'}, {'player_name': ' Berardi ', 'player_number': ' 10'}, {'player_name': ' Harroui ', 'player_number': ' 8'}, {'player_name': ' Lopez ', 'player_number': ' 27'}, {'player_name': ' Frattesi ', 'player_number': ' 16'}, {'player_name': ' Rogério ', 'player_number': ' 6'}, {'player_name': ' Ruan ', 'player_number': ' 44'}, {'player_name': ' Erlić ', 'player_number': ' 28'}, {'player_name': ' Toljan ', 'player_number': ' 22'}, {'player_name': ' Consigli ', 'player_number': ' 47'}]","['Verdi', 'Lasagna', 'Doig', 'Duda', 'Veloso', 'Terracciano', 'Faraoni', 'Tameze', 'Hien', 'Magnani', 'Montipò']","['7', '11', '3', '33', '4', '24', '5', '61', '6', '23', '1']","['Laurienté', 'Pinamonti', 'Berardi', 'Harroui', 'Lopez', 'Frattesi', 'Rogério', 'Ruan', 'Erlić', 'Toljan', 'Consigli']","['45', '9', '10', '8', '27', '16', '6', '44', '28', '22', '47']"
8,Matchday 29,08/04/2023,False,False,False,Torino,Roma,0,1,0.56,0.44,7, 9 ,1, 1 ,0.51,0.49,0.14,0.05,0.81,48349,Olimpico Grande Torino,"[{'player_name': ' Sanabria ', 'player_number': ' 9'}, {'player_name': ' Radonjić ', 'player_number': ' 49'}, {'player_name': ' Miranchuk ', 'player_number': ' 59'}, {'player_name': ' Rodríguez ', 'player_number': ' 13'}, {'player_name': ' Gineitis ', 'player_number': ' 66'}, {'player_name': ' Ricci ', 'player_number': ' 28'}, {'player_name': ' Singo ', 'player_number': ' 17'}, {'player_name': ' Buongiorno ', 'player_number': ' 4'}, {'player_name': ' Schuurs ', 'player_number': ' 3'}, {'player_name': ' Gravillon ', 'player_number': ' 5'}, {'player_name': ' Milinković-Savić ', 'player_number': ' 32'}]","[{'player_name': ' Solbakken ', 'player_number': ' 18'}, {'player_name': ' El Shaarawy ', 'player_number': ' 92'}, {'player_name': ' Dybala ', 'player_number': ' 21'}, {'player_name': ' Spinazzola ', 'player_number': ' 37'}, {'player_name': ' Wijnaldum ', 'player_number': ' 25'}, {'player_name': ' Cristante ', 'player_number': ' 4'}, {'player_name': ' Zalewski ', 'player_number': ' 59'}, {'player_name': ' Llorente ', 'player_number': ' 14'}, {'player_name': ' Smalling ', 'player_number': ' 6'}, {'player_name': ' Mancini ', 'player_number': ' 23'}, {'player_name': ' Patrício ', 'player_number': ' 1'}]","['Sanabria', 'Radonjić', 'Miranchuk', 'Rodríguez', 'Gineitis', 'Ricci', 'Singo', 'Buongiorno', 'Schuurs', 'Gravillon', 'Milinković-Savić']","['9', '49', '59', '13', '66', '28', '17', '4', '3', '5', '32']","['Solbakken', 'El Shaarawy', 'Dybala', 'Spinazzola', 'Wijnaldum', 'Cristante', 'Zalewski', 'Llorente', 'Smalling', 'Mancini', 'Patrício']","['18', '92', '21', '37', '25', '4', '59', '14', '6', '23', '1']"
9,Matchday 29,08/04/2023,False,False,False,Sampdoria,Cremonese,2,3,0.48,0.52,13, 17 ,9, 4 ,0.5,0.5,0.57,0.12,0.31,13136,Luigi Ferraris,"[{'player_name': ' Gabbiadini ', 'player_number': ' 23'}, {'player_name': ' Đuričić ', 'player_number': ' 7'}, {'player_name': ' Cuisance ', 'player_number': ' 80'}, {'player_name': ' Léris ', 'player_number': ' 37'}, {'player_name': ' Rincon ', 'player_number': ' 8'}, {'player_name': ' Winks ', 'player_number': ' 20'}, {'player_name': ' Augello ', 'player_number': ' 3'}, {'player_name': ' Amione ', 'player_number': ' 2'}, {'player_name': ' Nuytinck ', 'player_number': ' 17'}, {'player_name': ' Zanoli ', 'player_number': ' 59'}, {'player_name': ' Ravaglia ', 'player_number': ' 30'}]","[{'player_name': ' Tsadjout ', 'player_number': ' 74'}, {'player_name': ' Dessers ', 'player_number': ' 90'}, {'player_name': ' Buonaiuto ', 'player_number': ' 10'}, {'player_name': ' Quagliata ', 'player_number': ' 33'}, {'player_name': ' Castagnetti ', 'player_number': ' 19'}, {'player_name': ' Meite ', 'player_number': ' 28'}, {'player_name': ' Ghiglione ', 'player_number': ' 18'}, {'player_name': ' Lochoshvili ', 'player_number': ' 44'}, {'player_name': ' Bianchetti ', 'player_number': ' 15'}, {'player_name': ' Ferrari ', 'player_number': ' 24'}, {'player_name': ' Carnesecchi ', 'player_number': ' 12'}]","['Gabbiadini', 'Đuričić', 'Cuisance', 'Léris', 'Rincon', 'Winks', 'Augello', 'Amione', 'Nuytinck', 'Zanoli', 'Ravaglia']","['23', '7', '80', '37', '8', '20', '3', '2', '17', '59', '30']","['Tsadjout', 'Dessers', 'Buonaiuto', 'Quagliata', 'Castagnetti', 'Meite', 'Ghiglione', 'Lochoshvili', 'Bianchetti', 'Ferrari', 'Carnesecchi']","['74', '90', '10', '33', '19', '28', '18', '44', '15', '24', '12']"
10,Matchday 29,08/04/2023,False,False,False,Atalanta,Bologna,0,2,0.48,0.52,15, 13 ,6, 6 ,0.51,0.5,0.68,0.07,0.25,18231,Gewiss Stadium,"[{'player_name': ' Lookman ', 'player_number': ' 11'}, {'player_name': ' Højlund ', 'player_number': ' 17'}, {'player_name': ' Pašalić ', 'player_number': ' 88'}, {'player_name': ' Zappacosta ', 'player_number': ' 77'}, {'player_name': ' Éderson ', 'player_number': ' 13'}, {'player_name': ' De Roon ', 'player_number': ' 15'}, {'player_name': ' Mæhle ', 'player_number': ' 3'}, {'player_name': ' Scalvini ', 'player_number': ' 42'}, {'player_name': ' Palomino ', 'player_number': ' 6'}, {'player_name': ' Djimsiti ', 'player_number': ' 19'}, {'player_name': ' Musso ', 'player_number': ' 1'}]","[{'player_name': ' Sansone ', 'player_number': ' 10'}, {'player_name': ' Barrow ', 'player_number': ' 99'}, {'player_name': ' Moro ', 'player_number': ' 6'}, {'player_name': ' Ferguson ', 'player_number': ' 19'}, {'player_name': ' Soriano ', 'player_number': ' 21'}, {'player_name': ' Schouten ', 'player_number': ' 30'}, {'player_name': ' Kyriakopoulos ', 'player_number': ' 77'}, {'player_name': ' Lucumí ', 'player_number': ' 26'}, {'player_name': ' Soumaoro ', 'player_number': ' 5'}, {'player_name': ' Posch ', 'player_number': ' 3'}, {'player_name': ' Skorupski ', 'player_number': ' 28'}]","['Lookman', 'Højlund', 'Pašalić', 'Zappacosta', 'Éderson', 'De Roon', 'Mæhle', 'Scalvini', 'Palomino', 'Djimsiti', 'Musso']","['11', '17', '88', '77', '13', '15', '3', '42', '6', '19', '1']","['Sansone', 'Barrow', 'Moro', 'Ferguson', 'Soriano', 'Schouten', 'Kyriakopoulos', 'Lucumí', 'Soumaoro', 'Posch', 'Skorupski']","['10', '99', '6', '19', '21', '30', '77', '26', '5', '3', '28']"
