Team,Position,PL,W,D,L,GD,PTS
 Bayern Munich , 1 , 28 , 17 , 8 , 3 , 48 ,59
 Borussia Dortmund , 2 , 28 , 18 , 3 , 7 , 23 ,57
 1. FC Union Berlin , 3 , 28 , 15 , 7 , 6 , 12 ,52
 RB Leipzig , 4 , 28 , 15 , 6 , 7 , 18 ,51
 SC Freiburg , 5 , 28 , 14 , 8 , 6 , 4 ,50
 Bayer Leverkusen , 6 , 28 , 13 , 5 , 10 , 10 ,44
 Eintracht Frankfurt , 7 , 28 , 11 , 9 , 8 , 8 ,42
 Mainz 05 , 8 , 28 , 11 , 9 , 8 , 7 ,42
 VfL Wolfsburg , 9 , 28 , 10 , 10 , 8 , 10 ,40
 M'gladbach , 10 , 28 , 9 , 9 , 10 , -2 ,36
 1. FC Köln , 11 , 28 , 7 , 11 , 10 , -9 ,32
 Werder Bremen , 12 , 28 , 9 , 5 , 14 , -11 ,32
 Hoffenheim , 13 , 28 , 8 , 5 , 15 , -9 ,29
 Augsburg , 14 , 28 , 8 , 5 , 15 , -16 ,29
 VfL Bochum , 15 , 28 , 8 , 3 , 17 , -30 ,27
 VfB Stuttgart , 16 , 28 , 5 , 9 , 14 , -15 ,24
 Schalke 04 , 17 , 28 , 5 , 9 , 14 , -26 ,24
 Hertha BSC , 18 , 28 , 5 , 7 , 16 , -22 ,22
