Team,Position,PL,W,D,L,GD,PTS
 Feyenoord , 1 , 29 , 21 , 7 , 1 , 43 ,70
 Ajax , 2 , 29 , 18 , 8 , 3 , 50 ,62
 PSV , 3 , 29 , 19 , 5 , 5 , 43 ,62
 AZ , 4 , 29 , 17 , 6 , 6 , 23 ,57
 Sparta , 5 , 29 , 15 , 7 , 7 , 17 ,52
 Twente , 6 , 29 , 14 , 9 , 6 , 25 ,51
 Utrecht , 7 , 29 , 12 , 9 , 8 , 3 ,45
 Waalwijk , 8 , 28 , 10 , 8 , 10 , -2 ,38
 Heerenveen , 9 , 29 , 10 , 8 , 11 , -8 ,38
 NEC , 10 , 29 , 7 , 14 , 8 , 4 ,35
 Fortuna , 11 , 29 , 9 , 5 , 15 , -18 ,32
 Go Ahead Eagles , 12 , 28 , 7 , 9 , 12 , -11 ,30
 Vitesse , 13 , 29 , 7 , 9 , 13 , -12 ,30
 Volendam , 14 , 29 , 7 , 6 , 16 , -27 ,27
 Excelsior , 15 , 29 , 8 , 3 , 18 , -39 ,27
 Emmen , 16 , 29 , 5 , 10 , 14 , -23 ,25
 Groningen , 17 , 29 , 4 , 5 , 20 , -31 ,17
 Cambuur , 18 , 29 , 4 , 4 , 21 , -37 ,16
