Team,Position,PL,W,D,L,GD,PTS
 Barcelona , 1 , 29 , 23 , 4 , 2 , 44 ,73
 Real Madrid , 2 , 29 , 19 , 5 , 5 , 37 ,62
 Atlético de Madrid , 3 , 29 , 18 , 6 , 5 , 26 ,60
 Real Sociedad , 4 , 29 , 15 , 6 , 8 , 9 ,51
 Real Betis , 5 , 29 , 14 , 6 , 9 , 7 ,48
 Villarreal , 6 , 29 , 14 , 5 , 10 , 10 ,47
 Athletic Club , 7 , 29 , 12 , 7 , 10 , 11 ,43
 Rayo Vallecano , 8 , 29 , 10 , 10 , 9 , 1 ,40
 Girona , 9 , 29 , 10 , 8 , 11 , 2 ,38
 Osasuna , 10 , 29 , 10 , 8 , 11 , -5 ,38
 Celta Vigo , 11 , 28 , 9 , 9 , 10 , -3 ,36
 Mallorca , 12 , 28 , 9 , 7 , 12 , -5 ,34
 Sevilla , 13 , 28 , 8 , 8 , 12 , -11 ,32
 Real Valladolid , 14 , 29 , 9 , 5 , 15 , -23 ,32
 Getafe , 15 , 29 , 7 , 10 , 12 , -9 ,31
 Cádiz , 16 , 29 , 7 , 10 , 12 , -19 ,31
 Almería , 17 , 29 , 8 , 6 , 15 , -15 ,30
 Valencia , 18 , 28 , 7 , 6 , 15 , -4 ,27
 Espanyol , 19 , 29 , 6 , 9 , 14 , -14 ,27
 Elche , 20 , 29 , 2 , 7 , 20 , -39 ,13
