Team,Position,PL,W,D,L,GD,PTS
 Benfica , 1 , 28 , 23 , 2 , 3 , 51 ,71
 FC Porto , 2 , 28 , 21 , 4 , 3 , 41 ,67
 Braga , 3 , 28 , 20 , 3 , 5 , 36 ,63
 Sporting CP , 4 , 27 , 18 , 3 , 6 , 30 ,57
 Arouca , 5 , 27 , 12 , 8 , 7 , -1 ,44
 Guimarães , 6 , 28 , 12 , 5 , 11 , -6 ,41
 Famalicão , 7 , 28 , 12 , 3 , 13 , -5 ,39
 Casa Pia AC , 8 , 28 , 11 , 6 , 11 , -5 ,39
 Vizela , 9 , 27 , 11 , 5 , 11 , 3 ,38
 Chaves , 10 , 28 , 9 , 9 , 10 , -5 ,36
 Rio Ave , 11 , 28 , 9 , 8 , 11 , -4 ,35
 Boavista , 12 , 27 , 9 , 6 , 12 , -13 ,33
 Gil Vicente , 13 , 28 , 8 , 8 , 12 , -6 ,32
 Portimonense , 14 , 28 , 9 , 3 , 16 , -14 ,30
 Estoril , 15 , 28 , 7 , 4 , 17 , -21 ,25
 Marítimo , 16 , 28 , 6 , 4 , 18 , -27 ,22
 Paços Ferreira , 17 , 28 , 4 , 5 , 19 , -28 ,17
 Santa Clara , 18 , 28 , 3 , 6 , 19 , -26 ,15
