Team,Position,PL,W,D,L,GD,PTS
 PSG , 1 , 31 , 23 , 3 , 5 , 43 ,72
 Lens , 2 , 31 , 18 , 9 , 4 , 26 ,63
 Marseille , 3 , 30 , 18 , 7 , 5 , 25 ,61
 Monaco , 4 , 31 , 18 , 7 , 6 , 23 ,61
 Lille , 5 , 31 , 16 , 7 , 8 , 17 ,55
 Rennes , 6 , 31 , 16 , 5 , 10 , 18 ,53
 Olympique Lyonnais , 7 , 31 , 14 , 8 , 9 , 15 ,50
 Reims , 8 , 31 , 11 , 14 , 6 , 8 ,47
 Nice , 9 , 31 , 11 , 12 , 8 , 9 ,45
 Lorient , 10 , 31 , 12 , 9 , 10 , 0 ,45
 Clermont , 11 , 31 , 12 , 7 , 12 , -9 ,43
 Toulouse , 12 , 31 , 11 , 5 , 15 , -7 ,38
 Montpellier , 13 , 31 , 11 , 4 , 16 , -5 ,37
 Auxerre , 14 , 31 , 8 , 8 , 15 , -23 ,32
 Nantes , 15 , 31 , 6 , 13 , 12 , -11 ,31
 Brest , 16 , 31 , 7 , 10 , 14 , -13 ,31
 Strasbourg , 17 , 31 , 6 , 11 , 14 , -12 ,29
 Troyes , 18 , 30 , 4 , 9 , 17 , -26 ,21
 Ajaccio , 19 , 31 , 6 , 3 , 22 , -36 ,21
 Angers , 20 , 31 , 3 , 5 , 23 , -42 ,14
