Team,Position,PL,W,D,L,GD,PTS
 Napoli , 1 , 30 , 24 , 3 , 3 , 45 ,75
 Lazio , 2 , 30 , 18 , 7 , 5 , 29 ,61
 Roma , 3 , 29 , 16 , 5 , 8 , 13 ,53
 Milan , 4 , 30 , 15 , 8 , 7 , 12 ,53
 Inter , 5 , 30 , 16 , 3 , 11 , 14 ,51
 Atalanta , 6 , 29 , 14 , 6 , 9 , 13 ,48
 Juventus , 7 , 30 , 18 , 5 , 7 , 22 ,44
 Bologna , 8 , 30 , 12 , 8 , 10 , 2 ,44
 Fiorentina , 9 , 29 , 11 , 8 , 10 , 2 ,41
 Sassuolo , 10 , 30 , 11 , 7 , 12 , -5 ,40
 Udinese , 11 , 29 , 9 , 12 , 8 , 3 ,39
 Torino , 12 , 30 , 10 , 9 , 11 , -5 ,39
 Monza , 13 , 30 , 10 , 8 , 12 , -6 ,38
 Empoli , 14 , 30 , 7 , 11 , 12 , -12 ,32
 Salernitana , 15 , 30 , 6 , 12 , 12 , -16 ,30
 Lecce , 16 , 30 , 6 , 10 , 14 , -10 ,28
 Spezia , 17 , 30 , 5 , 11 , 14 , -23 ,26
 Hellas Verona , 18 , 30 , 5 , 8 , 17 , -19 ,23
 Cremonese , 19 , 30 , 3 , 10 , 17 , -27 ,19
 Sampdoria , 20 , 30 , 3 , 7 , 20 , -32 ,16
